Discipline,Gender,ENG Name,AZE Name
AC,0,Global,
AC,W,Women,
AC,X,Mixed,
AE,0,Global,
AE,X,Mixed,
AR,0,Global,
AR,M,Men,
AR,W,Women,
AR,X,Mixed,
AT,0,Global,
AT,M,Men,
AT,W,Women,
B3,0,Global,
B3,M,Men,
B3,W,Women,
BD,0,Global,
BD,M,Men,
BD,W,Women,
BD,X,Mixed,
BF,0,Global,
BF,M,Men,
BK,0,Global,
BK,M,Men,
BK,W,Women,
BV,0,Global,
BV,M,Men,
BV,W,Women,
BX,0,Global,
BX,M,Men,
BX,W,Women,
CB,0,Global,
CB,M,Men,
CB,W,Women,
CE,0,Global,
CF,0,Global,
CF,M,Men,
CF,W,Women,
CM,0,Global,
CM,M,Men,
CM,W,Women,
CR,0,Global,
CR,M,Men,
CR,W,Women,
DV,0,Global,
DV,M,Men,
DV,W,Women,
FE,0,Global,
FE,M,Men,
FE,W,Women,
GA,0,Global,
GA,M,Men,
GA,W,Women,
GL,0,Global,
GR,0,Global,
GR,W,Women,
GT,0,Global,
GT,M,Men,
GT,W,Women,
JU,0,Global,
JU,M,Men,
JU,W,Women,
KA,0,Global,
KA,M,Men,
KA,W,Women,
SC,0,Global,
SC,M,Men,
SC,W,Women,
SH,0,Global,
SH,M,Men,
SH,W,Women,
SH,X,Mixed,
SW,0,Global,
SW,M,Men,
SW,W,Women,
SW,X,Mixed,
SY,0,Global,
SY,W,Women,
TK,0,Global,
TK,M,Men,
TK,W,Women,
TR,0,Global,
TR,M,Men,
TR,W,Women,
TT,0,Global,
TT,M,Men,
TT,W,Women,
UT,0,Global,
VB,0,Global,
VO,0,Global,
VO,M,Men,
VO,W,Women,
WP,0,Global,
WP,M,Men,
WP,W,Women,
WR,0,Global,
WR,M,Men,
WR,W,Women,
