Discipline,Gender,Event,Phase,Event Unit,Schedule Flag,Medal Flag,Event Unit Type,ENG Results Long Name (80),ENG Results Short Name (40),ENG Print Name (40),ENG TV Name,AZE Results Long Name (80),AZE Results Short Name (40),AZE Print Name (40)
AC,0,000,0,00,N,0,NONE,Gymnastics Acrobatic,Gymnastics Acrobatic,,,,,
AC,0,000,Y,00,N,0,NONE,Gymnastics Acrobatic Daily Schedule,Gymnastics Acrobatic Daily Schedule,,,,,
AC,0,000,Y,01,N,0,NONE,Gymnastics Acrobatic Day 1,Gymnastics Acrobatic Day 1,,,,,
AC,0,000,Y,02,N,0,NONE,Gymnastics Acrobatic Day 2,Gymnastics Acrobatic Day 2,,,,,
AC,0,000,Y,03,N,0,NONE,Gymnastics Acrobatic Day 3,Gymnastics Acrobatic Day 3,,,,,
AC,0,000,Y,04,N,0,NONE,Gymnastics Acrobatic Day 4,Gymnastics Acrobatic Day 4,,,,,
AC,0,000,Y,05,N,0,NONE,Gymnastics Acrobatic Day 5,Gymnastics Acrobatic Day 5,,,,,
AC,0,000,Y,06,N,0,NONE,Gymnastics Acrobatic Day 6,Gymnastics Acrobatic Day 6,,,,,
AC,0,000,Y,07,N,0,NONE,Gymnastics Acrobatic Day 7,Gymnastics Acrobatic Day 7,,,,,
AC,0,000,Y,08,N,0,NONE,Gymnastics Acrobatic Day 8,Gymnastics Acrobatic Day 8,,,,,
AC,0,000,Y,09,N,0,NONE,Gymnastics Acrobatic Day 9,Gymnastics Acrobatic Day 9,,,,,
AC,0,000,Y,10,N,0,NONE,Gymnastics Acrobatic Day 10,Gymnastics Acrobatic Day 10,,,,,
AC,0,000,Y,11,N,0,NONE,Gymnastics Acrobatic Day 11,Gymnastics Acrobatic Day 11,,,,,
AC,0,000,Y,12,N,0,NONE,Gymnastics Acrobatic Day 12,Gymnastics Acrobatic Day 12,,,,,
AC,0,000,Y,13,N,0,NONE,Gymnastics Acrobatic Day 13,Gymnastics Acrobatic Day 13,,,,,
AC,0,000,Y,14,N,0,NONE,Gymnastics Acrobatic Day 14,Gymnastics Acrobatic Day 14,,,,,
AC,0,000,Y,15,N,0,NONE,Gymnastics Acrobatic Day 15,Gymnastics Acrobatic Day 15,,,,,
AC,0,NGA,0,00,N,0,NONE,National Gymnastics Arena,National Gymnastics Arena,,,,,
AC,W,000,0,00,N,0,NONE,Women's Gymnastics Acrobatic,Women's Gymnastics Acrobatic,,,,,
AC,W,242,0,00,N,0,NONE,Women's Group All-Around,Women's Group All-Around,,,,,
AC,W,242,1,00,N,0,NONE,Women's Group All-Around Final,Women's Group All-Around Final,All-Around Final,,,,
AC,W,242,1,01,Y,1,TEAM,Women's Group All-Around Final,Women's Group All-Around Final,All-Around Final,,,,
AC,W,242,9,00,N,0,NONE,Women's Group All-Around Qualification,Women's Group All-Around Qualification,All-Around Qualification,,,,
AC,W,242,9,01,Y,0,TEAM,Women's Group All-Around Qualification - Balance Exercise,Women's Gr All-Around Qual-Balance Exerc,All-Around Qualification Balance Exercise,,,,
AC,W,242,9,02,Y,0,TEAM,Women's Group All-Around Qualification - Dynamic Exercise,Women's Gr All-Around Qual-Dynamic Exerc,All-Around Qualification Dynamic Exercise,,,,
AC,W,242,M,00,Y,0,NONE,Women's Group All-Around Medal Ceremony,Women's Group All-Around Medal Cerem.,,,,,
AC,W,102,0,00,N,0,NONE,Women's Group - Balance,Women's Group - Balance,,,,,
AC,W,102,1,00,N,0,NONE,Women's Group - Balance Final,Women's Group - Balance Final,Balance Final,,,,
AC,W,102,1,01,Y,1,TEAM,Women's Group - Balance Final,Women's Group - Balance Final,Balance Final,,,,
AC,W,102,9,00,N,0,NONE,Women's Group - Balance Qualification,Women's Group - Balance Qualification,Balance Qualification,,,,
AC,W,102,9,01,Y,0,NONE,Women's Group - Balance Qualification,Women's Group - Balance Qualification,Balance Qualification,,,,
AC,W,102,M,00,Y,0,NONE,Women's Group - Balance Medal Ceremony,Women's Group - Balance Medal Ceremony,,,,,
AC,W,202,0,00,N,0,NONE,Women's Group - Dynamic,Women's Group - Dynamic,,,,,
AC,W,202,1,00,N,0,NONE,Women's Group - Dynamic Final,Women's Group - Dynamic Final,Dynamic Final,,,,
AC,W,202,1,01,Y,1,TEAM,Women's Group - Dynamic Final,Women's Group - Dynamic Final,Dynamic Final,,,,
AC,W,202,9,00,N,0,NONE,Women's Group - Dynamic Qualification,Women's Group - Dynamic Qualification,Dynamic Qualification,,,,
AC,W,202,9,01,Y,0,NONE,Women's Group - Dynamic Qualification,Women's Group - Dynamic Qualification,Dynamic Qualification,,,,
AC,W,202,M,00,Y,0,NONE,Women's Group - Dynamic Medal Ceremony,Women's Group - Dynamic Medal Ceremony,,,,,
AC,X,000,0,00,N,0,NONE,Mixed Gymnastics Acrobatic,Mixed Gymnastics Acrobatic,,,,,
AC,X,241,0,00,N,0,NONE,Mixed Pair All-Around,Mixed Pair All-Around,,,,,
AC,X,241,1,00,N,0,NONE,Mixed Pair All-Around Final,Mixed Pair All-Around Final,All-Around Final,,,,
