No.,"Common Codes
Version",CCN,Code set nr,Code Set,Code Set Owner,Date Raised,Status ,Description,Next steps
,,,N/A,Venue ,Melina Simm,2009-03-09T00:00:00+00:00,Closed,Addition of OPK (Olympic Park),None. OPK has been added to The Codes.
,,,N/A,Marketing Partners,Evonne Purvis,2009-03-26T00:00:00+00:00,Closed,Addition of CRY (Crystal),None. CRY has been added to The Codes.
,,,N/A,Marketing Partners,Evonne Purvis,2009-03-31T00:00:00+00:00,Closed,Addition of FRE (Freshfields),None. FRE has been added to The Codes.
,,,N/A,Marketing Partners,Evonne Purvis,2009-04-27T00:00:00+00:00,Closed,Addition of POP (Populous),None. POP has been added to The Codes.
,,,N/A,Venue ,Melina Simm,2009-05-11T00:00:00+00:00,Closed,Addition of ATC (Alternate Technology Operations Centre),None. ATC has been added to The Codes. 
,,,N/A,Venue ,Melina Simm,2009-05-11T00:00:00+00:00,Closed,Addition of TWR (Technology Warehouse),None. TWR has been added to The Codes.
,,,N/A,Venue ,Melina Simm,2009-05-11T00:00:00+00:00,Closed,Addition of THQ (LOCOG Technology HQ),None. THQ has been added to The Codes.
,,,N/A,Functional Area,Codes Manager,2009-05-11T00:00:00+00:00,Closed,Addition of CEV (Corporate Events),None. CEV has been added to The Codes.
,,,N/A,Technology Glossary,Chris Payne,2009-05-19T00:00:00+00:00,Closed,Addition of 60 new terms,None.  New terms have been added to The Codes.
,,,N/A,Marketing Partners,Malgorzata Gryzb,2009-05-21T00:00:00+00:00,Closed,Addition of MCC (McCann Worldgroup),None.  MCC has been added to The Codes.
,,,N/A,Marketing Partners,Malgorzata Gryzb,2009-06-01T00:00:00+00:00,Closed,Addition of HOL (Holiday Inn),None. HOL has been added to The Codes. 
,,,N/A,Space,Charles Quelch,2009-06-08T00:00:00+00:00,Closed,Addition of Code Set,None. Space Codes have been added.
,,,N/A,Venue ,Melina Simm,2009-06-08T00:00:00+00:00,Closed,Range of new modifications,None. Venue Code Sets have been added.
,,,N/A,Marketing Partners,Malgorzata Gryzb,2009-06-16T00:00:00+00:00,Closed,Addition of TNC,None. TNC has been added.
,,,N/A,Venue -- Non-competition,Melina Simm,2009-07-15T00:00:00+00:00,Closed,Change code for Eton Manor from ETW to ETM,None. Change complete.
,,,N/A,Marketing Partners,Malgorzata Gryzb,2009-07-17T00:00:00+00:00,Closed,Addition of CIS,None. Change complete.
,,,N/A,Marketing Partners,Malgorzata Gryzb,2009-07-17T00:00:00+00:00,Closed,Addition of 'Active/Inactive' Column,None. Change complete.
,,,N/A,Venue -- Non-competition,Melina Simm,2009-07-13T00:00:00+00:00,Closed,Addition of FBH and AOV,None. Change complete.
,,,N/A,Venue Space-Competition,Charles Quelch,2009-09-16T00:00:00+00:00,Closed,"Change name to ""Venue Space""",Confirm name change with RTS
,,,N/A,Venue Space-Competition,Charles Quelch,2009-09-16T00:00:00+00:00,Closed,Nomination of Fiona Connor as back-up Codeset Owner,Wait for response from V&I on proposed approach
,,,N/A,Venue -- Non-competition,Melina Simm,2009-09-16T00:00:00+00:00,Closed,Range of modifications per Workforce Planning,Confirm approach to Accommodation. Wait for response from Workforce Planning (Julie Laughton) and Melina Simm. 
,,,N/A,Functional Area,Melina Simm,2009-09-16T00:00:00+00:00,Closed,"Deletion of LAN, addition of OFS",None. Change complete.
,,,N/A,Venue -- Non-competition,Melina Simm,2009-09-16T00:00:00+00:00,Closed,Addition of Transport Codes,None. Change complete.
1,,CCN OPP12-04,OPP12,Venue Space,Charles Quelch,2009-10-30T00:00:00+00:00,Closed,"Re-named from TCC44-04. OPP13 Village space code set created, therefore removed from OPP12 Venue space. See CCN OPP12-01.",Complete--change has been implemented and all stakeholders have been informed
2,,CCN TCC36-02,TCC36,Sport-Paralympic,Patrick Fry,2009-10-30T00:00:00+00:00,Closed,N/A,Complete--change has been implemented and all stakeholders have been informed
3,,CCN TCC42-02,TCC42,Venue Non-Competition,Melina Simm,2009-10-30T00:00:00+00:00,Closed,N/A,Complete--change has been implemented and all stakeholders have been informed
4,,CCN TCC41-04,TCC41,Venue Competition,Melina Simm,2009-10-28T00:00:00+00:00,Closed,N/A,Complete--change has been implemented and all stakeholders have been informed
5,,CCN TCC42-04,TCC42,Venue Non-Competition,Melina Simm,2009-10-30T00:00:00+00:00,Closed,Add BDA – Bus Depot Athletes West Ham,Complete--change has been implemented and all stakeholders have been informed
6,,CCN TCC42-05,TCC42,Venue Non-Competition,Melina Simm,2009-11-02T00:00:00+00:00,Closed,Remove Venue Planning Cluster,Complete--change has been implemented and all stakeholders have been informed
7,,CCN OPP13-02,OPP13,Village Space,Fiona Connor,2009-11-04T00:00:00+00:00,Closed,Add BRD501 - Main Entry,Complete--change has been implemented and all stakeholders have been informed
8,,CCN TCC42-06,TCC43,Venue Non-Competition,Melina Simm,2009-11-11T00:00:00+00:00,Closed,Change SHZ code and full name to OHC-Olympic Hospitality Centre,Complete--change has been implemented and all stakeholders have been informed
9,,CCN OPP13-03,OPP13,Village Space,Fiona Connor,2009-11-12T00:00:00+00:00,Closed,Additions and Modifications to codes detailed in email,Complete--change has been implemented and all stakeholders have been informed
10,,CCN OPP13-04,OPP13,Village Space,Fiona Connor,2009-11-16T00:00:00+00:00,Closed,Modification of the full names of four current codes,Complete--change has been implemented and all stakeholders have been informed
11,,CCN OPP13-05,OPP13,Village Space,Fiona Connor,2009-11-16T00:00:00+00:00,Closed,Add TEC174 - Residential Zone,Complete--change has been implemented and all stakeholders have been informed
12,,CCN OPP08-01,OPP08,Marketing Partner,Malgorzata Gryzb,2009-11-17T00:00:00+00:00,Closed,Add BMW,Complete--change has been implemented and all stakeholders have been informed
13,,CCN OPP13-06,OPP13,Village Space,Fiona Connor,2009-11-19T00:00:00+00:00,Closed,"Delete NNR682, NNR683, NNR684",Complete--change has been implemented and all stakeholders have been informed
14,,CCN TCC41-05,TCC41,Venue Competition,Melina Simm,2009-12-01T00:00:00+00:00,Closed,"Add WEA, HGM, delete REG, GWA, update info for RPK, Hockey Centre, Royal Artillery Barracks",Complete--change has been implemented and all stakeholders have been informed
15,,CCN TCC42-07,TCC42,Venue Non-Competition,Melina Simm,2009-12-10T00:00:00+00:00,Closed,Add WLB - WADA Accredited Satellite Laboratory,Complete--change has been implemented and all stakeholders have been informed
16,,CCN OPP13-07,OPP13,Village Space,Fiona Connor,2009-12-14T00:00:00+00:00,Closed,Adding Sports Viewing Room,Complete--change has been implemented and all stakeholders have been informed
17,,CCN TCC42-08,TCC42,Venue Non-Competition,Melina Simm,2010-01-06T00:00:00+00:00,Closed,Slight amendments to existing codes and addition of multiple new training venues as presecribed by Sport,Complete--change has been implemented and all stakeholders have been informed
18,,CCN OPP13-08,OPP13,Village Space,Fiona Connor,2010-01-07T00:00:00+00:00,Closed,Changes to Welcome Centre codes,Complete--change has been implemented and all stakeholders have been informed
19,,CCN OPP12-06,OPP12,Venue Space,Charles Quelch,2010-01-08T00:00:00+00:00,Closed,Addition of codes (Media),Complete--change has been implemented and all stakeholders have been informed
20,,CCN OPP14-01,OPP14,Licensee,Jalil Rahman,2010-01-13T00:00:00+00:00,Closed,Add PNI - Panini,Complete--change has been implemented and all stakeholders have been informed
21,,CCN OPP12-05,OPP12,Venue Space,Charles Quelch,2010-01-13T00:00:00+00:00,Closed,Addition and modication of certain codes detailed in attached email,Complete--change has been implemented and all stakeholders have been informed
22,,CCN OPP05-03,OPP05,Functional Area,Codes manager,2010-01-19T00:00:00+00:00,Closed,OFS Olympic and Paralympic Family Services code added to code set,Complete--change has been implemented and all stakeholders have been informed
23,,CCN TCC42-09,TCC42,Venue Non-Competition,Melina Simm,2010-01-22T00:00:00+00:00,Closed,"Addition, deletion and modification of codes and descriptions",Complete--change has been implemented and all stakeholders have been informed
24,,CCN OPP08-02,OPP08,Marketing Partner,Malgorzata Gryzb,2010-02-01T00:00:00+00:00,Closed,Addition of John Lewis code,Complete--change has been implemented and all stakeholders have been informed
25,,CCN TCC42-10,TCC42,Venue Non-Competition,Melina Simm,2010-02-01T00:00:00+00:00,Closed,Modification of RHV Code,Complete--change has been implemented and all stakeholders have been informed
26,,CCN OPP13-09,OPP13,Village Space,Fiona Connor,2010-02-02T00:00:00+00:00,Closed,Addition and modification of codes and descriptions,Complete--change has been implemented and all stakeholders have been informed
27,,CCN OPP14-02,OPP14,Licensee,Jalil Rahman,2010-02-15T00:00:00+00:00,Closed,Addition of codes  ,Complete--change has been implemented and all stakeholders have been informed
