Code,Venue,ENG Name,AZE  Name
AR1,TBS,TBS - Elimination Range,
AR2,TBS,TBS -  Ranking Rd Field,
BAC,BAC,Baku Aquatics Centre,
BBA,BBA,Basketball Arena,
BD1,BSH,Baku Sports Hall - Court 1,
BD2,BSH,Baku Sports Hall - Court 2,
BD3,BSH,Baku Sports Hall - Court 3,
BE1,BEA,Beach Arena - Centre Court,
BE2,BEA,Beach Arena - Court 2,
BE3,BEA,Beach Arena - Court 3,
BE4,BEA,Beach Arena - Court 4,
BEA,BEA,Beach Arena,
BIL,BIL,Bilgah Beach,
BK1,BBA,Basketball Arena - Central Court,
BK2,BBA,Basketball Arena - Court 2,
BMX,BMX,BMX Velopark,
BSH,BSH,Baku Sports Hall,
CH1,CH1,Crystal Hall 1,
CH2,CH2,Crystal Hall 2,
CH3,CH3,Crystal Hall 3,
FDQ,FSQ,Freedom Square,
FE1,CH3,Crystal Hall 3- Piste 1,
FE2,CH3,Crystal Hall 3- Piste 2,
FE3,CH3,Crystal Hall 3- Piste 3,
FE4,CH3,Crystal Hall 3- Piste 4,
FE5,CH3,Crystal Hall 3 - Finals Piste,
FE6,CH3,Crystal Hall 3- Red Piste,
FE7,CH3,Crystal Hall 3 - Blue Piste,
FE8,CH3,Crystal Hall 3 - Yellow Piste,
FE9,CH3,Crystal Hall 3 - Green Piste,
HAA,HAA,Heydar Aliyev Arena,
JU1,HAA,Heydar Aliyev Arena - Tatami 1,
JU2,HAA,Heydar Aliyev Arena - Tatami 2,
JU3,HAA,Heydar Aliyev Arena - Tatami 3,
KA1,CH3,Crystal Hall 3- Tatami 1,
KA2,CH3,Crystal Hall 3 -Tatami 2,
MIG,MIG,Mingachevir,
NGA,NGA,National Gymnastics Arena,
SC1,HAA,Heydar Aliyev Arena - Mat A,
SC2,HAA,Heydar Aliyev Arena - Mat B,
SC3,HAA,Heydar Aliyev Arena - Mat C,
SH1,SHO,Pistol & Rifle 10m Range,
SH2,SHO,Pistol & Rifle 25m Range,
SH3,SHO,Pistol & Rifle 50m Range,
SH4,SHO,Shotgun Range,
SHO,SHO,Baku Shooting Centre,
STA,STA,Stadium,
TB1,BSH,Baku Sports Hall - Table 1,
TB2,BSH,Baku Sports Hall - Table 2,
TB3,BSH,Baku Sports Hall - Table 3,
TB4,BSH,Baku Sports Hall - Table 4,
TBS,TBS,Tofiq Bahramov Stadium,
VEL,VEL,Mountain Bike Velopark,
WAP,WAP,Water Polo Arena,
WP1,WAP,Water Polo Arena -  Pool 1,
WP2,WAP,Water Polo Arena -  Pool 2,
WR1,HAA,Heydar Aliyev Arena - Mat A,
WR2,HAA,Heydar Aliyev Arena - Mat B,
WR3,HAA,Heydar Aliyev Arena - Mat C,
