Code,Continent,Participation ,ENG Name,AZE Name
ALB,EUR,P,Albania,Albaniya
AND,EUR,P,Andorra,Andorra
ARM,EUR,P,Armenia,Ermənistan
AUT,EUR,P,Austria,Avstriya
AZE,EUR,P,Azerbaijan,Azərbaycan
BEL,EUR,P,Belgium,Belçika
BIH,EUR,P,Bosnia and Herzegovina,Bosniya və Hersoqovina
BLR,EUR,P,Belarus,Belarus
BUL,EUR,P,Bulgaria,Bolqarıstan
CRO,EUR,P,Croatia,Xorvatiya
CYP,EUR,P,Cyprus,Kipr
CZE,EUR,P,Czech Republic,Çex Respublikası
DEN,EUR,P,Denmark,Danimarka
ESP,EUR,P,Spain,İspaniya
EST,EUR,P,Estonia,Estoniya
FIN,EUR,P,Finland,Finlandiya
FRA,EUR,P,France,Fransa
FRG,EUR,H,FRG,AFR
GBR,EUR,P,Great Britain,Böyük Britaniya
GDR,EUR,H,GDR,GDR
GDR,EUR,H,GDR,ADR
GEO,EUR,P,Georgia,Gürcüstan
GER,EUR,P,Germany,Almaniya
GRE,EUR,P,Greece,Yunanstan
HUN,EUR,P,Hungary,Macarstan
IEA,EUR,P,Independent European Athletes,Müstəqil Avropa Atletləri
IRL,EUR,P,Ireland,İrlandiya
ISL,EUR,P,Iceland,İslandiya
ISR,EUR,P,Israel,İsrail
ITA,EUR,P,Italy,İtaliya
KOS,EUR,P,Kosovo,Kosovo
LAT,EUR,P,Latvia,Latviya
LIE,EUR,P,Liechtenstein,Lixtenşteyn
LTU,EUR,P,Lithuania,Litva
LUX,EUR,P,Luxembourg,Lüksemburq
MDA,EUR,P,Republic of Moldova,Moldova Respublikası
MKD,EUR,P,Former Yugoslav Republic of Macedonia,Keçmiş Yuqoslaviya Makedoniya Respublikası
MLT,EUR,P,Malta,Malta
MNE,EUR,P,Montenegro,Monteneqro
MON,EUR,P,Monaco,Monako
NED,EUR,P,Netherlands,Niderland
NOR,EUR,P,Norway,Norveç
POL,EUR,P,Poland,Polşa
POR,EUR,P,Portugal,Portuqaliya
ROU,EUR,P,Romania,Rumıniya
RUS,EUR,P,Russian Federation,Rusiya Federasiyası
SLO,EUR,P,Slovenia,Sloveniya
SMR,EUR,P,San Marino,San Marino
SRB,EUR,P,Serbia,Serbiya
SUI,EUR,P,Switzerland,İsveçrə
SVK,EUR,P,Slovakia,Slovakiya
SWE,EUR,P,Sweden,İsveç 
TCH,EUR,H,Czechoslovakia,Çexoslovakiya 
TUR,EUR,P,Turkey,Türkiyə
UKR,EUR,P,Ukraine,Ukrayna
URS,EUR,H,USSR,SSRİ
YUG,EUR,H,Yugoslavia,Yuqoslaviya
