Discipline,Gender,Event,Phase,Type,ENG Results Long Name (80),ENG Results Short Name (40),AZE Results Long Name (80),AZE Results Short Name (40)
AC,0,000,0,8,Gymnastics Acrobatic,Gymnastics Acrobatic,,
AC,0,000,Y,8,Gymnastic Acrobatic Daily Schedule,Gymnastic Acrobatic Daily Schedule,,
AC,0,NGA,0,8,National Gymnastics Arena,National Gymnastics Arena,,
AC,W,000,0,8,Women's Gymnastics Acrobatic,Women's Gymnastics Acrobatic,,
AC,W,242,0,8,Women's Group All-Around,Women's Group All-Around,,
AC,W,242,1,3,Women's Group All-Around Final,Women's Group All-Around Final,,
AC,W,242,9,3,Women's Group All-Around Qualification,Women's Group All-Around Qualification,,
AC,W,242,M,6,Women's Group All-Around Medal Ceremony,Women's Gr. All-Around Medal Ceremony,,
AC,W,102,0,8,Women's Group - Balance,Women's Group - Balance,,
AC,W,102,1,3,Women's Group - Balance Final,Women's Group - Balance Final,,
AC,W,102,9,3,Women's Group - Balance Qualification,Women's Group - Balance Qualification,,
AC,W,102,M,6,Women's Group - Balance Medal Ceremony,Women's Group - Balance Medal Ceremony,,
AC,W,202,0,8,Women's Group - Dynamic,Women's Group - Dynamic,,
AC,W,202,1,3,Women's Group - Dynamic Final,Women's Group - Dynamic Final,,
AC,W,202,9,3,Women's Group - Dynamic Qualification,Women's Group - Dynamic Qualification,,
AC,W,202,M,6,Women's Group - Dynamic Medal Ceremony,Women's Group - Dynamic Medal Ceremony,,
AC,X,000,0,8,Mixed Gymnastics Acrobatic,Mixed Gymnastics Acrobatic,,
AC,X,241,0,8,Mixed Pair All-Around,Mixed Pair All-Around,,
AC,X,241,1,3,Mixed Pair All-Around Final,Mixed Pair All-Around Final,,
AC,X,241,9,3,Mixed Pair All-Around Qualification,Mixed Pair All-Around Qualification,,
AC,X,241,M,6,Mixed Pair All-Around Medal Ceremony,Mixed Pair All-Around Medal Ceremony,,
AC,X,101,0,8,Mixed Pair - Balance,Mixed Pair - Balance,,
AC,X,101,1,3,Mixed Pair - Balance Final,Mixed Pair - Balance Final,,
AC,X,101,9,3,Mixed Pair - Balance Qualification,Mixed Pair - Balance Qualification,,
AC,X,101,M,6,Mixed Pair - Balance Medal Ceremony,Mixed Pair - Balance Medal Ceremony,,
AC,X,201,0,8,Mixed Pair - Dynamic,Mixed Pair - Dynamic,,
AC,X,201,1,3,Mixed Pair - Dynamic Final,Mixed Pair - Dynamic Final,,
AC,X,201,9,3,Mixed Pair - Dynamic Qualification,Mixed Pair - Dynamic Qualification,,
AC,X,201,M,6,Mixed Pair - Dynamic Medal Ceremony,Mixed Pair - Dynamic Medal Ceremony,,
AE,0,000,0,8,Gymnastics Aerobic,Gymnastics Aerobic,,
AE,0,000,Y,8,Gymnastic Aerobic Daily Schedule,Gymnastic Aerobic Daily Schedule,,
AE,0,NGA,0,8,National Gymnastics Arena,National Gymnastics Arena,,
AE,X,000,0,8,Mixed Gymnastics Aerobic,Mixed Gymnastics Aerobic,,
AE,X,002,0,8,Mixed Pair ,Mixed Pair ,,
AE,X,002,1,3,Mixed Pair Final,Mixed Pair Final,,
AE,X,002,9,3,Mixed Pair Qualification,Mixed Pair Qualification,,
AE,X,002,M,6,Mixed Pair Medal Ceremony,Mixed Pair Medal Ceremony,,
AE,X,004,0,8,Groups,Groups,,
AE,X,004,1,3,Groups Final,Groups Final,,
AE,X,004,9,3,Groups Qualification,Groups Qualification,,
AE,X,004,M,6,Groups Medal Ceremony,Groups Medal Ceremony,,
AR,0,000,0,8,Archery,Archery,,
AR,0,000,Y,8,Archery Daily Schedule,Archery Daily Schedule,,
AR,0,070,Z,8,Archery Individual - Session,Archery Individual - Session,,
AR,0,470,Z,8,Archery Team - Session,Archery Team - Session,,
AR,0,TBS,0,8,Tofiq Bahramov Stadium,Tofiq Bahramov Stadium,,
AR,M,000,0,8,Men,Men,,
AR,M,070,0,8,Men's Individual,Men's Individual,,
AR,M,070,1,3,Men's Individual Medal Matches,Men's Individual Medal Matches,,
AR,M,070,2,3,Men's Individual Semifinals,Men's Individual Semifinals,,
AR,M,070,3,3,Men's Individual Quarterfinals,Men's Individual Quarterfinals,,
AR,M,070,4,3,Men's Individual 1/8 Eliminations,Men's Individual 1/8 Eliminations,,
AR,M,070,5,3,Men's Individual 1/16 Eliminations,Men's Individual 1/16 Eliminations,,
AR,M,070,6,3,Men's Individual 1/32 Eliminations,Men's Individual 1/32 Eliminations,,
AR,M,070,9,3,Men's Individual Ranking Rounds,Men's Individual Ranking Rounds,,
AR,M,070,M,6,Men's Individual Medal Ceremony,Men's Individual Medal Ceremony,,
AR,M,470,0,8,Men's Team,Men's Team,,
AR,M,470,1,3,Men's Team Medal Matches,Men's Team Medal Matches,,
AR,M,470,2,3,Men's Team Semifinals,Men's Team Semifinals,,
AR,M,470,3,3,Men's Team 1/4 Eliminations,Men's Team 1/4 Eliminations,,
AR,M,470,4,3,Men's Team 1/8 Eliminations,Men's Team 1/8 Eliminations,,
AR,M,470,9,3,Men's Team Ranking Rounds,Men's Team Ranking Rounds,,
