Code,Competition Flag,Cluster,ENG Name,AZE  Name
BAC,Y,Flag Square,Baku Aquatics Centre,
BBA,Y,Flag Square,Basketball Arena,
BEA,Y,Flag Square,Beach Arena,
BIL,Y,Village,Bilgah Beach,
BMX,Y,Western,BMX Velopark,
BSH,Y,City,Baku Sports Hall,
CH1,Y,Flag Square,Crystal Hall 1,
CH2,Y,Flag Square,Crystal Hall 2,
CH3,Y,Flag Square,Crystal Hall 3,
CRS,N,,Central Results System,
FSQ,Y,,Freedom Square,
HAA,Y,City,Heydar Aliyev Arena,
MIG,Y,Western,Mingachevir,
NGA,Y,Village,National Gymnastics Arena,
SHO,Y,Western,Baku Shooting Centre,
STA,Y,Village,Stadium,
TBS,Y,City,Tofiq Bahramov Stadium,
VEL,Y,Western,Mountain Bike Velopark,
WAP,Y,Flag Square,Water Polo Arena,
