Code,Type,ENG Name,ENG Short Name
AIBA,IF,Int. Boxing Assoc.,AIBA
BWF,IF,Badminton World Federation,BWF
FEI,IF,Int. Equestrian Federation,FEI
FIBA,IF,International Basketball Fed.,FIBA
FIE,IF,Fed. Int. d'Escrime,FIE
FIFA,IF,Fed. Int. de Football Ass.,FIFA
FIG,IF,Int. Gymnastics Federation,FIG
FIH,IF,Int. Hockey Federation,FIH
FILA,IF,Int.Fed Ass. Wrestling Styles,FILA
FINA,IF,Fed. Int. de Natation,FINA
FISA,IF,Int. Rowing Federation,FISA
WA,IF,World Archery Fed.,WA
FIVB,IF,Int. Volleyball Federation,FIVB
IAAF,IF,Int.Ass.of Athletic Fed.,IAAF
ICF,IF,International Canoe Federation,ICF
IHF,IF,Int. Handball Federation,IHF
IJF,IF,Int. Judo Federation,IJF
ISAF,IF,Int. Sailing Federation,ISAF
ISSF,IF,Int. Shooting Sport Fed.,ISSF
ITF,IF,Int. Tennis Federation,ITF
ITTF,IF,Int. Table Tennis Federation,ITTF
ITU,IF,Int. Triathlon Union,ITU
IWF,IF,Int. Weightlifting Federation,IWF
UCI,IF,International Cycling Union,UCI
UIPM,IF,International Modern Pentathlon Union,UIPM
WTF,IF,The World Taekwondo Federation,WTF
WAE,EF,World Archery Europe,WAE
LEN,EF,Ligue Européenne de Natation,LEN
BEC,EF,Badminton Europe Confederation,BEC
FIBAE,EF,FIBA Europe,FIBAE
FBSSL,EF,Beach Soccer Worldwide,FBSSL
EUBC,EF,European Boxing Confederation,EUBC
ECA,EF,European Canoeing Association,ECA
UEC,EF,European Cycling Union,UEC
EFC,EF,European Fencing Confederation,EFC
UEG,EF,The European Union of Gymnastics,UEG
EJU,EF,European Judo Union,EJU
EKF,EF,European Karate Federation,EKF
ESC,EF,European Shooting Confederation,ESC
ETTU,EF,European Table Tennis Union,ETTU
ETUTK,EF,European Taekwondo Union,ETUTK
ETUTR,EF,European Triathlon Union,ETUTR
CEV,EF,European Volleyball Confederation,CEV
FILA,EF,Int.Fed Ass. Wrestling Styles,FILA
