Code,ENG Description,Category,Origin,AC,AE,AR,AT,B3,BD,BF,BV,BX,CB,CF,CM,CR,DV,FE,GA,GR,GT,JU,KA,SC,SH,SW,SY,TK,TR,TT,VO,WP,WR
4O,4th Official,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,Panel A Judge 1,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A2,Panel A Judge 2,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A3,Panel A Judge 3,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A4,Panel A Judge 4,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A5,Panel A Judge 5,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A6,Panel A Judge 6,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
A7,Panel A Judge 7,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
AA01,Athlete,A,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI1,Artistic Impression Judge 1,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
AI2,Artistic Impression Judge 2,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
AI3,Artistic Impression Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
AI4,Artistic Impression Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
AI5,Artistic Impression Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
AI6,Artistic impression judge 6,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI7,Artistic impression judge 7,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ1,Artistic Judge 1,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ2,Artistic Judge 2,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ3,Artistic Judge 3,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ4,Artistic Judge 4,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT_JDG,Alternate Judge,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
ALT_JDG1,Alternate Judge 1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT_JDG2,Alternate Judge 2,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO01,Team Official,T,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO02,Team Official,T,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Assistant Referee,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,OF,,,,,,
AR1,Assistant Referee 1,S,RESULTS,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,
AR2,Assistant Referee 2,S,RESULTS,,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,
ASK,Assistant Scorekeeper,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistant,Assistant Judge,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AST_COA,Assistant Coach,C,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,,
ATD,Assistant Technical Delegate,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,Panel B Judge 1,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B2,Panel B Judge 2,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B3,Panel B Judge 3,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B4,Panel B Judge 4,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B5,Panel B Judge 5,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B6,Panel B Judge 6,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
B7,Panel B Judge 7,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
CHF_FNS_JDG,Chief Finish Official,S,RESULTS,,,,,,,,,,,OF,,,,,,,,,,,,,,,,,,,
CHF_JDG,Chief Judge,J,RESULTS,,,,,,,,,,,OF,,,,,,,,,,,,,,,,,,,
CHF_MAR,Chief Marshal,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHF_OFF,Chief Official,S,RESULTS,,,,,,,,,,,OF,,,,,,,,,,,,,,,,,,,
CJP,Chair of Judge's Panel,S,RESULTS,OF,OF,,,,,,,,,,,,,,,,OF,,,,,,,,,,,,
CMM,Commissioner,S,RESULTS,,,,,OF,,,,,,,,,,,,,,,,,,,,,,,,,
COACH,Coach,C,RESULTS,,,,,,,CF,,,,,,,,,,,,,,,,,,,,,CF,,
D1,Difficulty Judge 1,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,OF,,,,,,OF,,,,,,
D1_1,Difficulty Judge 1-1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1_2,Difficulty Judge 1-2,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,Difficulty Judge 2,S,RESULTS,OF,OF,,,,,,,,,,,,,,OF,OF,OF,,,,,,OF,,,,,,
D2_1,Difficulty Judge 2-1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2_2,Difficulty Judge 2-1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,Difficulty Judge 3,S,RESULTS,,,,,,,,,,,,,,,,,OF,,,,,,,OF,,,,,,
D4,Difficulty Judge 4,S,RESULTS,,,,,,,,,,,,,,,,,OF,,,,,,,OF,,,,,,
D5,Difficulty Judge 5,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,OF,,,,,,
DOCTOR,Doctor,T,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,,
E1,Execution Judge 1,S,RESULTS,OF,OF,,,,,,,,,,,,OF,,OF,OF,OF,,,,,,OF,,,,,,
E2,Execution Judge 2,S,RESULTS,OF,OF,,,,,,,,,,,,OF,,OF,OF,OF,,,,,,OF,,,,,,
E3,Execution Judge 3,S,RESULTS,OF,OF,,,,,,,,,,,,OF,,OF,OF,OF,,,,,,OF,,,,,,
E4,Execution Judge 4,S,RESULTS,OF,OF,,,,,,,,,,,,OF,,OF,OF,OF,,,,,,OF,,,,,,
E5,Execution Judge 5,S,RESULTS,,,,,,,,,,,,,,OF,,OF,,OF,,,,,,OF,,,,,,
E6,Execution Judge 6,S,RESULTS,,,,,,,,,,,,,,OF,,,,,,,,,,,,,,,,
E7,Execution judge 7,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF04,Executive Board Member,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF05,Technical Delegate,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF06,Federation Staff,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF07,Technical Official,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF08,Equipment Technician,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF09,Technical Official,S,ACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER1,Execution Reference Judge 1,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER2,Execution Reference Judge 2,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC,General Coordinator,S,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOAL_J,Goal Judge,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,
HD_COA,Head Coach,C,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF,
HP,Home Plate Umpire,J,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
