Code,Related Event,Order,ENG Description
ARM070000,ARM070,1,Men's Individual
ARM470000,ARM470,2,Men's Team
ARW070000,ARW070,3,Women's Individual
ARW470000,ARW470,4,Women's Team
ATM001000,ATM001,1,Men's 100m 
ATM002000,ATM002,2,Men's 200m
ATM004000,ATM004,3,Men's 400m 
ATM008000,ATM008,4,Men's 800m 
ATM015000,ATM015,6,Men's 1500m 
ATM030000,ATM030,7,Men's 3000m 
ATM050000,ATM050,10,Men's 5000m 
ATM033000,ATM033,8,Men's 3000m Steeplechase 
ATM012000,ATM012,5,Men's 110m Hurdles 
ATM044000,ATM044,9,Men's 400m Hurdles 
ATM071000,ATM071,17,Men's High Jump 
ATM072000,ATM072,18,Men's Pole Vault 
ATM061000,ATM061,15,Men's Long Jump 
ATM062000,ATM062,16,Men's Triple Jump 
ATM051000,ATM051,11,Men's Shot Put 
ATM052000,ATM052,12,Men's Discus Throw 
ATM054000,ATM054,13,Men's Javelin Throw 
ATM053000,ATM053,14,Men's Hammer Throw 
ATM401000,ATM401,19,Men's 4 x 100m Relay 
ATM404000,ATM404,20,Men's 4 x 400m Relay 
ATW001000,ATW001,21,Women's 100m 
ATW002000,ATW002,22,Women's 200m
ATW004000,ATW004,23,Women's 400m 
ATW008000,ATW008,24,Women's 800m 
ATW015000,ATW015,26,Women's 1500m 
ATW030000,ATW030,27,Women's 3000m 
ATW050000,ATW050,30,Women's 5000m 
ATW033000,ATW033,28,Women's 3000m Steeplechase 
ATW011000,ATW011,25,Women's 100m Hurdles 
ATW044000,ATW044,29,Women's 400m Hurdles 
ATW071000,ATW071,37,Women's High Jump 
ATW072000,ATW072,38,Women's Pole Vault 
ATW061000,ATW061,35,Women's Long Jump 
ATW062000,ATW062,36,Women's Triple Jump 
ATW051000,ATW051,31,Women's Shot Put 
ATW052000,ATW052,32,Women's Discus Throw 
ATW054000,ATW054,33,Women's Javelin Throw 
ATW053000,ATW053,34,Women's Hammer Throw 
ATW401000,ATW401,39,Women's 4 x 100m Relay 
ATW404000,ATW404,40,Women's 4 x 400m Relay 
CFM111000,CFM111,7,Kayak Single (K1) 1000m Men
CFM112000,CFM112,4,Kayak Single (K1) 200m Men
CFM116000,CFM116,9,Kayak Single (K1) 5000m Men
CFM122000,CFM122,10,Kayak Double (K2) 200m Men
CFM121000,CFM121,12,Kayak Double (K2) 1000m Men
CFM141000,CFM141,14,Kayak Four (K4) 1000m Men
CFM211000,CFM211,2,Canoe Single (C1) 1000m Men
CFM212000,CFM212,1,Canoe Single (C1) 200m Men
CFM221000,CFM221,3,Canoe Double (C2) 1000m Men
CFW112000,CFW112,5,Kayak Single (K1) 200m Women
CFW122000,CFW122,11,Kayak Double (K2) 200m Women
CFW115000,CFW115,6,Kayak Single (K1) 500m Women
CFW125000,CFW125,13,Kayak Double (K2) 500m Women
CFW145000,CFW145,15,Kayak Four (K4) 500m Women
CFW116000,CFW116,8,Kayak Single (K1) 5000m Women
SHM101000,SHM101,5,10m Air Rifle Men
SHM101100,SHM101,6,10m Air Rifle Men's Finals
SHM103000,SHM103,3,50m Rifle Prone Men
SHM103100,SHM103,4,50m Rifle Prone Men's Finals
SHM104000,SHM104,1,50m Rifle 3 Positions Men
SHM104100,SHM104,2,50m Rifle 3 Positions Men's Finals
SHM201000,SHM201,7,50m Pistol Men
SHM201100,SHM201,8,50m Pistol Men's Finals
SHM202000,SHM202,9,25m Rapid Fire Pistol Men
SHM202100,SHM202,10,25m Rapid Fire Pistol Men's Finals
SHM203000,SHM203,11,10m Air Pistol Men
SHM203100,SHM203,12,10m Air Pistol Men's Finals
SHM401000,SHM401,13,Trap Men
SHM402000,SHM402,14,Double Trap Men
SHM403000,SHM403,15,Skeet Men
SHW101000,SHW101,18,10m Air Rifle Women
SHW101100,SHW101,19,10m Air Rifle Women's Finals
SHW104000,SHW104,16,50m Rifle 3 Positions Women
SHW104100,SHW104,17,50m Rifle 3 Positions Women's Finals
SHW203000,SHW203,21,10m Air Pistol Women
SHW203100,SHW203,22,10m Air Pistol Women's Finals
SHW204000,SHW204,20,25m Pistol Women
SHW401000,SHW401,23,Trap Women
SHW403000,SHW403,24,Skeet Women
SHX421000,SHX421,25,Mixed Team Trap
SHX423000,SHX423,26,Mixed Team Skeet
SHX121000,SHX121,27,Mixed Team 10m AIR 50 Rifle
SHX223000,SHX223,28,Mixed Team 10m AIR 50 Pistol
SWM010000,SWM010,1,Men's 50m Freestyle
SWM011000,SWM011,2,Men's 100m Freestyle
SWM012000,SWM012,3,Men's 200m Freestyle
SWM014000,SWM014,4,Men's 400m Freestyle
SWM018000,SWM018,5,Men's 800m Freestyle
SWM015000,SWM015,6,Men's 1500m Freestyle
SWM020000,SWM020,13,Men's 50m Butterfly
SWM021000,SWM021,14,Men's 100m Butterfly
SWM022000,SWM022,15,Men's 200m Butterfly
SWM030000,SWM030,10,Men's 50m Breaststroke
SWM031000,SWM031,11,Men's 100m Breaststroke
SWM032000,SWM032,12,Men's 200m Breaststroke
SWM040000,SWM040,7,Men's 50m Backstroke
SWM041000,SWM041,8,Men's 100m Backstroke
SWM042000,SWM042,9,Men's 200m Backstroke
SWM052000,SWM052,16,Men's 200m Individual Medley
SWM054000,SWM054,17,Men's 400m Individual Medley
SWM411000,SWM411,18,Men's 4 x 100m Freestyle Relay
SWM412000,SWM412,19,Men's 4 x 200m Freestyle Relay
SWM451000,SWM451,20,Men's 4 x 100m Medley Relay
SWW010000,SWW010,21,Women's 50m Freestyle
SWW011000,SWW011,22,Women's 100m Freestyle
SWW012000,SWW012,23,Women's 200m Freestyle
SWW014000,SWW014,24,Women's 400m Freestyle
SWW018000,SWW018,25,Women's 800m Freestyle
SWW015000,SWW015,26,Women's 1500m Freestyle
SWW020000,SWW020,33,Women's 50m Butterfly
SWW021000,SWW021,34,Women's 100m Butterfly
SWW022000,SWW022,35,Women's 200m Butterfly
SWW030000,SWW030,30,Women's 50m Breaststroke
SWW031000,SWW031,31,Women's 100m Breaststroke
SWW032000,SWW032,32,Women's 200m Breaststroke
SWW040000,SWW040,27,Women's 50m Backstroke
SWW041000,SWW041,28,Women's 100m Backstroke
SWW042000,SWW042,29,Women's 200m Backstroke
SWW052000,SWW052,36,Women's 200m Individual Medley
SWW054000,SWW054,37,Women's 400m Individual Medley
SWW411000,SWW411,38,Women's 4 x 100m Freestyle Relay
SWW412000,SWW412,39,Women's 4 x 200m Freestyle Relay
SWW451000,SWW451,40,Women's 4 x 100m Medley Relay
SWX411000,SWX411,41,Mixed 4 x 100m Freestyle Relay
SWX451000,SWX451,42,Mixed 4 x 100m Medley Relay
