Code,Venue,Discipline,ENG Name
NGAAC1,National Gymnastics Arena,AC,Origin for messages generated by OVR at Gymnastics Acrobatic,
NGAAE1,National Gymnastics Arena,AE,Origin for messages generated by OVR at Gymnastics Aerobic,
TBSAR1,Tofiq Bahramov Stadium,AR,Origin for messages generated by OVR at Archery,
STAAT1,Stadium,AT,Origin for messages generated by OVR at Athletics,
BBAB31,Basketball Arena,B3,Origin for messages generated by OVR at Basketball 3x3,
BSHBD1,Baku Sports Hall,BD,Origin for messages generated by OVR at Badminton,
BEABF1,Beach Arena,BF,Origin for messages generated by OVR at Beach Soccer,
BEABV1,Beach Arena,BV,Origin for messages generated by OVR at Beach Volleyball,
CH2BX1,Crystal Hall 2,BX,Origin for messages generated by OVR at Boxing,
BMXCB1,BMX Velopark,CB,Origin for messages generated by OVR at Cycling BMX,
MIGCF1,Mingachevir,CF,Origin for messages generated by OVR at Canoe Sprint,
VELCM1,Mountain Bike Velopark,CM,Origin for messages generated by OVR at Cycling Mountain Bike,
BACDV1,Baku Aquatics Centre,DV,Origin for messages generated by OVR at Diving,
CH3FE1,Crystal Hall 3,FE,Origin for messages generated by OVR at Fencing,
NGAGA1,National Gymnastics Arena,GA,Origin for messages generated by OVR at Gymnastics Artistic,
CGS,-,GL,Origin for messages generated by CGS,
CRS,-,GL,Origin for messages generated by CRS,
WEA,-,GL,Origin for messages generated by Weather Provider,
NGAGR1,National Gymnastics Arena,GR,Origin for messages generated by OVR at Gymnastics Rhythmic,
NGAGT1,National Gymnastics Arena,GT,Origin for messages generated by OVR at Trampoline,
HAAJU1,Heydar Aliyev Arena,JU,Origin for messages generated by OVR at Judo,
CH3KA1,Crystal Hall 3,KA,Origin for messages generated by OVR at Karate,
HAASC1,Heydar Aliyev Arena,SC,Origin for messages generated by OVR at Sambo,
SHOSH1,Baku Shooting Centre,SH,Origin for messages generated by OVR at Shooting,
BACSW1,Baku Aquatics Centre,SW,Origin for messages generated by OVR at Swimming,
BACSY1,Baku Aquatics Centre,SY,Origin for messages generated by OVR at Synchronised Swimming,
CH3TK1,Crystal Hall 3,TK,Origin for messages generated by OVR at Taekwondo,
BILTR1,Bilgah Beach,TR,Origin for messages generated by OVR at Triathlon,
BSHTT1,Baku Sports Hall,TT,Origin for messages generated by OVR at Table Tennis,
CH1VO1,Crystal Hall 1,VO,Origin for messages generated by OVR at Volleyball,
WAPWP1,Water Polo Arena,WP,Origin for messages generated by OVR at Water Polo
HAAWR1,Heydar Aliyev Arena,WR,Origin for messages generated by OVR at Wrestling
