Code,Competition Flag,Cluster,ENG Name,ENG Short Name,AZE  Name
BAC,Y,Flag Square,Baku Aquatics Centre,Baku Aquatics Centre,Bakı Su İdmanı Mərkəzi
BBA,Y,Flag Square,Basketball Arena,Basketball Arena,Basketbol Arenası 
BEA,Y,Flag Square,Beach Arena,Beach Arena,Çimərlik Arenası 
BIL,Y,Village,Bilgah Beach,Bilgah Beach,Bilgəh Çimərliyi
BMX,Y,Western & Other Venues,BMX Velopark,BMX Velopark,BMX Veloparkı
BSH,Y,City,Baku Sports Hall,Baku Sports Hall,Bakı İdman Zalı
CH1,Y,Flag Square,Crystal Hall 1,Crystal Hall 1,Bakı Kristal Zalı 1
CH2,Y,Flag Square,Crystal Hall 2,Crystal Hall 2,Bakı Kristal Zalı 2
CH3,Y,Flag Square,Crystal Hall 3,Crystal Hall 3,Bakı Kristal Zalı 3
CRS,N,,Central Results System,Central Results System,
FSQ,Y,City,Freedom Square,Freedom Square,Azadlıq Meydanı
HAA,Y,City,Heydar Aliyev Arena,Heydar Aliyev Arena,Heydər Əliyev adına İdman Arenası
MIG,Y,Western & Other Venues,Mingachevir,Mingachevir,Mingəçevir
NGA,Y,Village,National Gymnastics Arena,National Gymnastics Arena,Milli Gimnastika Arenası
SHO,Y,Western & Other Venues,Baku Shooting Centre,Baku Shooting Centre,Bakı Atıcılıq Mərkəzi
STA,Y,Village,National Stadium,National Stadium,Milli Stadion
TBS,Y,City,Tofiq Bahramov Stadium,Tofiq Bahramov Stadium,Tofiq Bəhramov adına Respublika Stadionu
VEL,Y,Western & Other Venues,Mountain Bike Velopark,Mountain Bike Velopark,Dağ Velosipedi Parkı
WAP,Y,Flag Square,Water Polo Arena,Water Polo Arena,Voterpol Arenası
