Discipline,recordgroup,recordtype,ENG Description,FRA Description,POR Description,Order
AR,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,2
AR,WR,WR,World Record,Record du monde,Recorde mundial,1
AT,AB,AB,Area Best,Meilleure performance de la région,Melhor marca regional,20
AT,AF,AF,African Record,Record d'Afrique,Recorde africano,10
AT,ALL,ALL,Top 10 All Time,Meilleurs performeurs de tous les temps,Melhores performances de todos os tempos,17
AT,AR,AR,Area Record,Record de la région,Recorde regional,21
AT,AS,AS,Asian Record,Record d'Asie,Recorde asiático,11
AT,BOP,BOP,Best Olympic Performances (Top 10),Meilleures performances olympiques,Melhores performances Olímpicas (top 10),18
AT,ER,ER,European Record,Record d'Europe,Recorde europeu,12
AT,NA,NA,North American Record,Record d'Amérique du Nord,Recorde norte-americano,13
AT,NB,NB,National Best,Meilleure perf. Nationale,Melhor marca nacional,22
AT,NR,NR,National Record,Record national,Recorde nacional,16
AT,OC,OC,Oceania Record,Record d'Océanie,Recorde da Oceania,14
AT,ODB,ODB,Olympic Decathlon Best,Meilleures performances olympiques au dé,Melhor performance Olímpica no decatlo,5
AT,OHB,OHB,Olympic Heptathlon Best,Meilleures performances olympiques au he,Melhor performance Olímpica no heptatlo,6
AT,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,2
AT,PB,PB,Personal Best,Meilleure perf. Personnelle,Melhor marca pessoal,23
AT,SA,SA,South American Record,Record d'Amérique du Sud,Recorde sul-americano,15
AT,SB,SB,Seasonal Best,Meilleure perf. de la saison,Melhor marca da temporada,24
AT,SBP,SBP,Top 10-2016 Results by July 23,Meilleurs performeurs de 2016,Melhores performances de 2016 (atletas t,19
AT,WDB,WDB,World Decathlon Best,Meilleures performances mondiale au déca,Melhor performance mundial no decatlo,3
AT,WDJB,WDJB,World Decathlon Junior Best,Meilleures performances mondiale junior,Melhor performance do decatlo,8
AT,WHB,WHB,World Heptathlon Best,Meilleures performances mondiale au hept,Melhor performance mundial no heptatlo,4
AT,WHJB,WHJB,World Heptathlon Junior Best,Meilleures performances mondiale junior,Melhor performance do heptatlo,9
AT,WJR,WJR,World Junior Record,Record du monde junior,Recorde mundial júnior,7
AT,WR,WR,World Record,Record du monde,Recorde mundial,1
CF,OB,OB,Olympic Best Time,Olympic Best Time,Melhor marca Olímpica,2
CF,WB,WB,World Best,Meilleure performance mondiale,Melhor marca mundial,1
CT,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,2
CT,WR,WR,World Record,Record du monde,Recorde mundial,1
FE,TOT,TOT,World Ranking,Classement mondial,Ranking mundial,1
MP,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,3
MP,OR,EOR,Equalled Olympic Record,Record olympique égalé,Recorde Olímpico igualado,4
MP,WR,WR,World Record,Record du monde,Recorde mundial,1
MP,WR,EWR,Equalled World Record,Record du monde égalé,Recorde mundial igualado,2
RO,OB,OB,Olympic Best,Meilleure performance olympique,Melhor marca Olímpica,2
RO,WB,WB,World Best,Meilleure performance mondiale,Melhor marca mundial,1
SH,FOR,FOR,Finals Olympic Record,Record olympique des finales,Recorde da final Olímpica,7
SH,FOR,EFOR,Equalled Finals Olympic Record,Record olympique égalé des finales,Recorde da final Olímpica igualado,8
SH,FWR,FWR,Finals World Record,Record du monde des finales,Recorde da final mundial,3
SH,FWR,EFWR,Equalled Finals World Record,Record du monde égalé des finales,Recorde da final mundial igualado,4
SH,FWRJ,FWRJ,Finals World Record Junior,Record du monde junior des finales,Recorde da final mundial júnior,11
SH,FWRJ,EFWRJ,Equalled Finals World Record Junior,Record du monde junior égalé des finales,Recorde da final mundial júnior igualado ,12
SH,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,5
SH,OR,EOR,Equalled Olympic Record,Record olympique égalé,Recorde Olímpico igualado,6
SH,WR,WR,World Record,Record du monde,Recorde mundial,1
SH,WR,EWR,Equalled World Record,Record du monde égalé,Recorde mundial igualado,2
SH,WRJ,WRJ,World Record Junior,Record du monde junior,Recorde mundial júnior,9
SH,WRJ,EWRJ,Equalled World Record Junior,Record du monde junior égalé,Recorde mundial júnior igualado,10
SW,AF,AF,African Record,Record d'Afrique,Recorde africano,3
SW,ALL,ALL,Top 10 All Time,Meilleurs performeurs de tous les temps,Melhores performances de todos os tempos,9
SW,AM,AM,Americas Record,Record des Amériques,Recorde das Américas,4
SW,AS,AS,Asian Record,Record d'Asie,Recorde asiático,5
SW,ER,ER,European Record,Record d'Europe,Recorde europeu,6
SW,J,J,WJ record at intermediate distance,RJ à distance intermédiaire,RJ de distância intermediária,14
SW,O,O,Olympic record at intermediate distance,RO à distance intermédiaire,RO de distância intermediária,13
SW,OC,OC,Oceania Record,Record d'Océanie,Recorde da Oceania,7
SW,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,2
SW,SBP,SBP,2016 Best Performers (Top 10 athletes),Meilleurs performeurs de 2016,Melhores performances de 2016 (atletas t,10
SW,W,W,World record at intermediate distance,RM à distance intermédiaire,RM de distância intermediária,12
SW,WJ,WJ,World Junior Record,Record du monde junior,Recorde mundial júnior,8
SW,WR,WR,World Record,Record du monde,Recorde mundial,1
SW,WRC,WRC,World Record Chronology (Last 10 WR),Chronologie des records du monde,Cronologia dos recordes mundiais (dez úl,11
WL,JWR,JWR,World Junior Record,Record du monde junior,Recorde mundial júnior,3
WL,OR,OR,Olympic Record,Record olympique,Recorde Olímpico,2
WL,WR,WR,World Record,Record du monde,Recorde mundial,1
