Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
A01,OLS,1,Y,Olympic Stadium - Road Events,Stade Olympique - Route,Estádio Olímpico-Eventos rua,Olympic Stadium - Road Events,Stade Olympique - Évènement sur route,Estádio Olímpico - Eventos de rua,OLSAT1,
A02,OLS,2,Y,Olympic Stadium - Track Events,Stade Olympique - Piste,Estádio Olímpico-Eventos pista,Olympic Stadium - Track Events,Stade Olympique - Évènement sur piste,Estádio Olímpico - Eventos de pista,OLSAT1,
A03,OLS,3,Y,Olympic Stadium - High Jump 1,Stade Olympique-Saut hauteur 1,Estádio Olímpico-Altura 1,Olympic Stadium - High Jump 1,Stade Olympique - Saut en hauteur 1,Estádio Olímpico - Salto em altura 1,OLSAT1,
A04,OLS,4,Y,Olympic Stadium - High Jump 2,Stade Olympique-Saut hauteur 2,Estádio Olímpico-Altura 2,Olympic Stadium - High Jump 2,Stade Olympique - Saut en hauteur 2,Estádio Olímpico - Salto em altura 2,OLSAT1,
A05,OLS,5,Y,Olympic Stadium - Horiz Jump 1,Stade Olympique-Longueur 1,Estádio Olímpico-Horizontais 1,Olympic Stadium - Horizontal Jumps 1,Stade Olympique - Saut en longueur 1,Estádio Olímpico - Saltos horizontais 1,OLSAT1,
A06,OLS,6,Y,Olympic Stadium - Horiz Jump 2,Stade Olympique-Longueur 2,Estádio Olímpico-Horizontais 2,Olympic Stadium - Horizontal Jumps 2,Stade Olympique - Saut en longueur 2,Estádio Olímpico - Saltos horizontais 2,OLSAT1,
A07,OLS,7,Y,Olympic Stadium - Pole Vault 1,Stade Olympique - Perche 1,Estádio Olímpico-Salto vara 1,Olympic Stadium - Pole Vault 1,Stade Olympique - Perche 1,Estádio Olímpico - Salto com vara 1,OLSAT1,
A08,OLS,8,Y,Olympic Stadium - Pole Vault 2,Stade Olympique - Perche 2,Estádio Olímpico-Salto vara 2,Olympic Stadium - Pole Vault 2,Stade Olympique - Perche 2,Estádio Olímpico - Salto com vara 2,OLSAT1,
A09,OLS,9,Y,Olympic Stadium - Shot Put 1,Stade Olympique-Lancer poids 1,Estádio Olímpico - Peso 1,Olympic Stadium - Shot Put 1,Stade Olympique - Lancer de poids 1,Estádio Olímpico - Arremesso do peso 1,OLSAT1,
A10,OLS,10,Y,Olympic Stadium - Shot Put 2,Stade Olympique-Lancer poids 2,Estádio Olímpico - Peso 2,Olympic Stadium - Shot Put 2,Stade Olympique - Lancer de poids 2,Estádio Olímpico - Arremesso do peso 2,OLSAT1,
A11,OLS,11,Y,Olympic Stadium - Long Throws,Stade Olympique - Lancer,Estádio Olímpico - Arremessos,Olympic Stadium - Long Throws,Stade Olympique - Lancer,Estádio Olímpico - Arremessos,OLSAT1,
A12,PON,12,Y,Pontal - Race walk,Pontal - Marche,Pontal - Marcha atlética,Pontal - Race walk,Pontal - Marche,Pontal - Marcha atlética,PONAT1,
A13,SBD,13,Y,Sambódromo - Marathon,Sambódromo - Marathon,Sambódromo - Maratona,Sambódromo - Marathon,Sambódromo - Marathon,Sambódromo - Maratona,SBDAT1,
AMZ,AMZ,,Y,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,AMZFB1,
