Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,ENG phase Description,FRA phase Description,POR phase Description
AF,0,CMD,0,8,Comedy,Comédie,Comédia,Comedy,Comédie,Comédia,,,
AF,0,CRC,0,8,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,,,
AF,0,CUL,0,8,General,Général,Geral,General,Général,Geral,,,
AF,0,CUL,1,8,General,Général,Geral,General,Général,Geral,,,
AF,0,CUL,2,8,General,Général,Geral,General,Général,Geral,,,
AF,0,DGT,0,8,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,,,
AF,0,DNC,0,8,Dance,Danse,Dança,Dance,Danse,Dança,,,
AF,0,LTR,0,8,Literary Arts,Arts Littéraires,Artes literárias,Literary Arts,Arts Littéraires,Artes literárias,,,
AF,0,MSC,0,8,Music,Musique,Música,Music,Musique,Música,,,
AF,0,SPO,0,8,General,Général,Geral,General,Général,Geral,,,
AF,0,THT,0,8,Theatre,Théâtre,Teatro,Theatre,Théâtre,Teatro,,,
AF,0,VSL,0,8,Visual Arts,Arts Visuels,Artes visuais,Visual Arts,Arts Visuels,Artes visuais,,,
AF,0,VSL,1,8,Visual Arts,Arts Visuels,Artes visuais,Visual Arts,Arts Visuels,Artes visuais,,,
AQ,0,000,0,8,Aquatics Sport,Natation,Desportos Aquáticos,Aquatics Sport,Natation,Desportos Aquáticos,,,
AR,0,000,0,8,Archery,Tir à l'arc,Tiro com arco,Archery,Tir à l'arc,Tiro com arco,,,
AR,0,000,N,7,Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",,,
AR,0,000,Q,4,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião chefes de equipe,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião dos chefes de equipe,,,
AR,0,000,Y,8,Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",,,
