Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,POR unit Description
AF,0,CUL,0,00,General,Général,Geral,General,Général,Geral,N/A,,N,0,NONE,N,N,"","",""
AQ,0,000,0,00,Aquatics Sport,Natation,Desportos Aquáticos,Aquatics Sport,Natation,Desportos Aquáticos,Sport,1,N,0,NONE,N,N,"","",""
AR,0,000,0,00,Archery,Tir à l'arc,Tiro com arco,Archery,Tir à l'arc,Tiro com arco,Discipline,2,N,0,NONE,N,N,"","",""
AR,0,000,N,01,Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",Draw,18,Y,0,NONE,N,Y,"","",""
AR,0,000,Q,01,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião chefes de equipe,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião dos chefes de equipe,Meetings,19,Y,0,NONE,N,Y,"","",""
AR,0,000,Y,00,Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,01,Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,02,Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,03,Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,04,Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,05,Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,06,Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,07,Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,08,Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,09,Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,10,Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,11,Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,12,Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,13,Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,14,Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,15,Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,16,Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,17,Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,18,Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,19,Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,20,Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,21,Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,22,Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,23,Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,24,Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,25,Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,26,Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,27,Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,28,Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,29,Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,30,Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,31,Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Day,4,N,0,NONE,N,N,"","",""
AR,0,070,Z,00,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,StyleSession,9,N,0,NONE,N,N,"","",""
AR,0,070,Z,01,Session 1,Session 1,Sessão 1,Session 1,Session 1,Sessão 1,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,02,Session 2,Session 2,Sessão 2,Session 2,Session 2,Sessão 2,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,03,Session 3,Session 3,Sessão 3,Session 3,Session 3,Sessão 3,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,04,Session 4,Session 4,Sessão 4,Session 4,Session 4,Sessão 4,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,05,Session 5,Session 5,Sessão 5,Session 5,Session 5,Sessão 5,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,06,Session 6,Session 6,Sessão 6,Session 6,Session 6,Sessão 6,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,07,Session 7,Session 7,Sessão 7,Session 7,Session 7,Sessão 7,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,08,Session 8,Session 8,Sessão 8,Session 8,Session 8,Sessão 8,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,09,Session 9,Session 9,Sessão 9,Session 9,Session 9,Sessão 9,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,10,Session 10,Session 10,Sessão 10,Session 10,Session 10,Sessão 10,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,11,Session 11,Session 11,Sessão 11,Session 11,Session 11,Sessão 11,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,12,Session 12,Session 12,Sessão 12,Session 12,Session 12,Sessão 12,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,13,Session 13,Session 13,Sessão 13,Session 13,Session 13,Sessão 13,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,14,Session 14,Session 14,Sessão 14,Session 14,Session 14,Sessão 14,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,15,Session 15,Session 15,Sessão 15,Session 15,Session 15,Sessão 15,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,16,Session 16,Session 16,Sessão 16,Session 16,Session 16,Sessão 16,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,17,Session 17,Session 17,Sessão 17,Session 17,Session 17,Sessão 17,StyleSession,9,Y,0,NONE,Y,N,"","",""
