Id,ENG Description,FRA Description,POR Description
AP,Appaloosa,Appalouse,Appaloosa
BA,Bay,Bai,Castanho
BL,Black,Noir,Negro
CH,Chestnut,Alezan,Alazão
CR,Cream,Crème,Creme
DB,Dark Bay,Bai foncé,Castanho Oscuro
DC,Dark Chestnut,Alezan brûlé,Alazão Tostado
DG,Dark Grey,Gris foncé,Cinza Escuro
DU,Dun,Isabelle,Baio
GR,Grey,Gris,Cinza   
LB,Light Bay,Bai clair,Castanho Claro
LC,Light Chestnut,Alezan clair,Alazão dourado
NL,Not listed,Non inclus dans la liste,Não listado
PA,Palomino,Palomino,Palomino
PB,Piebald/Skewbald,Pie noir/pie alezan,Pio / mulato
RO,Roan,Rouan,Ruano
ST,Strawberry,Aubère,Overo
