Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
AR,Archery,Tir à l'arc,Tiro com Arco,Archery,Tir à l'arc,Tiro com Arco
AT,Athletics,Athlétisme,Atletismo,Athletics,Athlétisme,Atletismo
BD,Badminton,Badminton,Badminton,Badminton,Badminton,Badminton
BK,Basketball,Basketball,Basquetebol,Basketball,Basketball,Basquetebol
BV,Beach Volleyball,Volleyball de plage,Vôlei de Praia,Beach Volleyball,Volleyball de plage,Vôlei de Praia
BX,Boxing,Boxe,Boxe,Boxing,Boxe,Boxe
CB,Cycling BMX,BMX,Ciclismo BMX,Cycling BMX,BMX,Ciclismo BMX
CF,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem Velocidade,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem Velocidade
CM,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo Mountain Bike,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo Mountain Bike
CR,Cycling Road,Cyclisme sur route,Ciclismo de Estrada,Cycling Road,Cyclisme sur route,Ciclismo de Estrada
CS,Canoe Slalom,"Canoë-kayak, slalom",Canoagem Slalom,Canoe Slalom,"Canoë-kayak, slalom",Canoagem Slalom
CT,Cycling Track,Cyclisme sur piste,Ciclismo de Pista,Cycling Track,Cyclisme sur piste,Ciclismo de Pista
DV,Diving,Plongeon,Saltos Ornamentais,Diving,Plongeon,Saltos Ornamentais
EQ,Equestrian,Sports équestres,Hipismo,Equestrian,Sports équestres,Hipismo
FB,Football,Football,Futebol,Football,Football,Futebol
FE,Fencing,Escrime,Esgrima,Fencing,Escrime,Esgrima
GA,Artistic Gymnastics,Gymnastique artistique,Ginástica Artística,Artistic Gymnastics,Gymnastique artistique,Ginástica Artística
GL,General,Général,Geral,General,Général,Geral
GO,Golf,Golf,Golfe,Golf,Golf,Golfe
GR,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica Rítmica,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica Rítmica
GT,Trampoline Gymnastics,Trampoline,Ginástica de Trampolim,Trampoline Gymnastics,Trampoline,Ginástica de Trampolim
HB,Handball,Handball,Handebol,Handball,Handball,Handebol
HO,Hockey,Hockey,Hóquei sobre grama,Hockey,Hockey,Hóquei sobre grama
JU,Judo,Judo,Judô,Judo,Judo,Judô
MP,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno
OW,Marathon Swimming,Natation de marathon,Maratonas Aquáticas,Marathon Swimming,Natation de marathon,Maratonas Aquáticas
RO,Rowing,Aviron,Remo,Rowing,Aviron,Remo
RU,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby Sevens,Rugby à 7,Rugby de 7
SA,Sailing,Voile,Vela,Sailing,Voile,Vela
SH,Shooting,Tir,Tiro Esportivo,Shooting,Tir,Tiro Esportivo
SW,Swimming,Natation,Natação,Swimming,Natation,Natação
SY,Synchronised Swimming,Natation synchronisée,Nado Sincronizado,Synchronised Swimming,Natation synchronisée,Nado Sincronizado
TE,Tennis,Tennis,Tênis,Tennis,Tennis,Tênis
TK,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo
TR,Triathlon,Triathlon,Triatlo,Triathlon,Triathlon,Triatlo
TT,Table Tennis,Tennis de table,Tênis de Mesa,Table Tennis,Tennis de table,Tênis de Mesa
VO,Volleyball,Volleyball,Voleibol,Volleyball,Volleyball,Voleibol
WL,Weightlifting,Haltérophilie,Levantamento de Peso,Weightlifting,Haltérophilie,Levantamento de Peso
WP,Water Polo,Water-polo,Polo Aquático,Water Polo,Water-polo,Polo Aquático
WR,Wrestling,Lutte,Luta Olímpica,Wrestling,Lutte,Luta Olímpica
