Id,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,IndoorOutdoor,Cluster,City
AMZ,Y,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,O,FBC,Manaus
AQC,Y,Maria Lenk Aquatics Ctr,Ctre aquatique Maria Lenk,Ctr Aquático Maria Lenk,Maria Lenk Aquatics Centre,Centre aquatique Maria Lenk,Centro Aquático Maria Lenk,,BAT,Rio de Janeiro
BMX,Y,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,O,DEO,Rio de Janeiro
BVA,Y,Beach Volleyball Arena,Stade volleyball de plage,Arena de Vôlei de Praia,Beach Volleyball Arena,Stade de volleyball de plage,Arena de Vôlei de Praia,O,COP,Rio de Janeiro
CA1,Y,Carioca Arena 1,Halle Carioca 1,Arena Carioca 1,Carioca Arena 1,Halle Carioca 1,Arena Carioca 1,I,BAT,Rio de Janeiro
CA2,Y,Carioca Arena 2,Halle Carioca 2,Arena Carioca 2,Carioca Arena 2,Halle Carioca 2,Arena Carioca 2,I,BAT,Rio de Janeiro
CA3,Y,Carioca Arena 3,Halle Carioca 3,Arena Carioca 3,Carioca Arena 3,Halle Carioca 3,Arena Carioca 3,I,BAT,Rio de Janeiro
DAQ,Y,Deodoro Aquatics Centre,Centre aquatique Deodoro,Centro Aquático Deodoro,Deodoro Aquatics Centre,Centre aquatique de Deodoro,Centro Aquático de Deodoro,,DEO,Rio de Janeiro
DES,Y,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,,DEO,Rio de Janeiro
EQC,Y,Olympic Equestrian Centre,Ctre Olympique Équitation,Ctr. Olímpico de Hipismo,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,O,DEO,Rio de Janeiro
FNA,Y,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,O,FBC,Salvador
FTA,Y,Future Arena,Halle du futur,Arena do Futuro,Future Arena,Halle du futur,Arena do Futuro,I,BAT,Rio de Janeiro
FTC,Y,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,O,COP,Rio de Janeiro
GLO,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,O,COP,Rio de Janeiro
LAG,Y,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,Lagoa Stadium,Stade de Lagoa,Estádio da Lagoa,O,COP,Rio de Janeiro
MBT,Y,Mountain Bike Centre,Centre de mountain bike,Centro de Mountain Bike,Mountain Bike Centre,Centre de mountain bike,Centro de Mountain Bike,O,DEO,Rio de Janeiro
MGA,Y,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,Mané Garrincha Stadium,Stade Mané Garrincha,Estádio Mané Garrincha,O,FBC,Brasília
MIN,Y,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,Mineirão,O,FBC,Belo Horizonte
MNZ,Y,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,Maracanãzinho,I,MRZ,Rio de Janeiro
