Id,ENG Description,FRA Description,POR Description
FOC,Future Organizing Committees,Futurs comités d'organisation,Futuros Comitês Organizadores
GOV,Brazil Government,Gouvernement Brésilien,Governo Brasileiro
IF,International Federations,Fédérations Internationales,Federações Internacionais
IOC,Int. Olympic Committee,Comité International Olympique,Comitê Olímpico Internacional
IPC,Int. Paralympic Committee,C. International Paralympique,Comitê Paralímpico Internacion
NGB,National Governing Body,Autorité régulatrice nationale,Autoridade reguladora nacional
NOC,National Olympic Committees,Comités Nationaux Olympiques,Comitês Olímpicos Nacionais
NPC,National Paralympic Committees,Comt. Nationaux Paralympiques,Comitês Paralímpicos Nacionais
OC,Organizing Committee,Comité d'organisation,Comitê Organizador
ORG,Brazil Organisation,Organisation Brésilienne,Organização Brasileira
