Function,Discipline,Order,Category,ENG Description,FRA Description,POR Description,SPA Description,Partic,Results
AA01,AR,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
COACH,AR,1,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
AA01,AT,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
P01,AT,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
AA01,BD,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
SJ,BD,2,J,Service Judge,Juge de service,Juiz de serviço,Juez de servicio,Y,Y
UM,BD,1,S,Umpire,Arbitre,Árbitro,Árbitro,Y,Y
AA01,BK,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AST_COA,BK,2,C,Assistant Coach,Entraîneur assistant,Assistente técnico,Entrenador asistente,Y,Y
CMM,BK,4,S,Commissioner,Commissaire,Comissário,Comisario,Y,Y
COACH,BK,1,C,Coach,Entraîneur,Treinador,Entrenador,Y,Y
JUR_ME,BK,3,J,Jury Member,Membre du jury,Membro do júri,Miembro del jurado,Y,N
RE,BK,5,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
UM,BK,6,S,Umpire,Arbitre,Árbitro,Árbitro,Y,Y
AA01,BV,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
Line_Judge,BV,5,J,Line Judge,Juge de ligne,Árbitro de linha,Juez de línea,Y,N
OFFIC,BV,4,S,Official,Officiel,Oficial,Oficial,Y,N
R1,BV,2,J,1st Referee,Premier arbitre,Primeiro árbitro,Primer árbitro,Y,Y
R2,BV,3,J,2nd Referee,Second arbitre,Segundo árbitro,Segundo árbitro,Y,Y
RE,BV,1,J,Referee,Arbitre,Árbitro ,Árbitro,Y,N
SK,BV,6,S,Scorer,Marqueur,Anotador,Anotador,y,N
AA01,BX,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
J1,BX,4,J,Judge 1,Juge 1,Juiz 1,Juez 1,Y,Y
J2,BX,5,J,Judge 2,Juge 2,Juiz 2,Juez 2,Y,Y
J3,BX,6,J,Judge 3,Juge 3,Juiz 3,Juez 3,Y,Y
J4,BX,7,J,Judge 4,Juge 4,Juiz 4,Juez 4,Y,Y
J5,BX,8,J,Judge 5,Juge 5,Juiz 5,Juez 5,Y,Y
JU,BX,3,J,Judge,Juge,Juiz,Juez,Y,N
P03,BX,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
RE,BX,2,J,Referee,Arbitre,Árbitro ,Árbitro,Y,Y
AA01,CB,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
P01,CB,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
AA01,CF,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
COMP_MGR,CF,,S,ICF Competition Manager,Directeur de Compétition ICF,Gerente de Competição ICF,Director de la competencia ICF,Y,Y
JU,CF,,J,Chief Judge,Juge arbitre,Juiz principal,Director general,Y,Y
OFFIC,CF,,S,Chief Official,Officiel en chef,Diretor de prova,Director de árbitros,Y,Y
OFFIC_AST,CF,,S,Deputy Chief Official,Officiel en chef assistant,Diretor de prova adjunto,Subdirector de árbitros,Y,Y
P03,CF,1,C,Training Partner,Partenaire d'entraînement,Parceiro de treino,Compañero de entrenamiento,Y,N
STR,CF,,J,Starter,Juge de départ,Juiz de largada,Juez de partida,Y,Y
UM,CF,,J,Course Umpire,Juge de parcours,Árbitro da prova,Árbitro de pista o recorrido,Y,Y
AA01,CM,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,CR,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,CS,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
AA01,CT,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
P01,CT,1,A,Alternate Athlete,Athlète Remplaçant,Atleta reserva,Atleta suplente,Y,N
A1,DV,,J,Judge 1 of the Panel A,Juge 1 du panel A,Juiz 1 do painel A,Juez 1 del panel A,Y,Y
A2,DV,,J,Judge 2 of the Panel A,Juge 2 du panel A,Juiz 2 do painel A,Juez 2 del panel A,Y,Y
A3,DV,,J,Judge 3 of the Panel A,Juge 3 du panel A,Juiz 3 do painel A,Juez 3 del panel A,Y,Y
A4,DV,,J,Judge 4 of the Panel A,Juge 4 du panel A,Juiz 4 do painel A,Juez 4 del panel A,Y,Y
A5,DV,,J,Judge 5 of the Panel A,Juge 5 du panel A,Juiz 5 do painel A,Juez 5 del panel A,Y,Y
A6,DV,,J,Judge 6 of the Panel A,Juge 6 du panel A,Juiz 6 do painel A,Juez 6 del panel A,Y,Y
A7,DV,,J,Judge 7 of the Panel A,Juge 7 du panel A,Juiz 7 do painel A,Juez 7 del panel A,Y,Y
AA01,DV,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
ALT_JDG,DV,,J,Alternate Judge,Juge remplaçant,Juiz reserva,Juez suplente,Y,Y
AR,DV,,J,Assistant Referee,Arbitre assistant,Árbitro assistente,Árbitro asistente,Y,Y
B1,DV,,J,Judge 1 of the Panel B,Juge 1 du panel B,Juiz 1 do painel B,Juez 1 del panel B,Y,Y
B2,DV,,J,Judge 2 of the Panel B,Juge 2 du panel B,Juiz 2 do painel B,Juez 2 del panel B,Y,Y
B3,DV,,J,Judge 3 of the Panel B,Juge 3 du panel B,Juiz 3 do painel B,Juez 3 del panel B,Y,Y
B4,DV,,J,Judge 4 of the Panel B,Juge 4 du panel B,Juiz 4 do painel B,Juez 4 del panel B,Y,Y
B5,DV,,J,Judge 5 of the Panel B,Juge 5 du panel B,Juiz 5 do painel B,Juez 5 del panel B,Y,Y
B6,DV,,J,Judge 6 of the Panel B,Juge 6 du panel B,Juiz 6 do painel B,Juez 6 del panel B,Y,Y
B7,DV,,J,Judge 7 of the Panel B,Juge 7 du panel B,Juiz 7 do painel B,Juez 7 del panel B,Y,Y
E1,DV,,J,Execution Judge 1,Juge d'exécution 1,Juiz de execução 1,Juez de ejecución 1,Y,Y
E2,DV,,J,Execution Judge 2,Juge d'exécution 2,Juiz de execução 2,Juez de ejecución 2,Y,Y
E3,DV,,J,Execution Judge 3,Juge d'exécution 3,Juiz de execução 3,Juez de ejecución 3,Y,Y
E4,DV,,J,Execution Judge 4,Juge d'exécution 4,Juiz de execução 4,Juez de ejecución 4,Y,Y
E5,DV,,J,Execution Judge 5,Juge d'exécution 5,Juiz de execução 5,Juez de ejecución 5,Y,Y
E6,DV,,J,Execution Judge 6,Juge d'exécution 6,Juiz de execução 6,Juez de ejecución 6,Y,Y
J1,DV,,J,Judge 1,Juge 1,Juiz 1,Juez 1,Y,Y
J2,DV,,J,Judge 2,Juge 2,Juiz 2,Juez 2,Y,Y
J3,DV,,J,Judge 3,Juge 3,Juiz 3,Juez 3,Y,Y
J4,DV,,J,Judge 4,Juge 4,Juiz 4,Juez 4,Y,Y
J5,DV,,J,Judge 5,Juge 5,Juiz 5,Juez 5,Y,Y
J6,DV,,J,Judge 6,Juge 6,Juiz 6,Juez 6,Y,Y
J7,DV,,J,Judge 7,Juge 7,Juiz 7,Juez 7,Y,Y
JU,DV,,J,Judge,Juge,Juiz,Juez,Y,N
RE,DV,,J,Referee,Arbitre,Árbitro,Árbitro,Y,Y
S1,DV,,J,Synchronisation judge 1,Juge de synchronisation 1,Juiz de sincronização 1,Juez de sincronización 1,Y,Y
