Discipline,Gender,Event,order,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Team Event
AF,0,CMD,,Comedy,Comédie,Comédia,Comedia,Comedy,Comédie,Comédia,Comedia,
AF,0,CRC,,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,Circo / Artes de la calle,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,Circo / Artes de la calle,
AF,0,CUL,,Culture Activities,Activités culturelles,Atividades culturais,Actividades culturales,Culture Activities,Activités culturelles,Atividades culturais,Actividades culturales,
AF,0,DGT,,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,Arte digital / Película / Video,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,Arte digital / Película / Video,
AF,0,DNC,,Dance,Danse,Dança,Danza,Dance,Danse,Dança,Danza,
AF,0,LTR,,Literary Arts,Arts Littéraires,Artes literárias,Artes literarias,Literary Arts,Arts Littéraires,Artes literárias,Artes literarias,
AF,0,MSC,,Music,Musique,Música,Música,Music,Musique,Música,Música,
AF,0,SPO,,Sponsor Activities,Activités des partenaires,Atividades dos patrocinadores,Actividades de los patrocinadores,Sponsor Activities,Activités des partenaires,Atividades dos patrocinadores,Actividades de los patrocinadores,
AF,0,THT,,Theatre,Théâtre,Teatro,Teatro,Theatre,Théâtre,Teatro,Teatro,
AF,0,VSL,,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,
AQ,0,000,,Aquatics Sport,Natation,Desportos Aquáticos,Deportes acuáticos,Aquatics Sport,Natation,Desportos Aquáticos,Deportes acuáticos,
AR,0,000,,Archery,Tir à l'arc,Tiro com arco,Tiro con arco,Archery,Tir à l'arc,Tiro com arco,Tiro con arco,
AR,0,070,,Archery Individual,"Tir à l'arc, épreuve individuelle","Tiro com arco, competição individual","Tiro con arco, competencia individual",Archery Individual,"Tir à l'arc, épreuve individuelle","Tiro com arco, competição individual","Tiro con arco, competencia individual",
AR,0,470,,Archery Team,"Tir à l'arc, épreuve par équipes","Tiro com arco, competição por equipes","Tiro con arco, competencia por equipos",Archery Team,"Tir à l'arc, épreuve par équipes","Tiro com arco, competição por equipes","Tiro con arco, competencia por equipos",N
AR,0,SBD,,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,
AR,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
AR,M,070,1,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Competencia individual masculina,N
AR,M,470,3,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,Competencia por equipos masculina,Men's Team,Épreuve par équipes - hommes,Competição por equipes masculina,Competencia por equipos masculina,Y
AR,W,000,,Women,Femmes,Feminino,Femenino,Women,Femmes,Feminino,Femenino,
AR,W,070,2,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,Women's Individual,Épreuve individuelle - femmes,Competição individual feminina,Competencia individual femenina,N
AR,W,470,4,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,Competencia por equipos femenina,Women's Team,Épreuve par équipes - femmes,Competição por equipes feminina,Competencia por equipos femenina,Y
AT,0,000,,Athletics,Athlétisme,Atletismo,Atletismo,Athletics,Athlétisme,Atletismo,Atletismo,
AT,0,OLS,,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Stade Olympique,Estádio Olímpico,Estadio Olímpico,
AT,0,PON,,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,
AT,0,SBD,,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,
AT,M,000,,Men,Hommes,Masculino,Masculino,Men,Hommes,Masculino,Masculino,
AT,M,001,1,Men's 100m,100 m - hommes,100m rasos masculino,100m masculino,Men's 100m,100 m - hommes,100m rasos masculino,100m masculino,
AT,M,002,2,Men's 200m,200 m - hommes,200m rasos masculino,200m masculino,Men's 200m,200 m - hommes,200m rasos masculino,200m masculino,
AT,M,004,3,Men's 400m,400 m - hommes,400m rasos masculino,400m masculino,Men's 400m,400 m - hommes,400m rasos masculino,400m masculino,
AT,M,008,4,Men's 800m,800 m - hommes,800m rasos masculino,800m masculino,Men's 800m,800 m - hommes,800m rasos masculino,800m masculino,
AT,M,012,10,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,110m con vallas masculino,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino,110m con vallas masculino,
AT,M,015,5,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,1500m masculino,Men's 1500m,1 500 m - hommes,1.500m rasos masculino,1500m masculino,
