Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description,SPA unit Description
AR,0,000,0,00,N,0,Archery,Tiro com arco,Tiro con arco,Archery,Tiro com arco,Tiro con arco,Discipline,2,NONE,N,N,"","",
AR,0,000,N,00,N,0,Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Draw,18,NONE,N,N,"","",
AR,0,000,N,01,Y,0,Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Draw,18,NONE,N,Y,"","",
AR,0,000,Q,00,N,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Tiro con arco - reunión cap. de equipo,Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Tiro con arco - reunión cap. de equipo,Meetings,19,NONE,N,N,"","",
AR,0,000,Q,01,Y,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Tiro con arco - reunión cap. de equipo,Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Tiro con arco - reunión cap. de equipo,Meetings,19,NONE,N,Y,"","",
AR,0,000,Y,00,N,0,Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",Day,4,NONE,N,N,"","",
AR,0,000,Y,01,N,0,Archery Day 1,"Tiro com arco, dia 1","Tiro con arco, día 1",Archery Day 1,"Tiro com arco, dia 1","Tiro con arco, día 1",Day,4,NONE,N,N,"","",
AR,0,000,Y,02,N,0,Archery Day 2,"Tiro com arco, dia 2","Tiro con arco, día 2",Archery Day 2,"Tiro com arco, dia 2","Tiro con arco, día 2",Day,4,NONE,N,N,"","",
AR,0,000,Y,03,N,0,Archery Day 3,"Tiro com arco, dia 3","Tiro con arco, día 3",Archery Day 3,"Tiro com arco, dia 3","Tiro con arco, día 3",Day,4,NONE,N,N,"","",
AR,0,000,Y,04,N,0,Archery Day 4,"Tiro com arco, dia 4","Tiro con arco, día 4",Archery Day 4,"Tiro com arco, dia 4","Tiro con arco, día 4",Day,4,NONE,N,N,"","",
AR,0,000,Y,05,N,0,Archery Day 5,"Tiro com arco, dia 5","Tiro con arco, día 5",Archery Day 5,"Tiro com arco, dia 5","Tiro con arco, día 5",Day,4,NONE,N,N,"","",
AR,0,000,Y,06,N,0,Archery Day 6,"Tiro com arco, dia 6","Tiro con arco, día 6",Archery Day 6,"Tiro com arco, dia 6","Tiro con arco, día 6",Day,4,NONE,N,N,"","",
AR,0,000,Y,07,N,0,Archery Day 7,"Tiro com arco, dia 7","Tiro con arco, día 7",Archery Day 7,"Tiro com arco, dia 7","Tiro con arco, día 7",Day,4,NONE,N,N,"","",
AR,0,000,Y,08,N,0,Archery Day 8,"Tiro com arco, dia 8","Tiro con arco, día 8",Archery Day 8,"Tiro com arco, dia 8","Tiro con arco, día 8",Day,4,NONE,N,N,"","",
AR,0,000,Y,09,N,0,Archery Day 9,"Tiro com arco, dia 9","Tiro con arco, día 9",Archery Day 9,"Tiro com arco, dia 9","Tiro con arco, día 9",Day,4,NONE,N,N,"","",
AR,0,000,Y,10,N,0,Archery Day 10,"Tiro com arco, dia 10","Tiro con arco, día 10",Archery Day 10,"Tiro com arco, dia 10","Tiro con arco, día 10",Day,4,NONE,N,N,"","",
AR,0,000,Y,11,N,0,Archery Day 11,"Tiro com arco, dia 11","Tiro con arco, día 11",Archery Day 11,"Tiro com arco, dia 11","Tiro con arco, día 11",Day,4,NONE,N,N,"","",
AR,0,000,Y,12,N,0,Archery Day 12,"Tiro com arco, dia 12","Tiro con arco, día 12",Archery Day 12,"Tiro com arco, dia 12","Tiro con arco, día 12",Day,4,NONE,N,N,"","",
AR,0,000,Y,13,N,0,Archery Day 13,"Tiro com arco, dia 13","Tiro con arco, día 13",Archery Day 13,"Tiro com arco, dia 13","Tiro con arco, día 13",Day,4,NONE,N,N,"","",
AR,0,000,Y,14,N,0,Archery Day 14,"Tiro com arco, dia 14","Tiro con arco, día 14",Archery Day 14,"Tiro com arco, dia 14","Tiro con arco, día 14",Day,4,NONE,N,N,"","",
AR,0,000,Y,15,N,0,Archery Day 15,"Tiro com arco, dia 15","Tiro con arco, día 15",Archery Day 15,"Tiro com arco, dia 15","Tiro con arco, día 15",Day,4,NONE,N,N,"","",
AR,0,000,Y,16,N,0,Archery Day 16,"Tiro com arco, dia 16","Tiro con arco, día 16",Archery Day 16,"Tiro com arco, dia 16","Tiro con arco, día 16",Day,4,NONE,N,N,"","",
AR,0,000,Y,17,N,0,Archery Day 17,"Tiro com arco, dia 17","Tiro con arco, día 17",Archery Day 17,"Tiro com arco, dia 17","Tiro con arco, día 17",Day,4,NONE,N,N,"","",
