Id,ENG Description,FRA Description,POR Description,SPA Description
AQ,Aquatics,Natation,Desportos Aquáticos,Deportes acuáticos
AR,Archery,Tir à l'arc,Tiro com Arco,Tiro con arco
AT,Athletics,Athlétisme,Atletismo,Atletismo
BD,Badminton,Badminton,Badminton,Bádminton
BK,Basketball,Basketball,Basquetebol,Baloncesto
BX,Boxing,Boxe,Boxe,Boxeo
CA,Canoe,Canoë-kayak,Canoagem,Canotaje
CY,Cycling,Cyclisme,Ciclismo,Ciclismo
EQ,Equestrian,Sports équestres,Hipismo,Ecuestre
FB,Football,Football,Futebol,Fútbol
FE,Fencing,Escrime,Esgrima,Esgrima
GO,Golf,Golf,Golfe,Golf
GY,Gymnastics,Gymnastique,Ginástica,Gimnasia
HB,Handball,Handball,Handebol,Balonmano
HO,Hockey,Hockey,Hóquei sobre Grama,Hockey sobre césped
JU,Judo,Judo,Judô,Judo
MP,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno,Pentatlón moderno
RO,Rowing,Aviron,Remo,Remo
RU,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby a siete
SA,Sailing,Voile,Vela,Vela
SH,Shooting,Tir,Tiro Esportivo,Tiro
TE,Tennis,Tennis,Tênis,Tenis
TK,Taekwondo,Taekwondo,Taekwondo,Taekwondo
TR,Triathlon,Triathlon,Triatlo,Triatlón
TT,Table Tennis,Tennis de table,Tênis de Mesa,Tenis de mesa
VB,Volleyball,Volleyball,Voleibol,Voleibol
WL,Weightlifting,Haltérophilie,Levantamento de Peso,Levantamiento de pesas
WR,Wrestling,Lutte,Luta Olímpica,Lucha
XX,More than one Sport,Multisport,Multi-esporte,Más de un deporte
