Id,ENG Description,FRA Description,POR Description,SPA Description
FOC,Future Organizing Committees,Futurs comités d'organisation,Futuros Comitês Organizadores,Futuros Comités Organizadores
GOV,Brazil Government,Gouvernement Brésilien,Governo Brasileiro,Gobierno de Brasil
IF,International Federations,Fédérations Internationales,Federações Internacionais,Federaciones Internacionales
IOC,Int. Olympic Committee,Comité International Olympique,Comitê Olímpico Internacional,Comité Olímpico Internacional
IPC,Int. Paralympic Committee,C. International Paralympique,Comitê Paralímpico Internacion,Comité Paralímpico Internacion
NGB,National Governing Body,Autorité régulatrice nationale,Autoridade reguladora nacional,Autoridad Reguladora Nacional
NOC,National Olympic Committees,Comités Nationaux Olympiques,Comitês Olímpicos Nacionais,Comités Olímpicos Nacionales
NPC,National Paralympic Committees,Comt. Nationaux Paralympiques,Comitês Paralímpicos Nacionais,Comités Paralímpicos Nacionale
OC,Organizing Committee,Comité d'organisation,Comitê Organizador,Comité Organizador
ORG,Brazil Organisation,Organisation Brésilienne,Organização Brasileira,Organización Brasileña
