Id,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
AR,Archery,Tir à l'arc,Tiro com Arco,Tiro con arco,Archery,Tir à l'arc,Tiro com Arco,Tiro con arco
AT,Athletics,Athlétisme,Atletismo,Atletismo,Athletics,Athlétisme,Atletismo,Atletismo
BD,Badminton,Badminton,Badminton,Bádminton,Badminton,Badminton,Badminton,Bádminton
BK,Basketball,Basketball,Basquetebol,Baloncesto,Basketball,Basketball,Basquetebol,Baloncesto
BV,Beach Volleyball,Volleyball de plage,Vôlei de Praia,Voleibol de playa,Beach Volleyball,Volleyball de plage,Vôlei de Praia,Voleibol de playa
BX,Boxing,Boxe,Boxe,Boxeo,Boxing,Boxe,Boxe,Boxeo
CB,Cycling BMX,BMX,Ciclismo BMX,Ciclismo BMX,Cycling BMX,BMX,Ciclismo BMX,Ciclismo BMX
CE,Ceremonies,Cérémonies,Cerimônias,Ceremonias,Ceremonies,Cérémonies,Cerimônias,Ceremonias
CF,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem Velocidade,Canotaje de velocidad,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem Velocidade,Canotaje de velocidad
CM,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo Mountain Bike,Ciclismo de montaña,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo Mountain Bike,Ciclismo de montaña
CR,Cycling Road,Cyclisme sur route,Ciclismo de Estrada,Ciclismo de ruta,Cycling Road,Cyclisme sur route,Ciclismo de Estrada,Ciclismo de ruta
CS,Canoe Slalom,"Canoë-kayak, slalom",Canoagem Slalom,Canotaje Slalom,Canoe Slalom,"Canoë-kayak, slalom",Canoagem Slalom,Canotaje Slalom
CT,Cycling Track,Cyclisme sur piste,Ciclismo de Pista,Ciclismo de pista,Cycling Track,Cyclisme sur piste,Ciclismo de Pista,Ciclismo de pista
DV,Diving,Plongeon,Saltos Ornamentais,Clavados,Diving,Plongeon,Saltos Ornamentais,Clavados
EQ,Equestrian,Sports équestres,Hipismo,Ecuestre,Equestrian,Sports équestres,Hipismo,Ecuestre
FB,Football,Football,Futebol,Fútbol,Football,Football,Futebol,Fútbol
FE,Fencing,Escrime,Esgrima,Esgrima,Fencing,Escrime,Esgrima,Esgrima
GA,Artistic Gymnastics,Gymnastique artistique,Ginástica Artística,Gimnasia artística,Artistic Gymnastics,Gymnastique artistique,Ginástica Artística,Gimnasia artística
GL,General,Général,Geral,General,General,Général,Geral,General
GO,Golf,Golf,Golfe,Golf,Golf,Golf,Golfe,Golf
GR,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica Rítmica,Gimnasia rítmica,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica Rítmica,Gimnasia rítmica
GT,Trampoline Gymnastics,Trampoline,Ginástica de Trampolim,Gimnasia en trampolín,Trampoline Gymnastics,Trampoline,Ginástica de Trampolim,Gimnasia en trampolín
HB,Handball,Handball,Handebol,Balonmano,Handball,Handball,Handebol,Balonmano
HO,Hockey,Hockey,Hóquei sobre grama,Hockey sobre césped,Hockey,Hockey,Hóquei sobre grama,Hockey sobre césped
JU,Judo,Judo,Judô,Judo,Judo,Judo,Judô,Judo
MP,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno,Pentatlón moderno,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno,Pentatlón moderno
OM,Olympic Movement,Mouvement Olympique,Movimento Olímpico,Movimiento Olímpico,Olympic Movement,Mouvement Olympique,Movimento Olímpico,Movimiento Olímpico
OW,Marathon Swimming,Natation de marathon,Maratonas Aquáticas,Aguas abiertas,Marathon Swimming,Natation de marathon,Maratonas Aquáticas,Aguas abiertas
RO,Rowing,Aviron,Remo,Remo,Rowing,Aviron,Remo,Remo
RU,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby a siete,Rugby Sevens,Rugby à 7,Rugby de 7,Rugby a siete
SA,Sailing,Voile,Vela,Vela,Sailing,Voile,Vela,Vela
SH,Shooting,Tir,Tiro Esportivo,Tiro,Shooting,Tir,Tiro Esportivo,Tiro
SW,Swimming,Natation,Natação,Natación,Swimming,Natation,Natação,Natación
SY,Synchronised Swimming,Natation synchronisée,Nado Sincronizado,Nado sincronizado,Synchronised Swimming,Natation synchronisée,Nado Sincronizado,Nado sincronizado
TE,Tennis,Tennis,Tênis,Tenis,Tennis,Tennis,Tênis,Tenis
TK,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo,Taekwondo
TR,Triathlon,Triathlon,Triatlo,Triatlón,Triathlon,Triathlon,Triatlo,Triatlón
TT,Table Tennis,Tennis de table,Tênis de Mesa,Tenis de mesa,Table Tennis,Tennis de table,Tênis de Mesa,Tenis de mesa
VO,Volleyball,Volleyball,Voleibol,Voleibol,Volleyball,Volleyball,Voleibol,Voleibol
WL,Weightlifting,Haltérophilie,Levantamento de Peso,Levantamiento de pesas,Weightlifting,Haltérophilie,Levantamento de Peso,Levantamiento de pesas
WP,Water Polo,Water-polo,Polo Aquático,Polo acuático,Water Polo,Water-polo,Polo Aquático,Polo acuático
WR,Wrestling,Lutte,Luta Olímpica,Lucha,Wrestling,Lutte,Luta Olímpica,Lucha
