Id,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
AFG,Afghanistan,Afghanistan,Afeganistão,Afganistán,Afghanistan,Afghanistan,Afeganistão,Afganistán
AHO,Netherlands Antilles,Antilles néerl.,Antilhas Holandesas,Antillas Neerlandesas,Netherlands Antilles,Antilles néerlandaises,Antilhas Holandesas,Antillas Neerlandesas
AIA,Anguilla,Anguilla,Anguilla,Anguila,Anguilla,Anguilla,Anguilla,Anguila
ALA,Åland Islands,Îles Åland,Ilhas Åland,Islas Åland,Åland Islands,Îles Åland,Ilhas Åland,Islas Åland
ALB,Albania,Albanie,Albânia,Albania,Albania,Albanie,Albânia,Albania
ALG,Algeria,Algérie,Argélia,Argelia,Algeria,Algérie,Argélia,Argelia
AND,Andorra,Andorre,Andorra,Andorra,Andorra,Andorre,Andorra,Andorra
ANG,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
ANT,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua y Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua y Barbuda
ANZ,AUS/NZL,AUS/NZL,AUS/NZL,AUS/NZL,Australia/New Zealand,Australie/Nouvelle-Zélande,Austrália/Nova Zelândia,Australia/Nueva Zelanda
APA,Stateless,Apatride,Apátrida,Apátrida,Stateless,Apatride,Apátrida,Apátrida
ARG,Argentina,Argentine,Argentina,Argentina,Argentina,Argentine,Argentina,Argentina
ARM,Armenia,Arménie,Armênia,Armenia,Armenia,Arménie,Armênia,Armenia
ARU,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
ASA,American Samoa,Samoa Américaines,Samoa Americana,Samoa Americana,American Samoa,Samoa Américaines,Samoa Americana,Samoa Americana
ATA,Antarctica,Antarctique,Antártida,Antártida,Antarctica,Antarctique,Antártida,Antártida
ATF,French Southern Territories,Terres australes françaises,Territórios Franceses do Sul,Ter. Australes Franceses,French Southern Territories,Terres australes françaises,Territórios Franceses do Sul,Territorios Australes Franceses
AUS,Australia,Australie,Austrália,Australia,Australia,Australie,Austrália,Australia
AUT,Austria,Autriche,Áustria,Austria,Austria,Autriche,Áustria,Austria
AZE,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaiyán,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaiyán
BAH,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
BAN,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BAR,Barbados,Barbade,Barbados,Barbados,Barbados,Barbade,Barbados,Barbados
BDI,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,Belgium,Belgique,Bélgica,Bélgica,Belgium,Belgique,Bélgica,Bélgica
BEN,Benin,Bénin,Benin,Benín,Benin,Bénin,Benin,Benín
BER,Bermuda,Bermudes,Bermudas,Bermudas,Bermuda,Bermudes,Bermudas,Bermudas
BES,"Bonaire, Sint Eustatius & Saba","Bonaire, Saint-Eustache & Saba","Bonaire, SantoEustáquio e Saba","Bonaire, San Eustaquio y Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, Santo Eustáquio e Saba","Bonaire, San Eustaquio y Saba"
BHU,Bhutan,Bhoutan,Butão,Bhután,Bhutan,Bhoutan,Butão,Bhután
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia y Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia y Herzegovina
BIZ,Belize,Belize,Belize,Belice,Belize,Belize,Belize,Belice
BLM,Saint Barthélemy,Saint-Barthélemy,São Bartolomeu,San Bartolomé,Saint Barthélemy,Saint-Barthélemy,São Bartolomeu,San Bartolomé
BLR,Belarus,Bélarus,Belarus,Bielorrusia,Belarus,Bélarus,Belarus,Bielorrusia
BOL,Bolivia,Bolivie,Bolívia,Bolivia,Bolivia,Bolivie,Bolívia,Bolivia
BOT,Botswana,Botswana,Botsuana,Botsuana,Botswana,Botswana,Botsuana,Botsuana
BRA,Brazil,Brésil,Brasil,Brasil,Brazil,Brésil,Brasil,Brasil
BRN,Bahrain,Bahreïn,Bareine,Bahréin,Bahrain,Bahreïn,Bareine,Bahréin
BRU,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunéi,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunéi
BUL,Bulgaria,Bulgarie,Bulgária,Bulgaria,Bulgaria,Bulgarie,Bulgária,Bulgaria
BUR,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BVT,Bouvet Island,Île Bouvet,Ilha Bouvet,Isla Bouvet,Bouvet Island,Île Bouvet,Ilha Bouvet,Isla Bouvet
CAF,Central African Republic,République Centrafricaine,República Centroafricana,República Centroafricana,Central African Republic,République Centrafricaine,República Centroafricana,República Centroafricana
CAM,Cambodia,Cambodge,Camboja,Camboya,Cambodia,Cambodge,Camboja,Camboya
CAN,Canada,Canada,Canadá,Canadá,Canada,Canada,Canadá,Canadá
CAY,Cayman Islands,Îles Caïmans,Ilhas Cayman,Islas Caimán,Cayman Islands,Îles Caïmans,Ilhas Cayman,Islas Caimán
CCK,Cocos Islands,Îles Cocos,Ilhas Cocos,Islas Coco,Cocos Islands,Îles Cocos,Ilhas Cocos,Islas Coco
CGO,Congo,Congo,Congo,Congo,Congo,Congo,Congo,Congo
CHA,Chad,Tchad,Chade,Chad,Chad,Tchad,Chade,Chad
CHI,Chile,Chili,Chile,Chile,Chile,Chili,Chile,Chile
CHN,People's Republic of China,République populaire de Chine,República Popular da China,República Popular de China,People's Republic of China,République populaire de Chine,República Popular da China,República Popular de China
CIS,CIS,CIS,CEI,CEI,Commonwealth of Independent States,FRA Commonwealth of Independent States,Comunidade dos Estados Independentes,Comunidad de Estados Independientes
CIV,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Costa de Marfil,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Costa de Marfil
CMR,Cameroon,Cameroun,Camarões,Camerún,Cameroon,Cameroun,Camarões,Camerún
COD,DR Congo,RD Congo,"Congo, Rep. Dem.",RD Congo,Democratic Republic of the Congo,République démocratique du Congo,República Democrática do Congo,República Democrática del Congo
COK,Cook Islands,Îles Cook,Ilhas Cook,Islas Cook,Cook Islands,Îles Cook,Ilhas Cook,Islas Cook
COL,Colombia,Colombie,Colômbia,Colombia,Colombia,Colombie,Colômbia,Colombia
COM,Comoros,Comores,Comores,Comoras,Comoros,Comores,Comores,Comoras
CPV,Cape Verde,Cap-Vert,Cabo Verde,Cabo Verde,Cape Verde,Cap-Vert,Cabo Verde,Cabo Verde
CRC,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CRO,Croatia,Croatie,Croácia,Croacia,Croatia,Croatie,Croácia,Croacia
CUB,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
CUW,Curaçao,Curaçao,Curaçao,Curazao,Curaçao,Curaçao,Curaçao,Curazao
CXR,Christmas Island,Île Christmas,Ilha Christmas,Isla de Navidad,Christmas Island,Île Christmas,Ilha Christmas,Isla de Navidad
CYP,Cyprus,Chypre,Chipre,Chipre,Cyprus,Chypre,Chipre,Chipre
CZE,Czech Republic,République tchèque,República Tcheca,República Checa,Czech Republic,République tchèque,República Tcheca,República Checa
DEN,Denmark,Danemark,Dinamarca,Dinamarca,Denmark,Danemark,Dinamarca,Dinamarca
DJI,Djibouti,Djibouti,Djibuti,Djibouti,Djibouti,Djibouti,Djibuti,Djibouti
DMA,Dominica,Dominique,Dominica,Dominica,Dominica,Dominique,Dominica,Dominica
DOM,Dominican Republic,République dominicaine,República Dominicana,República Dominicana,Dominican Republic,République dominicaine,República Dominicana,República Dominicana
ECU,Ecuador,Équateur,Equador,Ecuador,Ecuador,Équateur,Equador,Ecuador
EGY,Egypt,Égypte,Egito,Egipto,Egypt,Égypte,Egito,Egipto
ERI,Eritrea,Érythrée,Eritreia,Eritrea,Eritrea,Érythrée,Eritreia,Eritrea
ESA,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
ESH,Western Sahara,Sahara Occidental,Saara Ocidental,Sáhara Occidental,Western Sahara,Sahara Occidental,Saara Ocidental,Sáhara Occidental
ESP,Spain,Espagne,Espanha,España,Spain,Espagne,Espanha,España
EST,Estonia,Estonie,Estônia,Estonia,Estonia,Estonie,Estônia,Estonia
ETH,Ethiopia,Éthiopie,Etiópia,Etiopía,Ethiopia,Éthiopie,Etiópia,Etiopía
