Id,ENG Description,FRA Description,POR Description,SPA Description
AA,Stud Book Français du Cheval Anglo-Arabe,Stud Book Français du Cheval Anglo-Arabe,Stud Book Français du Cheval Anglo-Arabe,Stud Book Français du Cheval Anglo-Arabe
AAFE,Asociacion Argentina de Fomento Equino,Asociacion Argentina de Fomento Equino,Asociacion Argentina de Fomento Equino,Asociacion Argentina de Fomento Equino
ABPSL,Assoc. Bras. Criadores Do Cavalo Puro Sangue Lus.,Assoc. Bras. Criadores Do Cavalo Puro Sangue Lus.,Assoc. Bras. Criadores Do Cavalo Puro Sangue Lus.,Assoc. Bras. Criadores Do Cavalo Puro Sangue Lus.
AES,Anglo European Studbook,Anglo European Studbook,Anglo European Studbook,Anglo European Studbook
AHHA,American Holsteiner Horse Association ,American Holsteiner Horse Association ,American Holsteiner Horse Association ,American Holsteiner Horse Association 
AHS,The American Hanovarian Society,The American Hanovarian Society,The American Hanovarian Society,The American Hanovarian Society
ANAA,Stud-book Français du cheval Anglo-Arabe,Stud-book Français du cheval Anglo-Arabe,Stud-book Français du cheval Anglo-Arabe,Stud-book Français du cheval Anglo-Arabe
APCRS,Assoc. Port. De Criadores de Racas Selecta,Assoc. Port. De Criadores de Racas Selecta,Assoc. Port. De Criadores de Racas Selecta,Assoc. Port. De Criadores de Racas Selecta
AWHA,Australian Warmblood Horse Association,Australian Warmblood Horse Association,Australian Warmblood Horse Association,Australian Warmblood Horse Association
AWO,Arbeitsgemeinschaft für Warmblutzucht Österreich,Arbeitsgemeinschaft für Warmblutzucht Österreich,Arbeitsgemeinschaft für Warmblutzucht Österreich,Arbeitsgemeinschaft für Warmblutzucht Österreich
AWR,American Warmblood Registry,American Warmblood Registry,American Warmblood Registry,American Warmblood Registry
AWS,American Warmblood Society,American Warmblood Society,American Warmblood Society,American Warmblood Society
BAD-WU,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.
BAVAR,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.
BH,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo
BHHS,The British Hanoverian Horse Society,The British Hanoverian Horse Society,The British Hanoverian Horse Society,The British Hanoverian Horse Society
BRAND,Pferdezuchtverband Brandenburg-Anhalt,Pferdezuchtverband Brandenburg-Anhalt,Pferdezuchtverband Brandenburg-Anhalt,Pferdezuchtverband Brandenburg-Anhalt
Bri.WS,British Warmblood Society,British Warmblood Society,British Warmblood Society,British Warmblood Society
BSHA,Bulgarian Sport Horse Association,Bulgarian Sport Horse Association,Bulgarian Sport Horse Association,Bulgarian Sport Horse Association
BWBS,Warmblood Breeders Studbook - UK,Warmblood Breeders Studbook - UK,Warmblood Breeders Studbook - UK,Warmblood Breeders Studbook - UK
BWP,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.
CABSH,Croatian Association of Breeders of Sport Horses,Croatian Association of Breeders of Sport Horses,Croatian Association of Breeders of Sport Horses,Croatian Association of Breeders of Sport Horses
CCDM,Criadores de Caballos Deportivos Mexiacanos,Criadores de Caballos Deportivos Mexiacanos,Criadores de Caballos Deportivos Mexiacanos,Criadores de Caballos Deportivos Mexiacanos
CDE,Caballo de Deporte Espanol,Caballo de Deporte Espanol,Caballo de Deporte Espanol,Caballo de Deporte Espanol
CH,Zuchtverband CH-Sportpferde ZVCH Swiss Warmblood,Zuchtverband CH-Sportpferde ZVCH Swiss Warmblood,Zuchtverband CH-Sportpferde ZVCH Swiss Warmblood,Zuchtverband CH-Sportpferde ZVCH Swiss Warmblood
CheSui,Studbook Cheval Suisse,Studbook Cheval Suisse,Studbook Cheval Suisse,Studbook Cheval Suisse
CSHA,Canadian Sport Horse Association,Canadian Sport Horse Association,Canadian Sport Horse Association,Canadian Sport Horse Association
CWHBA,Canadian Warmblood Horse Breeders Association,Canadian Warmblood Horse Breeders Association,Canadian Warmblood Horse Breeders Association,Canadian Warmblood Horse Breeders Association
CZEWB,Czech Warmblood Breeders Association,Czech Warmblood Breeders Association,Czech Warmblood Breeders Association,Czech Warmblood Breeders Association
DSP,Deutsches Sportpferd,Deutsches Sportpferd,Deutsches Sportpferd,Deutsches Sportpferd
DWB,Danish Warmblood Society,Danish Warmblood Society,Danish Warmblood Society,Danish Warmblood Society
EBHA,East Bulgarian Horse Association,East Bulgarian Horse Association,East Bulgarian Horse Association,East Bulgarian Horse Association
ESHB,Estonian Sport Horse Breeders Society,Estonian Sport Horse Breeders Society,Estonian Sport Horse Breeders Society,Estonian Sport Horse Breeders Society
FWB,Finnish Warmblood,Finnish Warmblood,Finnish Warmblood,Finnish Warmblood
GHH,Graenseegnens Holstener Hesteavlsforening,Graenseegnens Holstener Hesteavlsforening,Graenseegnens Holstener Hesteavlsforening,Graenseegnens Holstener Hesteavlsforening
HAA,The Holsteiner Association of Australia,The Holsteiner Association of Australia,The Holsteiner Association of Australia,The Holsteiner Association of Australia
HANN,Hannoveraner Verband e. V.,Hannoveraner Verband e. V.,Hannoveraner Verband e. V.,Hannoveraner Verband e. V.
HESS,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.
HHSA,Hanoverian Horse Society of Australia,Hanoverian Horse Society of Australia,Hanoverian Horse Society of Australia,Hanoverian Horse Society of Australia
HOLST,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.
HSH,Hungarian Sporthorse studbook ,Hungarian Sporthorse studbook ,Hungarian Sporthorse studbook ,Hungarian Sporthorse studbook 
ISH,Irish Sport Horse Studbook,Irish Sport Horse Studbook,Irish Sport Horse Studbook,Irish Sport Horse Studbook
ISREG,Int. Sporthorse Registry Oldenburg Registry N.A.,Int. Sporthorse Registry Oldenburg Registry N.A.,Int. Sporthorse Registry Oldenburg Registry N.A.,Int. Sporthorse Registry Oldenburg Registry N.A.
ISSA,International Sporthorse Studbook Australia,International Sporthorse Studbook Australia,International Sporthorse Studbook Australia,International Sporthorse Studbook Australia
KISBGI,Kisberi and Gidran Horse Breeders Association,Kisberi and Gidran Horse Breeders Association,Kisberi and Gidran Horse Breeders Association,Kisberi and Gidran Horse Breeders Association
KWPN,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland
KWPNNA,"KWPN of North America, Inc.","KWPN of North America, Inc.","KWPN of North America, Inc.","KWPN of North America, Inc."
LBHA,Latvian Horse Breeding Association,Latvian Horse Breeding Association,Latvian Horse Breeding Association,Latvian Horse Breeding Association
LHBAT,Latvian Horse Breeders Association,Latvian Horse Breeders Association,Latvian Horse Breeders Association,Latvian Horse Breeders Association
LUSIT,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.,Assoc. Port. Criadores do Cavalo Puro Sangue Lus.
MECKL,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.
MIPAAF,Italian Horse Department,Italian Horse Department,Italian Horse Department,Italian Horse Department
NL,Not Listed,Non inclus dans la liste,Não listado,No listado
NRPS,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek
NWB,Norwegian Warmblood Association,Norwegian Warmblood Association,Norwegian Warmblood Association,Norwegian Warmblood Association
OLDBG,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.
OS,Springpferdezuchtverband Oldenburg-Int. e.V,Springpferdezuchtverband Oldenburg-Int. e.V,Springpferdezuchtverband Oldenburg-Int. e.V,Springpferdezuchtverband Oldenburg-Int. e.V
P.R.E.,Pura Raza Español,Pura Raza Española,Pura Raza Español,Pura Raza Español
PZHK,Polish Horse Breeders Association,Polish Horse Breeders Association,Polish Horse Breeders Association,Polish Horse Breeders Association
RHEIN,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.
SA,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.
SACHS,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.
SATHU,Pferdezuchtverband Sachsen-Thüringen e.V,Pferdezuchtverband Sachsen-Thüringen e.V,Pferdezuchtverband Sachsen-Thüringen e.V,Pferdezuchtverband Sachsen-Thüringen e.V
SAWHS,South African Warmblood Society,South African Warmblood Society,South African Warmblood Society,South African Warmblood Society
SBS,"Stud-book sBs, le Cheval de Sport Belge","Stud-book sBs, le cheval de sport belge","Stud-book sBs, le Cheval de Sport Belge","Stud-book sBs, le Cheval de Sport Belge"
SCSL,Stud-book du Cheval de Selle Luxembourgeois,Stud-book du Cheval de Selle Luxembourgeois,Stud-book du Cheval de Selle Luxembourgeois,Stud-book du Cheval de Selle Luxembourgeois
SDWA,Scottish Dutch Warmblood Association,Scottish Dutch Warmblood Association,Scottish Dutch Warmblood Association,Scottish Dutch Warmblood Association
SF,Stud Book du Cheval Selle Français (ANSF),Stud Book du Cheval Selle Français (ANSF),Stud Book du Cheval Selle Français (ANSF),Stud Book du Cheval Selle Français (ANSF)
SHBGB,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain
SLS,Studbook La Silla,Studbook La Silla,Studbook La Silla,Studbook La Silla
SSH,Scottish Sport Horse,Scottish Sport Horse,Scottish Sport Horse,Scottish Sport Horse
SSW,Studbook for Slovenian Warmblood Horses,Studbook for Slovenian Warmblood Horses,Studbook for Slovenian Warmblood Horses,Studbook for Slovenian Warmblood Horses
SWB,Swedish Warmblood Association,Swedish Warmblood Association,Swedish Warmblood Association,Swedish Warmblood Association
TAF,Trakehner Avlsforbundet i Danmark,Trakehner Avlsforbundet i Danmark,Trakehner Avlsforbundet i Danmark,Trakehner Avlsforbundet i Danmark
THU,Verband der Thüringen Pferdezüchter,Verband der Thüringen Pferdezüchter,Verband der Thüringen Pferdezüchter,Verband der Thüringen Pferdezüchter
TRAK,Trakehner Verband,Trakehner Verband,Trakehner Verband,Trakehner Verband
UN,Unknown,Inconnue,Desconhecido,Desconocido
VNP,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter
WESTF,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.
WSI,Warmblood Studbook of Ireland ,Warmblood Studbook of Ireland ,Warmblood Studbook of Ireland ,Warmblood Studbook of Ireland 
ZANG,Stud-book Zangersheide,Stud-book Zangersheide,Stud-book Zangersheide,Stud-book Zangersheide
ZCHKS,The Slovak Warmblood Studbook,The Slovak Warmblood Studbook,The Slovak Warmblood Studbook,The Slovak Warmblood Studbook
ZfDP,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.
ZWEIB,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.
