Discipline,Gender,Event,phase,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,ENG phase Description,FRA phase Description,POR phase Description,SPA phase Description
AF,0,CMD,0,8,Comedy,Comédie,Comédia,Comedia,Comedy,Comédie,Comédia,Comedia,,,,
AF,0,CRC,0,8,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,Circo / Artes de la calle,Circus / Street Arts,Cirque / Arts de la rue,Circo / Artes de rua,Circo / Artes de la calle,,,,
AF,0,CUL,0,8,General,Général,Geral,General,General,Général,Geral,General,,,,
AF,0,CUL,1,8,General,Général,Geral,General,General,Général,Geral,General,,,,
AF,0,CUL,2,8,General,Général,Geral,General,General,Général,Geral,General,,,,
AF,0,DGT,0,8,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,Arte digital / Película / Video,Digital / Film / Video,Digital / Film / Vidéo,Arte digital / Filme / Vídeo,Arte digital / Película / Video,,,,
AF,0,DNC,0,8,Dance,Danse,Dança,Danza,Dance,Danse,Dança,Danza,,,,
AF,0,LTR,0,8,Literary Arts,Arts Littéraires,Artes literárias,Artes literarias,Literary Arts,Arts Littéraires,Artes literárias,Artes literarias,,,,
AF,0,MSC,0,8,Music,Musique,Música,Música,Music,Musique,Música,Música,,,,
AF,0,SPO,0,8,General,Général,Geral,General,General,Général,Geral,General,,,,
AF,0,THT,0,8,Theatre,Théâtre,Teatro,Teatro,Theatre,Théâtre,Teatro,Teatro,,,,
AF,0,VSL,0,8,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,,,,
AF,0,VSL,1,8,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,Visual Arts,Arts Visuels,Artes visuais,Artes visuales,,,,
AQ,0,000,0,8,Aquatics Sport,Natation,Desportos Aquáticos,Deportes acuáticos,Aquatics Sport,Natation,Desportos Aquáticos,Deportes acuáticos,,,,
AR,0,000,0,8,Archery,Tir à l'arc,Tiro com arco,Tiro con arco,Archery,Tir à l'arc,Tiro com arco,Tiro con arco,,,,
AR,0,000,N,7,Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio","Tiro con arco, sorteo",Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio","Tiro con arco, sorteo",,,,
AR,0,000,Q,4,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião chefes de equipe,Tiro con arco - reunión cap. de equipo,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião dos chefes de equipe,Tiro con arco - reunión de capitanes de equipo,,,,
