Id,ENG Description,FRA Description,POR Description,SPA Description
AP,Appaloosa,Appalouse,Appaloosa,Appaloosa
BA,Bay,Bai,Castanho,Castaño
BL,Black,Noir,Negro,Negro
CH,Chestnut,Alezan,Alazão,Alazán
CR,Cream,Crème,Creme,Crema
DB,Dark Bay,Bai foncé,Castanho Oscuro,Castaño oscuro
DC,Dark Chestnut,Alezan brûlé,Alazão Tostado,Alazán tostado
DG,Dark Grey,Gris foncé,Cinza Escuro,Gris oscuro
DU,Dun,Isabelle,Baio,Bayo
GR,Grey,Gris,Cinza   ,Gris
LB,Light Bay,Bai clair,Castanho Claro,Castaño claro
LC,Light Chestnut,Alezan clair,Alazão dourado,Alazán claro
NL,Not listed,Non inclus dans la liste,Não listado,No listado
PA,Palomino,Palomino,Palomino,Palomino
PB,Piebald/Skewbald,Pie noir/pie alezan,Pio / mulato,Pío negro/Pío en alazán
RO,Roan,Rouan,Ruano,Ruano
ST,Strawberry,Aubère,Overo,Ruano alazán
