Id,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
AFG,OC,Afghanistan,Afghanistan,Afeganistão,Afganistán,Afghanistan,Afghanistan,Afeganistão,Afganistán
AHO,OC,Netherlands Antilles,Ant. Néerlandaises,Antilhas Holandesas,Ant. Neerlandesas,Netherlands Antilles,Antilles néerlandaises,Antilhas Holandesas,Antillas Neerlandesas
AIBA,IF,AIBA,AIBA,AIBA,AIBA,International Boxing Association,Fédération Internationale de Boxe,Associação Internacional de Boxe,Asociación Internacional de Boxeo
ALB,OC,Albania,Albanie,Albânia,Albania,Albania,Albanie,Albânia,Albania
ALG,OC,Algeria,Algérie,Argélia,Argelia,Algeria,Algérie,Argélia,Argelia
AND,OC,Andorra,Andorre,Andorra,Andorra,Andorra,Andorre,Andorra,Andorra
ANG,OC,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
ANT,OC,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua y Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,Antígua e Barbuda,Antigua y Barbuda
ANZ,OC,AUS/NZL,AUS/NZL,AUS/NZL,AUS/NZL,Australia/New Zealand,Australie/Nouvelle-Zélande,Austrália/Nova Zelândia,Australia/Nueva Zelanda
ARG,OC,Argentina,Argentine,Argentina,Argentina,Argentina,Argentine,Argentina,Argentina
ARM,OC,Armenia,Arménie,Armênia,Armenia,Armenia,Arménie,Armênia,Armenia
ARU,OC,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
ASA,OC,American Samoa,Samoa Américaines,Samoa Americana,Samoa Americana,American Samoa,Samoa Américaines,Samoa Americana,Samoa Americana
AUS,OC,Australia,Australie,Austrália,Australia,Australia,Australie,Austrália,Australia
AUT,OC,Austria,Autriche,Áustria,Austria,Austria,Autriche,Áustria,Austria
AZE,OC,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaiyán,Azerbaijan,Azerbaïdjan,Azerbaijão,Azerbaiyán
BAH,OC,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas
BAN,OC,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
BAR,OC,Barbados,Barbade,Barbados,Barbados,Barbados,Barbade,Barbados,Barbados
BDI,OC,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi
BEL,OC,Belgium,Belgique,Bélgica,Bélgica,Belgium,Belgique,Bélgica,Bélgica
BEN,OC,Benin,Bénin,Benin,Benín,Benin,Bénin,Benin,Benín
