Discipline,Id,PositionOrder,ENG Description,FRA Description,POR Description,SPA Description
BK,C,,Centre,Pivot,Pivô,Pivot
BK,C/F,,Centre/Forward,Pivot/Ailier,Pivô/Ala,Pivot/Alero
BK,C/PF,,Centre/Power Forward,Pivot/Ailier fort,Pivô/Ala de força,Pivot/Ala Pivot
BK,F,,Forward,Ailier,Ala,Alero
BK,F/C,,Forward/Centre,Ailier/Pivot,Ala/Pivô,Alero/Pivot
BK,F/G,,Forward/Guard,Ailier/Arrière,Ala/Armador,Alero/Base
BK,G,,Guard,Arrière,Armador,Base
BK,G/F,,Guard/Forward,Arrière/Ailier,Armador/Ala,Base/Alero
BK,PF,,Power Forward,Ailier fort,Ala de força,Ala Pivot
BK,PF/C,,Power Forward/Centre,Ailier fort/Pivot,Ala de força/Pivô,Ala Pivot/Pivot
BK,PG,,Point Guard,Meneur de jeu,Armador,Base
BK,SF,,Small Forward,Ailier,Ala,Alero
BK,SF/SG,,Small Forward/Shoot Guard,Ailier/Deuxième arrière,Ala/Ala-armador,Alero/Escolta
BK,SG,,Shooting Guard,Deuxième arrière,Ala-armador,Escolta
BK,SG/SF,,Shooting Guard/Small Forw,Deuxième arrière/Ailier,Ala-armador/Ala,Escolta/Alero
BV,LB,,Left Blocker,Bloqueur Gauche,Bloqueador de esquerda,Bloqueador izquierdo
BV,LD,,Left Defender,Défenseur Gauche,Defensor esquerda,Defensor izquierdo
BV,RB,,Right Blocker,Bloqueur Droit,Bloqueador de direito,Bloqueador derecho
BV,RD,,Right Defender,Défenseur Droit,Defesa Direito,Defensor derecho
CF,1,1,Position 1,Position 1,Posição 1,Posición 1
CF,2,2,Position 2,Position 2,Posição 2,Posición 2
CF,3,3,Position 3,Position 3,Posição 3,Posición 3
CF,4,4,Position 4,Position 4,Posição 4,Posición 4
CS,A,1,Bow,Proue,Canoísta da proa,Proa
CS,B,2,Stern,Poupe,Canoísta da popa,Popa
DV,A,,Left side diver,Plongeur de gauche,Saltador da esquerda,Clavadista de izquierda
DV,B,,Right side diver,Plongeur de droite,Saltador da direita,Clavadista de derecha
FB,DF,,Defender,Défenseur,Defensor,Defensor
FB,FP,,Field Player,Joueur,Jogador em campo,Jugador
FB,FW,,Forward,Attaquant,Atacante,Delantero
FB,GK,,Goalkeeper,Gardien de but,Goleiro,Portero
FB,MF,,Midfield,Milieu de terrain,Meio-campo,Mediocampista
