Id,ENG Description,FRA Description,POR Description,SPA Description
E,East,Est,Leste,Este
ENE,East-North-East,Est-Nord-Est,Leste-Nordeste,Estenordeste
ESE,East-South-East,Est-Sud-Est,Leste-Sudeste,Estesudeste
N,North,Nord,Norte,Norte
NE,North-East,Nord-Est,Nordeste,Noreste
NNE,North-North-East,Nord-Nord-Est,Norte-Nordeste,Nornordeste
NNW,North-North-West,Nord-Nord-Ouest,Norte-Noroeste,Nornoroeste
NW,North-West,Nord-Ouest,Noroeste,Noroeste
S,South,Sud,Sul,Sur
SE,South-East,Sud-Est,Sudeste,Sureste
SSE,South-South-East,Sud-Sud-Est,Sul-Sudeste,Sudsudeste
SSW,South-South-West,Sud-Sud-Ouest,Sul-Sudoeste,Sudsudoeste
SW,South-West,Sud-Ouest,Sudoeste,Suroeste
VR,Variable,Variable,Variável,Variable
W,West,Ouest,Oeste,Oeste
WNW,West-North-West,Ouest-Nord-Ouest,West-North-West,Oesnoroeste
WSW,West-South-West,Ouest-Sud-Ouest,Oeste-Sudoeste,Oestesudoeste
