Discipline,Gender,ENG Description,FRA Description,POR Description
AF,0,Global,Général,Geral
AQ,0,Global,Général,Geral
AR,0,Global,Général,Geral
AR,M,Men,Hommes,Masculino
AR,W,Women,Femmes,Feminino
AT,0,Global,Général,Geral
AT,M,Men,Hommes,Masculino
AT,W,Women,Femmes,Masculino
BD,0,Global,Général,Geral
BD,M,Men,Hommes,Masculino
BD,W,Women,Femmes,Feminino
BD,X,Mixed,Mixte,Misto
BK,0,Global,Général,Geral
BK,M,Men,Hommes,Masculino
BK,W,Women,Femmes,Feminino
BV,0,Global,Général,Geral
BV,M,Men,Hommes,Masculino
BV,W,Women,Femmes,Feminino
BX,0,Global,Général,Geral
BX,M,Men,Hommes,Masculino
BX,W,Women,Femmes,Feminino
CA,0,Global,Général,Geral
CB,0,Global,Général,Geral
CB,M,Men,Hommes,Masculino
CB,W,Women,Femmes,Feminino
CE,0,Global,Général,Geral
CF,0,Global,Général,Geral
CF,M,Men,Hommes,Masculino
CF,W,Women,Femmes,Feminino
CM,0,Global,Général,Geral
CM,M,Men,Hommes,Masculino
CM,W,Women,Femmes,Feminino
CR,0,Global,Général,Geral
CR,M,Men,Hommes,Masculino
CR,W,Women,Femmes,Feminino
CS,0,Global,Général,Geral
CS,M,Men,Hommes,Masculino
CS,W,Women,Femmes,Feminino
CT,0,Global,Général,Geral
CT,M,Men,Hommes,Masculino
CT,W,Women,Femmes,Feminino
CY,0,Global,Général,Geral
DV,0,Global,Général,Geral
DV,M,Men,Hommes,Masculino
DV,W,Women,Femmes,Feminino
EQ,0,Global,Général,Geral
EQ,X,Mixed,Mixte,Misto
FB,0,Global,Général,Geral
FB,M,Men,Hommes,Masculino
FB,W,Women,Femmes,Feminino
FE,0,Global,Général,Geral
FE,M,Men,Hommes,Masculino
FE,W,Women,Femmes,Feminino
GA,0,Global,Général,Geral
GA,M,Men,Hommes,Masculino
GA,W,Women,Femmes,Feminino
GL,0,Global,Général,Geral
GO,0,Global,Général,Geral
GO,M,Men,Hommes,Masculino
GO,W,Women,Femmes,Feminino
GR,0,Global,Général,Geral
GR,W,Women,Femmes,Feminino
GT,0,Global,Général,Geral
GT,M,Men,Hommes,Masculino
GT,W,Women,Femmes,Feminino
GY,0,Global,Général,Geral
HB,0,Global,Général,Geral
HB,M,Men,Hommes,Masculino
HB,W,Women,Femmes,Feminino
HO,0,Global,Général,Geral
HO,M,Men,Hommes,Masculino
HO,W,Women,Femmes,Feminino
IA,0,Global,Général,Geral
JU,0,Global,Général,Geral
JU,M,Men,Hommes,Masculino
JU,W,Women,Femmes,Feminino
MP,0,Global,Général,Geral
MP,M,Men,Hommes,Masculino
MP,W,Women,Femmes,Feminino
OV,0,Global,Général,Geral
OW,0,Global,Général,Geral
OW,M,Men,Hommes,Masculino
OW,W,Women,Femmes,Feminino
PC,0,Global,Général,Geral
RO,0,Global,Général,Geral
RO,M,Men,Hommes,Masculino
RO,W,Women,Femmes,Feminino
RU,0,Global,Général,Geral
RU,M,Men,Hommes,Masculino
RU,W,Women,Femmes,Feminino
SA,0,Global,Général,Geral
SA,M,Men,Hommes,Masculino
SA,W,Women,Femmes,Feminino
SA,X,Mixed,Mixte,Misto
SH,0,Global,Général,Geral
SH,M,Men,Hommes,Masculino
SH,W,Women,Femmes,Feminino
SW,0,Global,Général,Geral
SW,M,Men,Hommes,Masculino
SW,W,Women,Femmes,Feminino
SY,0,Global,Général,Geral
SY,W,Women,Femmes,Feminino
TE,0,Global,Général,Geral
TE,M,Men,Hommes,Masculino
TE,W,Women,Femmes,Feminino
TE,X,Mixed,Mixte,Misto
TK,0,Global,Général,Geral
TK,M,Men,Hommes,Masculino
TK,W,Women,Femmes,Feminino
TR,0,Global,Général,Geral
TR,M,Men,Hommes,Masculino
TR,W,Women,Femmes,Feminino
TT,0,Global,Général,Geral
TT,M,Men,Hommes,Masculino
TT,W,Women,Femmes,Feminino
UT,0,Global,Général,Geral
VB,0,Global,Général,Geral
VO,0,Global,Général,Geral
VO,M,Men,Hommes,Masculino
VO,W,Women,Femmes,Feminino
WL,0,Global,Général,Geral
WL,M,Men,Hommes,Masculino
WL,W,Women,Femmes,Feminino
WP,0,Global,Général,Geral
WP,M,Men,Hommes,Masculino
WP,W,Women,Femmes,Feminino
WR,0,Global,Général,Geral
WR,M,Men,Hommes,Masculino
WR,W,Women,Femmes,Feminino
