Id,Related Event,order,ENG Description,FRA Description,POR Description
ARM0700000,ARM070,1,Men 72 Arrows 70m Round,"Tour de 70 m, 72 flèches - hommes","Rodada de 70m, 72 flechas - homens"
ARM4700005,ARM470,2,Men 216 Arrows 70m Round,"Tour de 70 m, 216 flèches - hommes","Rodada de 70m, 216 flechas - homens"
ARW0700000,ARW070,3,Women 72 Arrows 70m Round,"Tour de 70 m, 72 flèches - femmes","Rodada de 70m, 72 flechas - mulheres"
ARW4700005,ARW470,4,Women 216 Arrows 70m Round,"Tour de 70 m, 216 flèches - femmes","Rodada de 70m, 216 flechas - mulheres"
ATM001000,ATM001,1,Men's 100m,100 m - hommes,100m rasos masculino
ATM002000,ATM002,2,Men's 200m,200 m - hommes,200m rasos masculino
ATM004000,ATM004,3,Men's 400m,400 m - hommes,400m rasos masculino
ATM008000,ATM008,4,Men's 800m,800 m - hommes,800m rasos masculino
ATM012000,ATM012,5,Men's 110m Hurdles,110 m haies - hommes,110m com barreiras masculino
ATM015000,ATM015,6,Men's 1500m,1 500 m - hommes,1.500m rasos masculino
ATM033000,ATM033,7,Men's 3000m Steeplechase,3 000 m steeple - hommes,3.000m com obstáculos masculino
ATM044000,ATM044,8,Men's 400m Hurdles,400 m haies - hommes,400m com barreiras masculino
ATM050000,ATM050,9,Men's 5000m,5 000 m - hommes,5.000m rasos masculino
ATM051000,ATM051,10,Men's Shot Put,Lancer de poids - hommes,Arremesso do peso masculino
ATM052000,ATM052,11,Men's Discus Throw,Lancer de disque - hommes,Lançamento do disco masculino
ATM053000,ATM053,12,Men's Javelin Throw,Lancer de javelot - hommes,Lançamento do dardo masculino
ATM054000,ATM054,13,Men's Hammer Throw,Lancer de marteau - hommes,Lançamento do martelo masculino
ATM061000,ATM061,14,Men's Long Jump,Saut en longueur - hommes,Salto em distância masculino
ATM062000,ATM062,15,Men's Triple Jump,Triple saut - hommes,Salto triplo masculino 
ATM071000,ATM071,16,Men's High Jump,Saut en hauteur - hommes,Salto em altura masculino
ATM072000,ATM072,17,Men's Pole Vault,Saut à la perche - hommes,Salto com vara masculino
