Id,ENG Description,FRA Description,POR Description
AQ,Aquatics,Natation,Desportos Aquáticos
AR,Archery,Tir à l'arc,Tiro com Arco
AT,Athletics,Athlétisme,Atletismo
BD,Badminton,Badminton,Badminton
BK,Basketball,Basketball,Basquetebol
BX,Boxing,Boxe,Boxe
CA,Canoe,Canoë-kayak,Canoagem
CY,Cycling,Cyclisme,Ciclismo
EQ,Equestrian,Sports équestres,Hipismo
FB,Football,Football,Futebol
FE,Fencing,Escrime,Esgrima
GO,Golf,Golf,Golfe
GY,Gymnastics,Gymnastique,Ginástica
HB,Handball,Handball,Handebol
HO,Hockey,Hockey,Hóquei sobre Grama
JU,Judo,Judo,Judô
MP,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno
RO,Rowing,Aviron,Remo
RU,Rugby,Rugby,Rugby
SA,Sailing,Voile,Vela
SH,Shooting,Tir,Tiro Esportivo
TE,Tennis,Tennis,Tênis
TK,Taekwondo,Taekwondo,Taekwondo
TR,Triathlon,Triathlon,Triatlo
TT,Table Tennis,Tennis de table,Tênis de Mesa
VB,Volleyball,Volleyball,Voleibol
WL,Weightlifting,Haltérophilie,Levantamento de Peso
WR,Wrestling,Lutte,Luta Olímpica
XX,More than one Sport,Multisport,Multi-esporte
