Id,ENG Description,FRA Description,POR Description
AR,Archery,Tir à l'arc,Tiro com Arco
AT,Athletics,Athlétisme,Atletismo
BD,Badminton,Badminton,Badminton
BK,Basketball,Basketball,Basquetebol
BV,Beach Volleyball,Volleyball de plage,Vôlei de Praia
BX,Boxing,Boxe,Boxe
CB,Cycling BMX,BMX,Ciclismo BMX
CE,Ceremonies,Cérémonies,Cerimônias
CF,Canoe Sprint,"Canoë-kayak, course en ligne",Canoagem Velocidade
CM,Cycling Mountain Bike,Cyclisme Mountain Bike,Ciclismo Mountain Bike
CR,Cycling Road,Cyclisme sur route,Ciclismo de Estrada
CS,Canoe Slalom,"Canoë-kayak, slalom",Canoagem Slalom
CT,Cycling Track,Cyclisme sur piste,Ciclismo de Pista
DV,Diving,Plongeon,Saltos Ornamentais
EQ,Equestrian,Sports équestres,Hipismo
FB,Football,Football,Futebol
FE,Fencing,Escrime,Esgrima
GA,Artistic Gymnastics,Gymnastique artistique,Ginástica Artística
GL,General,Général,Geral
GO,Golf,Golf,Golfe
GR,Rhythmic Gymnastics,Gymnastique rythmique,Ginástica Rítmica
GT,Trampoline Gymnastics,Trampoline,Ginástica de Trampolim
HB,Handball,Handball,Handebol
HO,Hockey,Hockey,Hóquei sobre grama
JU,Judo,Judo,Judô
MP,Modern Pentathlon,Pentathlon moderne,Pentatlo Moderno
OM,Olympic Movement,Mouvement Olympique,Movimento Olímpico
OW,Marathon Swimming,Natation de marathon,Maratonas Aquáticas
RO,Rowing,Aviron,Remo
RU,Rugby,Rugby,Rugby
SA,Sailing,Voile,Vela
SH,Shooting,Tir,Tiro Esportivo
SW,Swimming,Natation,Natação
SY,Synchronised Swimming,Natation synchronisée,Nado Sincronizado
TE,Tennis,Tennis,Tênis
TK,Taekwondo,Taekwondo,Taekwondo
TR,Triathlon,Triathlon,Triatlo
TT,Table Tennis,Tennis de table,Tênis de Mesa
VO,Volleyball,Volleyball,Voleibol
WL,Weightlifting,Haltérophilie,Levantamento de Peso
WP,Water Polo,Water-polo,Polo Aquático
WR,Wrestling,Lutte,Luta Olímpica
