Function,Discipline,Order,Category,ENG Description,FRA Description,KOR Description,Partic,Results
AA01,ALP,0,A,Athlete,Athlète,선수,Y,Y
AR,ALP,3,J,Assistant Referee,Arbitre adjoint,어시스턴트 레프리,,
COMP_CHF,ALP,4,J,Chief of Race,Directeur de la compétition,경기위원장,,
CRS_SET,ALP,7,J,Course Setter,Traceur,코스 세터,,
FSH_RE,ALP,6,J,Finish Referee,Juge d'arrivée,피니시 레프리,,
OFFIC,ALP,,S,Technical Official,Officiel technique,기술 임원,,
RE,ALP,2,J,Referee,Arbitre,레프리,,
STR_RE,ALP,5,J,Start Referee,Juge au départ,스타트 레프리,,
TCH_DEL,ALP,1,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
TM_MGR,ALP,,T,Team Leader,Chef d'équipe,팀 리더,,
AA01,BOB,0,A,Athlete,Athlète,선수,Y,Y
JUR_AST,BOB,,J,Jury Assistant,Adjoint au jury,부 심판,,
JUR_ME,BOB,,J,Member of the Jury,Membre du jury,심판위원,,
JUR_PR,BOB,,J,President of the Jury,Président du jury,심판위원장,,
OFFIC,BOB,,J,Technical Official,Officiel technique,기술임원,,
RCE_DIR,BOB,,J,Race Director,Directeur de course,레이스 디렉터,,
TCH_DEL,BOB,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TRK_CHF,BOB,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,BTH,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,BTH,,J,Chief of Competition,Chef de compétition,경기위원장,,
JUR_ME,BTH,,J,Member,Membre,쥬리 멤버,,
OFFIC,BTH,,S,Technical Official,Officiel technique,기술임원,,
RE,BTH,,J,International Referee for Course,Arbitre international du parcours,코스 국제심판,,
TCH_DEL,BTH,,J,IBU Technical Delegate,Délégué technique de l'IBU,IBU 기술대표(TD),,
TCH_DELA,BTH,,J,IBU Assistant Technical Delegate,Délégué technique adjoint de l'IBU,IBU 어시스턴트 기술대표,,
AA01,CCS,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,CCS,3,J,Chief of Competition,Chef de compétition,경기위원장,,
JUR_ME,CCS,5,J,Member,Membre,쥬리 멤버,,
OFFIC,CCS,,S,Technical Official,Officiel technique,기술임원,,
RCE_DIRA,CCS,2,J,FIS Assistant Race Director,Directeur de course adjoint (FIS),FIS 어시스턴트 레이스 디렉터,,
TCH_DEL,CCS,1,J,FIS Technical Delegate,Délégué technique (FIS),FIS 기술대표(TD),,
TCH_DELA,CCS,4,J,FIS Assistant Technical Delegate,Délégué technique adjoint (FIS),FIS 어시스턴트 기술대표,,
AA01,CUR,0,A,Athlete,Athlète,선수,Y,Y
COACH,CUR,,C,Coach,Entraîneur,코치 ,,
COACH_NA,CUR,,T,National Coach,Entraîneur national,대표팀 코치,,
ICE_AST,CUR,,S,Deputy Chief Ice Technician,Chef de la glace adjoint,데퓨티 치프 아이스 테크니션,,
ICE_TCH,CUR,,S,Chief Ice Technician,Technicien chef de la glace,치프 아이스 테크니션,,
TK,CUR,,J,Chief Timer,Chronométreur chef,치프 타이머,,
TK_AST,CUR,,J,Deputy Chief Timer,Chronométreur chef adjoint,데퓨티 치프 타이머,,
TM_MGR,CUR,,T,Team Leader,Chef d'équipe,팀 리더,,
TM_OFFIC,CUR,,T,Team Official,Officiel de l'équipe,팀 임원,,
TRANSL,CUR,,T,Translator,FRA,통역사,,
UC,CUR,,J,Chief Umpire,Chef arbitre,심판장,,
UDC,CUR,,J,Deputy Chief Umpire,Chef arbitre adjoint,부 심판장,,
UM,CUR,,J,Game Umpire,Arbitre du jeux,경기 심판,,
AA01,FRS,0,A,Athlete,Athlète,선수,Y,Y
