Discipline,Gender,ENG Description,FRA Description,KOR Description,Old DDG
ALP,-,Global,Global,종합,AS0
ALP,M,Men,Hommes,남자,ASM
ALP,W,Ladies,Dames,여자,ASW
ALP,X,Mixed,Mixte,혼성,
ART,-,Global,Global,종합,AF0
BOB,-,Global,Global,종합,BS0
BOB,M,Men,Hommes,남자,BSM
BOB,W,Women,Dames,여자,BSW
BOB,O,Open,Open,오픈,
BSN,-,Global,Global,종합,FM0
BTH,-,Global,Global,종합,BT0
BTH,M,Men,Hommes,남자,BTM
BTH,W,Women,Dames,여자,BTW
BTH,X,Mixed,Mixte,혼성,BTX
CCS,-,Global,Global,종합,CC0
CCS,M,Men,Hommes,남자,CCM
CCS,W,Ladies,Dames,여자,CCW
CER,-,Global,Global,종합,CE0
CUR,-,Global,Global,종합,CU0
CUR,M,Men,Hommes,남자,CUM
CUR,W,Women,Dames,여자,CUW
CUR,X,Mixed,Mixte,혼성,CUX
FRS,-,Global,Global,종합,FR0
FRS,M,Men,Hommes,남자,FRM
FRS,W,Ladies,Dames,여자,FRW
FSK,-,Global,Global,종합,FS0
FSK,M,Men,Hommes,남자,FSM
FSK,W,Ladies,Dames,여자,FSW
FSK,X,Mixed,Mixte,혼성,FSX
GEN,-,Global,Global,종합,GL0
GEN,M,Men,Hommes,남자,GLM
GEN,O,Open,Open,오픈,GLX
GEN,W,Women,Dames,여자,GLW
IHO,-,Global,Global,종합,IH0
IHO,M,Men,Hommes,남자,IHM
IHO,W,Women,Dames,여자,IHW
IOC,-,Global,Global,종합,IA0
LUG,-,Global,Global,종합,LG0
LUG,M,Men,Hommes,남자,LGM
LUG,O,Open,Open,오픈,
LUG,W,Women,Dames,여자,LGW
LUG,X,Mixed,Mixte,혼성,LGX
NCB,-,Global,Global,종합,NC0
NCB,M,Men,Hommes,남자,NCM
NEV,-,Global,Global,종합,NE0
OLV,-,Global,Global,종합,OV0
PCO,-,Global,Global,종합,PC0
SBD,-,Global,Global,종합,SB0
SBD,M,Men,Hommes,남자,SBM
SBD,W,Ladies,Dames,여자,SBW
SJP,-,Global,Global,종합,SJ0
SJP,M,Men,Hommes,남자,SJM
SJP,W,Ladies,Dames,여자,SJW
SKN,-,Global,Global,종합,SN0
SKN,M,Men,Hommes,남자,SNM
SKN,W,Women,Dames,여자,SNW
SKT,-,Global,Global,종합,SK0
SSK,-,Global,Global,종합,SS0
SSK,M,Men,Hommes,남자,SSM
SSK,W,Ladies,Dames,여자,SSW
STK,-,Global,Global,종합,ST0
STK,M,Men,Hommes,남자,STM
STK,W,Ladies,Dames,여자,STW
TRU,-,Global,Global,종합,UT0
