Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
ABT,ABT,,Y,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,ABTBTH1,
ACC,ACC,,Y,Alpensia Cross-Ctry Ctr,FRA,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Centre,Centre de ski de fond d'Alpensia,알펜시아 크로스컨트리 센터,ACCCCS1,
BA1,ASJ,1,Y,Alpensia Ski Jump Ctr-Big Air,FRA,알펜시아 스키점프 센터 - 빅에어,Alpensia Ski Jumping Centre - Big Air,Centre de saut à ski d'Alpensia - Big Air,알펜시아 스키점프 센터 - 빅에어,ASJSJP1,
SJ1,ASJ,2,Y,Alpensia Ski Jump Ctr - Normal,FRA,알펜시아 스키점프 센터 - 노말힐,Alpensia Ski Jumping Centre - Normal Hill,Centre de saut à ski d'Alpensia - Tremplin normal,알펜시아 스키점프 센터 - 노말힐,ASJSJP1,
SJ2,ASJ,3,Y,Alpensia Ski Jump Ctr - Large,FRA,알펜시아 스키점프 센터 - 라지힐,Alpensia Ski Jumping Centre - Large Hill,Centre de saut à ski d'Alpensia - Grand tremplin,알펜시아 스키점프 센터 - 라지힐,ASJSJP1,
ASL,ASL,,Y,Alpensia Sliding Centre,Centre de glisse d'Alpensia,알펜시아 슬라이딩 센터,Alpensia Sliding Centre,Centre de glisse d'Alpensia,알펜시아 슬라이딩 센터,,
CR1,BKC,,Y,Bokwang Park (C) - Cross,Parc de Bokwang (C) - Cross,보광 스노우 파크 (C)- 크로스,Bokwang Ski Park (C) - Cross,Parc de neige de Bokwang (C) - Cross,보광 스노우 파크 (C)- 크로스,,
HP1,BKC,,Y,Bokwang Park (C) - Half Pipe,FRA,보광 스노우 파크 (C)- 하프파이프,Bokwang Ski Park (C) - Half Pipe,Parc de neige de Bokwang (C) - Half-pipe,보광 스노우 파크 (C)- 하프파이프,,
AE1,BKP,,Y,Bokwang Park (P) - Aerials,Parc de Bokwang (P) - Sauts,보광 스노우 파크 (P)- 에어리얼,Bokwang Ski Park (P) - Aerials,Parc de neige de Bokwang (P) - Sauts,보광 스노우 파크 (P)- 에어리얼,,
MO1,BKP,,Y,Bokwang Park (P) - Moguls,Parc de Bokwang (P) - Bosses,보광 스노우 파크 (P)- 모글,Bokwang Ski Park (P) - Moguls,Parc de neige de Bokwang (P) - Bosses,보광 스노우 파크 (P)- 모글,,
SL1,BKP,,Y,Bokwang Park (P) - Slalom,Parc de Bokwang (P) - Slalom,보광 스노우 파크 (P)- 회전,Bokwang Ski Park (P) - Slalom,Parc de neige de Bokwang (P) - Slalom,보광 스노우 파크 (P)- 회전,,
SP1,BKP,,Y,Bokwang Park (P) - Slopestyle,FRA,보광 스노우 파크 (P)- 슬로프스타일,Bokwang Ski Park (P) - Slopestyle,Parc de neige de Bokwang (P) - Slopestyle,보광 스노우 파크 (P)- 슬로프스타일,,
GIA,GIA,,Y,Gangneung Ice Arena,FRA,강릉 아이스 아레나,Gangneung Ice Arena,Palais des glaces de Gangneung ,강릉 아이스 아레나,GIAFSK1/GIASSK1,
GHC,GHC,,Y,Gangneung Hockey Centre,FRA,강릉 하키 센터,Gangneung Hockey Centre,Centre de hockey de Gangneung ,강릉 하키 센터,GHCALP1,
CUA,GCC,1,Y,Gangneung Curling - Sheet A,Centre de curling - Piste A,강릉 컬링 센터 - 시트 A,Gangneung Curling Centre - Sheet A,Centre de curling de Gangneung - Piste A,강릉 컬링 센터 - 시트 A,GCCCUR1,
CUB,GCC,2,Y,Gangneung Curling - Sheet B,Centre de curling - Piste B,강릉 컬링 센터 - 시트 B,Gangneung Curling Centre - Sheet B,Centre de curling de Gangneung - Piste B,강릉 컬링 센터 - 시트 B,GCCCUR1,
CUC,GCC,3,Y,Gangneung Curling - Sheet C,Centre de curling - Piste C,강릉 컬링 센터 - 시트 C,Gangneung Curling Centre - Sheet C,Centre de curling de Gangneung - Piste C,강릉 컬링 센터 - 시트 C,GCCCUR1,
CUD,GCC,4,Y,Gangneung Curling - Sheet D,Centre de curling - Piste D,강릉 컬링 센터 - 시트 D,Gangneung Curling Centre - Sheet D,Centre de curling de Gangneung - Piste D,강릉 컬링 센터 - 시트 D,GCCCUR1,
TBD,GCC,5,Y,Gangneung Curling - Sheet TBD,FRA,강릉 컬링 센터 - 시트 TBD,Gangneung Curling Centre - Sheet TBD,FRA,강릉 컬링 센터 - 시트 TBD,GCCCUR1,
GOV,GOV,,Y,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,GOVSSK1,
JAL,JAL,,Y,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,JALALP1,
KHC,KHC,,Y,Kwandong Hockey Centre,Centre de hockey de Kwandong,관동 하키 센터,Kwandong Hockey Centre,Centre de hockey de Kwandong,관동 하키 센터,KHCIHO1,
YAL,YAL,,Y,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,YALALP1,
