Id,Related Event,order,ENG Description,FRA Description,KOR Description,OLD Id
BOBMTEAM2-------------------------,BOBMTEAM2-------------------------,1,Two-man,Bob à deux hommes,남자 2인승,
BOBOTEAM4-------------------------,BOBOTEAM4-------------------------,2,Four-man,Bob à quatre hommes,남자 4인승,
BOBWTEAM2-------------------------,BOBWTEAM2-------------------------,3,Women's,Bob à deux femmes,여자 2인승,
LUGMSINGLES-----------------------,LUGMSINGLES-----------------------,1,Men's Singles,Simple hommes,남자 싱글,
LUGODOUBLES-----------------------,LUGODOUBLES-----------------------,3,Doubles,Double,더블,
LUGWSINGLES-----------------------,LUGWSINGLES-----------------------,2,Women's Singles,Simple femmes,여자 싱글,
LUGXRELAY4------------------------,LUGXRELAY4------------------------,4,Team Relay,Relais par équipes,팀 계주,
SKNMSINGLES-----------------------,SKNMSINGLES-----------------------,1,Men,Hommes,남자,
SKNWSINGLES-----------------------,SKNWSINGLES-----------------------,2,Women,Femmes,여자,
SSKM10000M------------------------,SSKM10000M------------------------,5,Men's 10000m,10 000 m hommes,남자 10000 m,SSM100000
SSKM1000M-------------------------,SSKM1000M-------------------------,2,Men's 1000m,1 000 m hommes,남자 1000 m,SSM010000
SSKM1500M-------------------------,SSKM1500M-------------------------,3,Men's 1500m,1 500 m hommes,남자 1500 m,SSM015000
SSKM5000M-------------------------,SSKM5000M-------------------------,4,Men's 5000m,5 000 m hommes,남자 5000 m,SSM050000
SSKM500M--------------------------,SSKM500M--------------------------,1,Men's 500m,500 m hommes,남자 500 m,SSM005000
SSKMTEAMPU------------------------,SSKMTEAMPU------------------------,6,Men's Team Pursuit,Poursuite par équipes hommes,남자 팀추월,SSM408000
SSKW1000M-------------------------,SSKW1000M-------------------------,8,Ladies' 1000m,1 000 m dames,여자 1000 m,SSW010000
SSKW1500M-------------------------,SSKW1500M-------------------------,9,Ladies' 1500m,1 500 m dames,여자 1500 m,SSW015000
SSKW3000M-------------------------,SSKW3000M-------------------------,10,Ladies' 3000m,3 000 m dames,여자 3000 m,SSW030000
SSKW5000M-------------------------,SSKW5000M-------------------------,11,Ladies' 5000m,5 000 m dames,여자 5000 m,SSW050000
SSKW500M--------------------------,SSKW500M--------------------------,7,Ladies' 500m,500 m dames,여자 500 m,SSW005000
SSKWTEAMPU------------------------,SSKWTEAMPU------------------------,12,Ladies' Team Pursuit,Poursuite par équipes dames,여자 팀추월,SSW406000
STKM1000M-------------------------,STKM1000M-------------------------,2,Men's 1000m,1 000 m hommes,남자 1000 m,STM010000
STKM1500M-------------------------,STKM1500M-------------------------,3,Men's 1500m,1 500 m hommes,남자 1500 m,STM015000
STKM5000MRY4----------------------,STKM5000MRY4----------------------,4,Men's 5000m Relay,Relais 5 000 m hommes,남자 계주 5000 m,STM450000
STKM500M--------------------------,STKM500M--------------------------,1,Men's 500m,500 m hommes,남자 500 m,STM005000
STKW1000M-------------------------,STKW1000M-------------------------,6,Ladies' 1000m,1 000 m dames,여자 1000 m,STW010000
STKW1500M-------------------------,STKW1500M-------------------------,7,Ladies' 1500m,1 500 m dames,여자 1500 m,STW015000
STKW3000MRY4----------------------,STKW3000MRY4----------------------,8,Ladies' 3000m Relay,Relais 3 000 m dames,여자 계주 3000 m,STW430000
STKW500M--------------------------,STKW500M--------------------------,5,Ladies' 500m,500 m dames,여자 500 m,STW005000
