Id,ENG Description,FRA Description,KOR Description
FOC,Future Organizing Committees,Futurs comités d'organisation,향후 조직위원회
GOV,Korean Government,Gouvernement coréen,대한민국 정부
IF,International Federations,Fédérations Internationales,국제연맹
IOC,Int. Olympic Committee,Comité International Olympique,국제 올림픽 위원회
IPC,Int. Paralympic Committee,C. International Paralympique,국제 장애인올림픽 위원회 
NGB,National Governing Body,Autorité régulatrice nationale,국가 관리기구
NOC,National Olympic Committees,Comités Nationaux Olympiques,국가별 올림픽 위원회 
NPC,National Paralympic Committees,Comt. Nationaux Paralympiques,국가별 장애인올림픽 위원회 
OC,Organizing Committee,Comité d'organisation,조직 위원회
ORG,Korean Organisation,Organisation coréenne,한국 조직위
