Id,type,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
AFG,OC,Afghanistan,Afghanistan,아프가니스탄,Afghanistan,Afghanistan,아프가니스탄
AHO,OC,Netherlands Antilles,Ant. néerlandaises,네덜란드령 안틸레스 제도,Netherlands Antilles,Antilles néerlandaises,네덜란드령 안틸레스 제도
AIBA,IF,AIBA,AIBA,국제복싱협회,International Boxing Association,Association Internationale de Boxe Amateur,국제복싱협회,,,,,,,,
ALB,OC,Albania,Albanie,알바니아,Albania,Albanie,알바니아,,,,,,,,
ALG,OC,Algeria,Algérie,알제리,Algeria,Algérie,알제리
AND,OC,Andorra,Andorre,안도라,Andorra,Andorre,안도라
ANG,OC,Angola,Angola,앙골라,Angola,Angola,앙골라
ANT,OC,Antigua & Barbuda,Antigua-et-Barbuda,앤티가바부다,Antigua and Barbuda,Antigua-et-Barbuda,앤티가바부다
ANZ,OC,AUS/NZL,AUS/NZL,호주뉴질랜드,Australia/New Zealand,Australie/Nouvelle-Zélande,호주뉴질랜드
ARG,OC,Argentina,Argentine,아르헨티나,Argentina,Argentine,아르헨티나
ARM,OC,Armenia,Arménie,아르메니아,Armenia,Arménie,아르메니아
ARU,OC,Aruba,Aruba,아루바,Aruba,Aruba,아루바
ASA,OC,American Samoa,Samoa amér.,아메리칸사모아,American Samoa,Samoa américaines,아메리칸사모아
AUS,OC,Australia,Australie,오스트레일리아,Australia,Australie,오스트레일리아
AUT,OC,Austria,Autriche,오스트리아,Austria,Autriche,오스트리아
AZE,OC,Azerbaijan,Azerbaïdjan,아제르바이잔,Azerbaijan,Azerbaïdjan,아제르바이잔
BAH,OC,Bahamas,Bahamas,바하마,Bahamas,Bahamas,바하마
BAN,OC,Bangladesh,Bangladesh,방글라데시,Bangladesh,Bangladesh,방글라데시
BAR,OC,Barbados,Barbade,바베이도스,Barbados,Barbade,바베이도스
BDI,OC,Burundi,Burundi,부룬디,Burundi,Burundi,부룬디
BEL,OC,Belgium,Belgique,벨기에,Belgium,Belgique,벨기에
BEN,OC,Benin,Bénin,베냉,Benin,Bénin,베냉
BER,OC,Bermuda,Bermudes,버뮤다,Bermuda,Bermudes,버뮤다
BHU,OC,Bhutan,Bhoutan,부탄,Bhutan,Bhoutan,부탄
BIH,OC,Bosnia Herzegovina,Bosnie-Herzégovine,보스니아헤르체고비나,Bosnia and Herzegovina,Bosnie-Herzégovine,보스니아헤르체고비나
BIZ,OC,Belize,Belize,벨리즈,Belize,Belize,벨리즈
BLR,OC,Belarus,Bélarus,벨라루스,Belarus,Bélarus,벨라루스
BOL,OC,Bolivia,Bolivie,볼리비아,Bolivia,Bolivie,볼리비아
BOT,OC,Botswana,Botswana,보츠와나,Botswana,Botswana,보츠와나
BRA,OC,Brazil,Brésil,브라질,Brazil,Brésil,브라질
BRN,OC,Bahrain,Bahreïn,바레인,Bahrain,Bahreïn,바레인
BRU,OC,Brunei Darussalam,Brunéi Darussalam,브루나이,Brunei Darussalam,Brunéi Darussalam,브루나이
BUL,OC,Bulgaria,Bulgarie,불가리아,Bulgaria,Bulgarie,불가리아
BUR,OC,Burkina Faso,Burkina Faso,부르키나파소,Burkina Faso,Burkina Faso,부르키나파소
BWF,IF,BWF,BWF,세계 배드민턴 연맹,Badminton World Federation,Fédération Internationale de Badminton,세계 배드민턴 연맹,,,,,,,,
CAF,OC,Central African Rep,Rép. Centrafricaine,중앙아프리카공화국,Central African Republic,République centrafricaine,중앙아프리카공화국
CAM,OC,Cambodia,Cambodge,캄보디아,Cambodia,Cambodge,캄보디아,,,,,,,,
CAN,OC,Canada,Canada,캐나다,Canada,Canada,캐나다
CAY,OC,Cayman Islands,Îles Caïmans,케이맨 제도,Cayman Islands,Îles Caïmans,케이맨 제도
CGO,OC,Congo,Congo,콩고 공화국,Congo,Congo,콩고 공화국
CHA,OC,Chad,Tchad,차드,Chad,Tchad,차드
CHI,OC,Chile,Chili,칠레,Chile,Chili,칠레
CHN,OC,China,Chine,중국,People's Republic of China,République populaire de Chine,중국
CIS,OC,CIS,CEI,독립국가연합,Commonwealth of Independent States,Communauté des États indépendants,독립국가연합
