Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
ABT,ABT,,Y,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,Centre de biathlon d'Alpensia,알펜시아 바이애슬론 센터,ABTBTH1,
ACC,ACC,,Y,Alpensia Cross-Ctry Ctr,Ctr ski fond Alpensia,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Centre,Centre de ski de fond d'Alpensia,알펜시아 크로스컨트리 센터,ACCCCS1/ACCNCB1,
AMC,AMC,,N,Asan Medical Centre,Centre médical d'Asan,서울아산병원,Asan Medical Centre,Centre médical d'Asan,서울아산병원,,
ASJ,ASJ,,Y,Alpensia Ski Jumping Ctr,Ctr saut à ski Alpensia,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,Centre de saut à ski d'Alpensia,알펜시아 스키점프 센터,ASJSBD1/ASJSJP1/ASJNCB1,
BA1,ASJ,1,Y,Alpensia Ski Jump Ctr-Big Air,Ctr saut ski Alpensia-Big Air,알펜시아 스키점프 센터 - 빅에어,Alpensia Ski Jumping Centre - Big Air,Centre de saut à ski d'Alpensia - Big Air,알펜시아 스키점프 센터 - 빅에어,ASJSBD1,
SJ1,ASJ,2,Y,Alpensia Ski Jump Ctr - Normal,Ctr saut à ski Alpensia-Normal,알펜시아 스키점프 센터 - 노말힐,Alpensia Ski Jumping Centre - Normal Hill,Centre de saut à ski d'Alpensia - Tremplin normal,알펜시아 스키점프 센터 - 노말힐,ASJSJP1/ASJNCB1,
SJ2,ASJ,3,Y,Alpensia Ski Jump Ctr - Large,Ctr saut à ski Alpensia-Large,알펜시아 스키점프 센터 - 라지힐,Alpensia Ski Jumping Centre - Large Hill,Centre de saut à ski d'Alpensia - Grand tremplin,알펜시아 스키점프 센터 - 라지힐,ASJSJP1/ASJNCB1,
ASL,ASL,,Y,Alpensia Sliding Centre,Centre de glisse d'Alpensia,알펜시아 슬라이딩 센터,Alpensia Sliding Centre,Centre de glisse d'Alpensia,알펜시아 슬라이딩 센터,ASLBOB1/ASLLUG1/ASLSKN1,
ATC,ATC,,N,Alternate TOC,Alternative du CET,보조 기술운영센터,Secondary Technology Operations Centre,Alternative du centre d’exploitation technologique,보조 기술운영센터,,
BKC,BKC,,Y,Bokwang Snow Park (C),Parc de Bokwang (C),보광 스노 경기장(C),Bokwang Snow Park (C),Parc de neige de Bokwang (C),보광 스노 경기장(C),BKCFRS1/BKCSBD1,
CR1,BKC,,Y,Bokwang Park (C) - Cross,Parc de Bokwang (C) - Cross,보광 스노우 파크 (C)- 크로스,Bokwang Ski Park (C) - Cross,Parc de neige de Bokwang (C) - Cross,보광 스노우 파크 (C)- 크로스,BKCFRS1/BKCSBD1,
HP1,BKC,,Y,Bokwang Park (C) - Half Pipe,Parc de Bokwang (C)-Half-pipe,보광 스노우 파크 (C)- 하프파이프,Bokwang Ski Park (C) - Half Pipe,Parc de neige de Bokwang (C) - Half-pipe,보광 스노우 파크 (C)- 하프파이프,BKCFRS1/BKCSBD1,
AE1,BKP,,Y,Bokwang Park (P) - Aerials,Parc de Bokwang (P) - Sauts,보광 스노우 파크 (P)- 에어리얼,Bokwang Ski Park (P) - Aerials,Parc de neige de Bokwang (P) - Sauts,보광 스노우 파크 (P)- 에어리얼,BKPFRS1,
BKP,BKP,,Y,Bokwang Snow Park (P),Parc de Bokwang (P),보광 스노 경기장(P),Bokwang Snow Park (P),Parc de neige de Bokwang (P),보광 스노 경기장(P),BKPFRS1/BKPSBD1,
MO1,BKP,,Y,Bokwang Park (P) - Moguls,Parc de Bokwang (P) - Bosses,보광 스노우 파크 (P)- 모글,Bokwang Ski Park (P) - Moguls,Parc de neige de Bokwang (P) - Bosses,보광 스노우 파크 (P)- 모글,BKPFRS1,
SL1,BKP,,Y,Bokwang Park (P) - Slalom,Parc de Bokwang (P)-SGP,보광 스노우 파크 (P)- 회전,Bokwang Ski Park (P) - Slalom,Parc de neige de Bokwang (P) - Slalom,보광 스노우 파크 (P)- 회전,BKPSBD1,
