Id,ENG Description,FRA Description,KOR Description
bad,Bad,Mauvaise,나쁨 
bet,Better,Meilleure,나음 
cmp,Compact,Compacte,다져진 눈
f-g,Fine grained,Granuleuse fine,분설
grn,Granular,Granuleuse,설탕눈
hrd,Hard,Dure,강설
hrd-p,Hard packed,Très damée,굳은 눈
hrd-p-v,Hard packed variable,Très damée variable,일부 궅은 눈
icy,Icy,Glacée,아이스
nor,Normal,Normale,보통 
p,Packed,Damée,다져진 눈
ppwd,Packed powder,Poudreuse damée,다져진 건설
pwd,Powder,Poudreuse,건설
sft,Soft,Molle,부드러운 눈
sp-c,Spring conditions,Conditions printanières,봄 상태의 눈
wt,Wet,Humide,습설
wt-pwd,Wet & powder,Humide et poudreuse,습설 및 건설
