Id,ENG Description,FRA Description,KOR Description
E,East,Est,동
ENE,East-North-East,Est-Nord-Est,동북동
ESE,East-South-East,Est-Sud-Est,동남동
N,North,Nord,북
NE,North-East,Nord-Est,북동
NNE,North-North-East,Nord-Nord-Est,북북동
NNW,North-North-West,Nord-Nord-Ouest,북북서
NW,North-West,Nord-Ouest,북서
S,South,Sud,남
SE,South-East,Sud-Est,남동
SSE,South-South-East,Sud-Sud-Est,남남동
SSW,South-South-West,Sud-Sud-Ouest,남남서
SW,South-West,Sud-Ouest,남서
VR,Variable,Variable,변수
W,West,Ouest,가변
WNW,West-North-West,Ouest-Nord-Ouest,서북서
WSW,West-South-West,Ouest-Sud-Ouest,서남서
