Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,KOR unit Description,Old DDGEEEPUU
ALP,-,------------------,----,--------,Alpine Skiing,Ski alpin,알파인 스키,Alpine Skiing,Ski alpin,알파인 스키,Discipline,,N,0,NONE,N,N,,,,AS0000000
ALP,-,------------------,----,JAL-----,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,Venue,,N,0,NONE,N,N,,,,
ALP,-,------------------,----,YAL-----,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,Venue,,N,0,NONE,N,N,,,,AS0ACV000
ALP,-,------------------,DRAW,--------,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Draw,,N,0,NONE,N,N,Draw,Tirage au sort,추첨,
ALP,-,------------------,DRAW,000100--,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Draw,,Y,0,NONE,N,Y,Draw,Tirage au sort,추첨,AS0000E01
ALP,-,CANCEL------------,----,000100--,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,Unit,,Y,0,NONE,Y,Y,,,,
ALP,-,CANCEL------------,----,000200--,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,Unit,,Y,0,NONE,Y,Y,,,,
ALP,-,CANCEL------------,----,000300--,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,Unit,,Y,0,NONE,Y,Y,,,,
ALP,M,------------------,----,--------,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자,Gender,,N,0,NONE,N,N,,,,ASM000000
ALP,M,------------------,MEET,--------,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,N,0,NONE,N,N,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,
ALP,M,------------------,MEET,000100--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T01
ALP,M,------------------,MEET,000200--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T02
ALP,M,------------------,MEET,000300--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T03
ALP,M,------------------,MEET,000400--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T04
ALP,M,------------------,MEET,000500--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T05
ALP,M,------------------,MEET,000600--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T06
ALP,M,------------------,MEET,000700--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T07
ALP,M,------------------,MEET,000800--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T08
ALP,M,------------------,MEET,000900--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T09
ALP,M,------------------,MEET,001000--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T10
ALP,M,------------------,MEET,001100--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T11
ALP,M,------------------,MEET,001200--,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자경기,Meeting,,Y,0,NONE,N,Y,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T12
