Discipline,Code_Entity,Code,Order,Description,Note
ALP,Bracket,BRN,,Bronze,Small Final
ALP,Bracket,FNL,,Finals,
ALP,BracketItems,8FNL,,1/8 Finals,
ALP,BracketItems,FNL,,Final,
ALP,BracketItems,QFNL,,Quarterfinal,
ALP,BracketItems,SFNL,,Semifinal,
ALP,Course,B,,Blue,
ALP,Course,R,,Red,
ALP,ForerunnerBib,A,,A,
ALP,ForerunnerBib,B,,B,
ALP,ForerunnerBib,C,,C,
ALP,ForerunnerBib,D,,D,
ALP,ForerunnerBib,E,,E,
ALP,ForerunnerBib,F,,F,
ALP,ForerunnerBib,G,,G,
ALP,ForerunnerBib,H,,H,
ALP,ForerunnerBib,I,,I,
ALP,ForerunnerBib,J,,J,
ALP,ForerunnerBib,K,,K,
ALP,ForerunnerBib,L,,L,
ALP,ForerunnerBib,M,,M,
ALP,ForerunnerBib,N,,N,
ALP,ForerunnerBib,O,,O,
ALP,IRM,DNF,,Did not Finish,
ALP,IRM,DNS,,Did not Start,
ALP,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
ALP,IRM,DSQ,,Disqualified,
ALP,IRM,NPS,,Not Permitted to Start,
ALP,QualificationMark,Q,,Qualified,Alpine Team Event
ALP,QualificationMark,QB,,Qualified by Bib,Alpine Team Event. If tie broken by bib
ALP,QualificationMark,QT,,Qualified by Time,Alpine Team Event. If tie broken by time
ALP,QualificationMark,W,,Big Final Winner,Alpine Team Event
ALP,QualificationMark,w,,Small Final Winner,Alpine Team Event
ALP,ResultType,IRM,,Invalid Result Mark,
ALP,ResultType,POINTS,,Points,Alpine Team Event
ALP,ResultType,TIME,,Time,
ALP,WLT,L,,Team / Athlete lost,
ALP,WLT,T,,Team / Athlete tied,
ALP,WLT,W,,Team / Athlete won,
BOB,IRM,DNF,,Did not Finish,
BOB,IRM,DNS,,Did not Start,
BOB,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
BOB,IRM,DSQ,,Disqualified,
BOB,QualificationMark,Q,,Qualified,To participate in the last heat
BOB,ResultType,IRM,,Invalid Result Mark,
BOB,ResultType,TIME,,Time,
BOB,StartText,After Heat 1,,,
BOB,StartText,After Heat 3,,,
BOB,StartText,After Heat 5,,,
BOB,StartText,After Training 1,,,
BOB,StartText,After Training 3,,,
BOB,StartText,After Training 5,,,
BOB,StartText,Followed by,,,
BTH,IRM,DNF,,Did not finish,
BTH,IRM,DNS,,Did not start,
BTH,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
BTH,IRM,DSQ,,Disqualified,
BTH,IRM,LAP,,Lapped,
BTH,MassGroup,MEDAL,,Medal winners,
BTH,MassGroup,OG_PTS,,Qualified by Olympic Games Points,
BTH,MassGroup,OG_PTS_RES,,Reserve athletes qualified by Olympic Games points,
BTH,MassGroup,WCP,,World Cup Total Score - top 10,
BTH,ResultType,IRM,,Invalid Result Mark,
BTH,ResultType,IRM_TIME,,"For both, time and invalid result mark",
BTH,ResultType,PENALTY,,Number of penalties,
BTH,ResultType,TIME,,Time,
CCS,Bracket,FNL,,Final,
CCS,BracketItems,FNL,,Final,
CCS,BracketItems,QFNL,,Quarterfinal,
CCS,BracketItems,SFNL,,Semifinal,
CCS,IRM,DNF,,Did not finish,
CCS,IRM,DNS,,Did not start,
CCS,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
CCS,IRM,DSQ,,Disqualified,
CCS,IRM,LAP,,Lapped,
CCS,IRM,RAL,,Ranked as Last,
