Class,Discipline,ENG Description,POR Description
ST,AR,Standing,Em pé
W1,AR,W1,W1
W2,AR,W2,W2
F11,AT,F11,F11
F12,AT,F12,F12
F13,AT,F13,F13
F20,AT,F20,F20
F31,AT,F31,F31
F32,AT,F32,F32
F33,AT,F33,F33
F34,AT,F34,F34
F35,AT,F35,F35
F36,AT,F36,F36
F37,AT,F37,F37
F38,AT,F38,F38
F40,AT,F40,F40
F41,AT,F41,F41
F42,AT,F42,F42
F43,AT,F43,F43
F44,AT,F44,F44
F45,AT,F45,F45
F46,AT,F46,F46
F51,AT,F51,F51
F52,AT,F52,F52
F53,AT,F53,F53
F54,AT,F54,F54
F55,AT,F55,F55
F56,AT,F56,F56
F57,AT,F57,F57
GUI,AT,Guide,Guia
T11,AT,T11,T11
T12,AT,T12,T12
T13,AT,T13,T13
T20,AT,T20,T20
T33,AT,T33,T33
T34,AT,T34,T34
T35,AT,T35,T35
T36,AT,T36,T36
T37,AT,T37,T37
T38,AT,T38,T38
T42,AT,T42,T42
T43,AT,T43,T43
T44,AT,T44,T44
T45,AT,T45,T45
T46,AT,T46,T46
T47,AT,T47,T47
T51,AT,T51,T51
T52,AT,T52,T52
T53,AT,T53,T53
T54,AT,T54,T54
BC1,BO,BC1,BC1
BC2,BO,BC2,BC2
BC3,BO,BC3,BC3
BC4,BO,BC4,BC4
KL1,CF,KL1,KL1
KL2,CF,KL2,KL2
KL3,CF,KL3,KL3
B,CR,B,B
B1,CR,B1,B1
B2,CR,B2,B2
B3,CR,B3,B3
C1,CR,C1,C1
C2,CR,C2,C2
C3,CR,C3,C3
C4,CR,C4,C4
C5,CR,C5,C5
H1,CR,H1,H1
H2,CR,H2,H2
H3,CR,H3,H3
H4,CR,H4,H4
H5,CR,H5,H5
PLT,CR,Pilot,Piloto
T1,CR,T1,T1
T2,CR,T2,T2
B,CT,B,B
B1,CT,B1,B1
B2,CT,B2,B2
B3,CT,B3,B3
C1,CT,C1,C1
C2,CT,C2,C2
C3,CT,C3,C3
C4,CT,C4,C4
C5,CT,C5,C5
PLT,CT,Pilot,Piloto
GIA,EQ,Grade I,Grau I
GIB,EQ,Grade Ib,Grau Ib
GII,EQ,Grade II,Grau II
GIII,EQ,Grade III,Grau III
GIV,EQ,Grade IV,Grau IV
B1,FB,B1,B1
B2,FB,B2,B2
B3,FB,B3,B3
GK,FB,Goalkeeper,Goleiro
FT5,FT,FT5,FT5
FT6,FT,FT6,FT6
FT7,FT,FT7,FT7
FT8,FT,FT8,FT8
B1,GB,B1,B1
B2,GB,B2,B2
B3,GB,B3,B3
B1,JU,B1,B1
B2,JU,B2,B2
B3,JU,B3,B3
PO,PO,PO,PO
AS,RO,AS,AS
CXW,RO,Coxswain,Timoneiro
LTAB1,RO,LTA B1,LTA B1
LTAB2,RO,LTA B2,LTA B2
LTAB3,RO,LTA B3,LTA B3
LTAID,RO,LTA Intellectual Disability,LTA Deficiência Intelectual
LTAPD,RO,LTA Physical Disability,LTA Deficiência Física
TA,RO,TA,TA
1,SA,1 point,1 ponto
2,SA,2 points,2 pontos
3,SA,3 points,3 pontos
4,SA,4 points,4 pontos
5,SA,5 points,5 pontos
6,SA,6 points,6 pontos
7,SA,7 points,7 pontos
MD,SA,Minimal Disability,Deficiência Mínima
TPA,SA,2-Person format Classificat. A,TPA
TPB,SA,2-Person format Classificat. B,TPB
SH1,SH,SH1,SH1
SH2,SH,SH2,SH2
S1,SW,S1,S1
S10,SW,S10,S10
S11,SW,S11,S11
S12,SW,S12,S12
S13,SW,S13,S13
S14,SW,S14,S14
S2,SW,S2,S2
S3,SW,S3,S3
S4,SW,S4,S4
S5,SW,S5,S5
S6,SW,S6,S6
S7,SW,S7,S7
S8,SW,S8,S8
S9,SW,S9,S9
SB1,SW,SB1,SB1
SB11,SW,SB11,SB11
SB12,SW,SB12,SB12
SB13,SW,SB13,SB13
SB14,SW,SB14,SB14
SB2,SW,SB2,SB2
SB3,SW,SB3,SB3
SB4,SW,SB4,SB4
SB5,SW,SB5,SB5
SB6,SW,SB6,SB6
SB7,SW,SB7,SB7
SB8,SW,SB8,SB8
SB9,SW,SB9,SB9
SM1,SW,SM1,SM1
SM10,SW,SM10,SM10
SM11,SW,SM11,SM11
SM12,SW,SM12,SM12
SM13,SW,SM13,SM13
SM14,SW,SM14,SM14
SM2,SW,SM2,SM2
SM3,SW,SM3,SM3
SM4,SW,SM4,SM4
SM5,SW,SM5,SM5
SM6,SW,SM6,SM6
SM7,SW,SM7,SM7
SM8,SW,SM8,SM8
SM9,SW,SM9,SM9
GUI,TR,Guide,Guia
PT1M,TR,PT1M,PT1M
PT2M,TR,PT2M,PT2M
PT2W,TR,PT2W,PT2W
PT4M,TR,PT4M,PT4M
PT4W,TR,PT4W,PT4W
PT5W-B1,TR,PT5W-B1,PT5W-B1
PT5W-B2,TR,PT5W-B2,PT5W-B2
PT5W-B3,TR,PT5W-B3,PT5W-B3
1,TT,1,1
10,TT,10,10
11,TT,11,11
2,TT,2,2
3,TT,3,3
4,TT,4,4
5,TT,5,5
6,TT,6,6
7,TT,7,7
8,TT,8,8
9,TT,9,9
D,VS,D,D
MD,VS,MD,MD
1.0,WB,1.0 points,"1,0 ponto"
1.5,WB,1.5 points,"1,5 ponto"
2.0,WB,2.0 points,"2,0 pontos"
2.5,WB,2.5 points,"2,5 pontos"
3.0,WB,3.0 points,"3,0 pontos"
3.5,WB,3.5 points,"3,5 pontos"
4.0,WB,4.0 points,"4,0 pontos"
4.5,WB,4.5 points,"4,5 pontos"
A,WF,Category A,Categoria A
B,WF,Category B,Categoria B
0.5,WR,0.5 points,"0,5 ponto"
1.0,WR,1.0 points,"1,0 ponto"
1.5,WR,1.5 points,"1,5 ponto"
2.0,WR,2.0 points,"2,0 pontos"
2.5,WR,2.5 points,"2,5 pontos"
3.0,WR,3.0 points,"3,0 pontos"
3.5,WR,3.5 points,"3,5 pontos"
Q,WT,Quad,Quad
WT,WT,WT,WT
