Sport,Code_Entity,Code,Order,Description,Note
AR,Bracket,BRN,,Bronze,
AR,Bracket,FNL,,Finals,
AR,BracketItems,FNL,,Finals,
AR,BracketItems,QFL,,Quarterfinals,
AR,BracketItems,R16,,1/8 Elimination Round,
AR,BracketItems,R32,,1/16 Elimination Round,
AR,BracketItems,SFL,,Semifinals,
AR,Hand,L,,Left,
AR,Hand,R,,Right,
AR,IRM,DNF,,Did not finish,
AR,IRM,DNS,,Did not start,
AR,IRM,DSQ,,Disqualified,
AR,ResultType,IRM,,Invalid Result Mark,
AR,ResultType,IRM_POINTS,,"Send both, Points and IRM",
AR,ResultType,IRM_SETS,,"Send both, Sets and IRM",
AR,ResultType,POINTS,,Points,
AR,ResultType,SETS,,Sets,
AR,WLT,L,,Lost,
AR,WLT,W,,Won,
AT,IRM,DNF,,Did not finish,
AT,IRM,DNS,,Did not start,
AT,IRM,DQ,,Disqualified,
AT,IRM,NM,,No mark,
AT,QualificationMark,q,,q: Qualified by time(track and relays) or rank (field events),It is only used in DT_PHASE_RESULT message
AT,QualificationMark,Q,,Q: Qualified by Place (track) or Standard (field),
AT,ResultType,DISTANCE,,Performance in meters with 2 decimals,
AT,ResultType,IRM,,Invalid Result Mark,
AT,ResultType,TIME,,Time,
AT,UnitCategory,A,,Races (track and road) and relays,
AT,UnitCategory,B,,Throws,
AT,UnitCategory,C,,Horizontal jumps,
AT,UnitCategory,D,,Vertical jumps,
BO,Bracket,BRN,,Bronze,
BO,Bracket,FNL,,Finals,
BO,BracketItems,FNL,,Finals,
BO,BracketItems,QFL,,Quarterfinals,
BO,BracketItems,SFL,,Semifinals,
BO,IRM,DSQ,,Disqualified,
BO,Period,E1,1,End 1,
BO,Period,E2,2,End 2,
BO,Period,E3,3,End 3,
BO,Period,E4,4,End 4,
BO,Period,E5,5,End 5,Only for Teams event
BO,Period,E6,6,End 6,Only for Teams event
BO,Period,TB,7,Tie-break,
BO,Period,TOT,8,Total,
BO,ResultType,IRM_POINTS,,"For both, Points and Invalid Result Mark",
BO,ResultType,POINTS,,Points,
BO,WLT,L,,Lost,
BO,WLT,W,,Won,
CF,IRM,DNF,,Did not finish,
CF,IRM,DNS,,Did not start,
CF,IRM,DSQ,,Disqualified,
CF,QualificationMark,FA,,Qualified for Final,
CF,QualificationMark,SF,,Qualified for Semifinal,
CF,QualificationMark,X,,Eliminated,
CF,ResultType,IRM,,Invalid Result Mark,
CF,ResultType,TIME,,Time,
CR,CompetitorStatus,FINISHED,,Finished,
CR,CompetitorStatus,NOT_STARTED,,Not Started,
CR,CompetitorStatus,STARTED,,Started,
CR,IRM,DNF,,Did not finish,
CR,IRM,DNS,,Did not start,
CR,IRM,DSQ,,Disqualified,
CR,IRM,OTL,,Over Time Limit,"Road Race only. Riders who have completed the race, but are outside of the time limit, should be presented with their actual time rather than the time limit."
CR,ResultType,IRM,,Invalid Result Mark,
