Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
AR,0,000,0,00,N,0,Archery,Tiro com arco,Archery,Tiro com arco,Discipline,2,NONE,N,N,"",""
AR,0,000,N,00,N,0,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, sorteio",Draw,18,NONE,N,N,"",""
AR,0,000,N,01,Y,0,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, sorteio",Draw,18,NONE,N,Y,"",""
AR,0,000,Q,00,N,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Meetings,19,NONE,N,N,"",""
AR,0,000,Q,01,Y,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Meetings,19,NONE,N,Y,"",""
AR,0,000,Y,00,N,0,Archery Daily Schedule,"Tiro com arco, programação diária",Archery Daily Schedule,"Tiro com arco, programação diária",Day,4,NONE,N,N,"",""
AR,0,000,Y,01,N,0,Archery Day 1,"Tiro com arco, dia 1",Archery Day 1,"Tiro com arco, dia 1",Day,4,NONE,N,N,"",""
AR,0,000,Y,02,N,0,Archery Day 2,"Tiro com arco, dia 2",Archery Day 2,"Tiro com arco, dia 2",Day,4,NONE,N,N,"",""
AR,0,000,Y,03,N,0,Archery Day 3,"Tiro com arco, dia 3",Archery Day 3,"Tiro com arco, dia 3",Day,4,NONE,N,N,"",""
AR,0,000,Y,04,N,0,Archery Day 4,"Tiro com arco, dia 4",Archery Day 4,"Tiro com arco, dia 4",Day,4,NONE,N,N,"",""
AR,0,000,Y,05,N,0,Archery Day 5,"Tiro com arco, dia 5",Archery Day 5,"Tiro com arco, dia 5",Day,4,NONE,N,N,"",""
AR,0,000,Y,06,N,0,Archery Day 6,"Tiro com arco, dia 6",Archery Day 6,"Tiro com arco, dia 6",Day,4,NONE,N,N,"",""
AR,0,000,Y,07,N,0,Archery Day 7,"Tiro com arco, dia 7",Archery Day 7,"Tiro com arco, dia 7",Day,4,NONE,N,N,"",""
AR,0,000,Y,08,N,0,Archery Day 8,"Tiro com arco, dia 8",Archery Day 8,"Tiro com arco, dia 8",Day,4,NONE,N,N,"",""
AR,0,000,Y,09,N,0,Archery Day 9,"Tiro com arco, dia 9",Archery Day 9,"Tiro com arco, dia 9",Day,4,NONE,N,N,"",""
AR,0,000,Y,10,N,0,Archery Day 10,"Tiro com arco, dia 10",Archery Day 10,"Tiro com arco, dia 10",Day,4,NONE,N,N,"",""
AR,0,000,Y,11,N,0,Archery Day 11,"Tiro com arco, dia 11",Archery Day 11,"Tiro com arco, dia 11",Day,4,NONE,N,N,"",""
AR,0,000,Y,12,N,0,Archery Day 12,"Tiro com arco, dia 12",Archery Day 12,"Tiro com arco, dia 12",Day,4,NONE,N,N,"",""
AR,0,000,Y,13,N,0,Archery Day 13,"Tiro com arco, dia 13",Archery Day 13,"Tiro com arco, dia 13",Day,4,NONE,N,N,"",""
AR,0,000,Y,14,N,0,Archery Day 14,"Tiro com arco, dia 14",Archery Day 14,"Tiro com arco, dia 14",Day,4,NONE,N,N,"",""
AR,0,000,Y,15,N,0,Archery Day 15,"Tiro com arco, dia 15",Archery Day 15,"Tiro com arco, dia 15",Day,4,NONE,N,N,"",""
AR,0,000,Y,16,N,0,Archery Day 16,"Tiro com arco, dia 16",Archery Day 16,"Tiro com arco, dia 16",Day,4,NONE,N,N,"",""
AR,0,000,Y,17,N,0,Archery Day 17,"Tiro com arco, dia 17",Archery Day 17,"Tiro com arco, dia 17",Day,4,NONE,N,N,"",""
AR,0,000,Y,18,N,0,Archery Day 18,"Tiro com arco, dia 18",Archery Day 18,"Tiro com arco, dia 18",Day,4,NONE,N,N,"",""
AR,0,000,Y,19,N,0,Archery Day 19,"Tiro com arco, dia 19",Archery Day 19,"Tiro com arco, dia 19",Day,4,NONE,N,N,"",""
AR,0,000,Y,20,N,0,Archery Day 20,"Tiro com arco, dia 20",Archery Day 20,"Tiro com arco, dia 20",Day,4,NONE,N,N,"",""
AR,0,000,Y,21,N,0,Archery Day 21,"Tiro com arco, dia 21",Archery Day 21,"Tiro com arco, dia 21",Day,4,NONE,N,N,"",""
AR,0,000,Y,22,N,0,Archery Day 22,"Tiro com arco, dia 22",Archery Day 22,"Tiro com arco, dia 22",Day,4,NONE,N,N,"",""
AR,0,000,Y,23,N,0,Archery Day 23,"Tiro com arco, dia 23",Archery Day 23,"Tiro com arco, dia 23",Day,4,NONE,N,N,"",""
AR,0,000,Y,24,N,0,Archery Day 24,"Tiro com arco, dia 24",Archery Day 24,"Tiro com arco, dia 24",Day,4,NONE,N,N,"",""
AR,0,000,Y,25,N,0,Archery Day 25,"Tiro com arco, dia 25",Archery Day 25,"Tiro com arco, dia 25",Day,4,NONE,N,N,"",""
