Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
A01,OLS,1,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A02,OLS,2,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A03,OLS,3,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A04,OLS,4,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A05,OLS,5,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A06,OLS,6,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A07,OLS,7,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A08,OLS,8,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A09,OLS,9,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A10,OLS,10,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A11,OLS,11,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A12,OLS,12,Y,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,Olympic Stadium,Estádio Olímpico,Estadio Olímpico,OLSAT1
A13,FTC,13,Y,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,Fuerte de Copacabana - Maratón,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,Fuerte de Copacabana - Maratón,FTCAT1
A20,OLS,,N,Olympic Stadium Warm-Up Track,Olympic Stadium Warm-Up Track,Olympic Stadium Warm-Up Track,Olympic Stadium Warm - Up Track,Olympic Stadium Warm - Up Track,Olympic Stadium Warm - Up Track,
A21,AFU,,N,Air Force Univ. -Track & Jumps,Air Force Univ. -Track & Jumps,Air Force Univ. -Track & Jumps,Air Force University - Track & Jumps,Air Force University - Track & Jumps,Air Force University - Track & Jumps,
A22,AFU,,N,Air Force Univ. - Throws,Air Force Univ. - Throws,Air Force Univ. - Throws,Air Force University - Throws,Air Force University - Throws,Air Force University - Throws,
A23,AFU,,N,Air Force Univ. - Marathon,Air Force Univ. - Marathon,Air Force Univ. - Marathon,Air Force University - Marathon,Air Force University - Marathon,Air Force University - Marathon,
A24,AFU,,N,Air Force Univ. - Race Walk,Air Force Univ. - Race Walk,Air Force Univ. - Race Walk,Air Force University - Race Walk,Air Force University - Race Walk,Air Force University - Race Walk,
A25,AFC,,N,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,
