Id,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription
AR,Archery,Tiro com Arco,Tiro con arco,Archery,Tiro com Arco,Tiro con arco
AT,Athletics,Atletismo,Atletismo,Athletics,Atletismo,Atletismo
BO,Boccia,Bocha,Bocha,Boccia,Bocha,Bocha
CF,Canoe Sprint,Canoagem Velocidade,Canotaje de velocidad,Canoe Sprint,Canoagem Velocidade,Canotaje de velocidad
CR,Cycling Road,Ciclismo de Estrada,Ciclismo de ruta,Cycling Road,Ciclismo de Estrada,Ciclismo de ruta
CT,Cycling Track,Ciclismo de Pista,Ciclismo de pista,Cycling Track,Ciclismo de Pista,Ciclismo de pista
EQ,Equestrian,Hipismo,Ecuestre,Equestrian,Hipismo,Ecuestre
FB,Football 5-a-side,Futebol de 5,Fútbol a 5,Football 5-a-side,Futebol de 5,Fútbol a 5
FT,Football 7-a-side,Futebol de 7,Fútbol a 7,Football 7-a-side,Futebol de 7,Fútbol a 7
GB,Goalball,Goalball,Goalball,Goalball,Goalball,Goalball
GL,General,Geral,General,General,Geral,General
JU,Judo,Judô,Judo,Judo,Judô,Judo
PO,Powerlifting,Halterofilismo,Levantamiento de pesas,Powerlifting,Halterofilismo,Levantamiento de pesas
RO,Rowing,Remo,Remo,Rowing,Remo,Remo
SA,Sailing,Vela,Vela,Sailing,Vela,Vela
SH,Shooting,Tiro Esportivo,Tiro,Shooting,Tiro Esportivo,Tiro
SW,Swimming,Natação,Natación,Swimming,Natação,Natación
TR,Triathlon,Triatlo,Triatlón,Triathlon,Triatlo,Triatlón
TT,Table Tennis,Tênis de Mesa,Tenis de mesa,Table Tennis,Tênis de Mesa,Tenis de mesa
VS,Sitting Volleyball,Voleibol Sentado,Voleibol sentado,Sitting Volleyball,Voleibol Sentado,Voleibol sentado
WB,Wheelchair Basketball,Basquetebol Cadeira de Rodas,Baloncesto en silla de ruedas,Wheelchair Basketball,Basquetebol em Cadeira de Rodas,Baloncesto en silla de ruedas
WF,Wheelchair Fencing,Esgrima em Cadeira de Rodas,Esgrima en silla de ruedas,Wheelchair Fencing,Esgrima em Cadeira de Rodas,Esgrima en silla de ruedas
WR,Wheelchair Rugby,Rugby em Cadeira de Rodas,Rugby en silla de ruedas,Wheelchair Rugby,Rugby em Cadeira de Rodas,Rugby en silla de ruedas
WT,Wheelchair Tennis,Tênis em Cadeira de Rodas,Tenis en silla de ruedas,Wheelchair Tennis,Tênis em Cadeira de Rodas,Tenis en silla de ruedas
