Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
AR,0,000,0,8,Archery,Tiro com arco,Tiro con arco,Archery,Tiro com arco,Tiro con arco,,,
AR,0,000,N,7,Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",Archery Draw,"Tiro com arco, sorteio","Tiro con arco, sorteo",,,
AR,0,000,Q,4,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Tiro con arco - reunión cap. de equipo,Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Tiro con arco - reunión capitanes de equipo,,,
AR,0,000,Y,8,Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",Archery Daily Schedule,"Tiro com arco, programação diária","Tiro con arco, programa diario",,,
AR,0,070,Z,8,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,,,
AR,0,470,Z,8,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,Archery - Sessions,"Tiro com arco, sessões",Tiro con arco - Sesiones,,,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,,
AR,M,000,0,8,Men's Archery,Tiro com arco masculino ,Tiro con arco masculino,Men's Archery,Tiro com arco masculino ,"Tiro con arco, masculino",,,
AR,M,071,0,8,Men's Individual - W1,Masculino - W1,Individual masculino - W1,Men's Individual - W1,Masculino - W1,Individual masculino - W1,,,
AR,M,071,1,3,Men's Individual - W1 Finals,"Masculino - W1, finais","Individual masculino - W1, finales",Men's Individual - W1 Finals,"Masculino - W1, finais","Individual masculino - W1, finales",Finals,Finais,Finales
AR,M,071,2,3,Men's Individual - W1 SF,"Masculino - W1, semifinais","Individual masculino - W1, semifinales",Men's Individual - W1 Semifinals,"Masculino - W1, semifinais","Individual masculino - W1, semifinales",Semifinals,Semifinais,Semifinales
AR,M,071,3,3,Men's Individual - W1 QF,"Masculino - W1, 1/4 final","Individual masculino - W1, 1/4 de final",Men's Individual - W1 Quarterfinals,"Masculino - W1, quartas de final","Individual masculino - W1, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,071,4,3,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final","Individual masculino - W1, 1/8 de final",Men's Individual - W1 1/8 Eliminations,"Masculino - W1, oitavas de final","Individual masculino - W1, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,071,5,3,Men's Individual - W1 1/16,"Masculino - W1, 1a fase","Individual masculino - W1, 1/16 de final",Men's Individual - W1 1/16 Eliminations,"Masculino - W1, primeira fase","Individual masculino - W1, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,071,9,3,Men's Individual - W1 RR,"Masculino - W1, classif","Individual masculino - W1, clasificación",Men's Individual - W1 Ranking Round,"Masculino - W1, classificatório","Individual masculino - W1,clasificación",Ranking Round,Classificatório,Clasificación
AR,M,071,M,6,Men's Individual - W1 VC,"Masculino - W1, premiação","Individual masculino - W1, cer. medallas",Men's Individual - W1 Victory Ceremony,"Masculino - W1, cerimônia de premiação","Individual masculino - W1, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,M,072,0,8,Men's Ind. Compound - Open,Arco composto masculino - aberto,Compuesto individual masculino - abierto,Men's Individual Compound - Open,Arco composto masculino - aberto,Compuesto individual masculino - abierto,"","",
AR,M,072,1,3,Men's Ind. Compound - Open Finals,"Arco composto masc - aberto, finais","Compuesto ind. masc - abierto, finales",Men's Individual Compound - Open Finals,"Arco composto masculino - aberto, finais","Compuesto individual masculino - abierto, finales",Finals,Finais,Finales
AR,M,072,2,3,Men's Ind. Compound - Open Semifinals,"Arco composto masc - aberto, semifinais","Compuesto ind. masc-abierto, semifinales",Men's Individual Compound - Open Semifinals,"Arco composto masculino - aberto, semifinais","Compuesto individual masculino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,M,072,3,3,Men's Ind. Compound - Open Quarterfinals,"Arco composto masc - aberto, 1/4 final","Compuesto ind. masc - abierto, 1/4 final",Men's Individual Compound - Open Quarterfinals,"Arco composto masculino - aberto, quartas de final","Compuesto individual masculino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,072,4,3,Men's Ind. Compound - Open 1/8 Elimin.,"Arco composto masc - aberto, 1/8 final","Compuesto ind. masc - abierto, 1/8 final",Men's Individual Compound - Open 1/8 Eliminations,"Arco composto masculino - aberto, oitavas de final","Compuesto individual masculino - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,072,5,3,Men's Ind. Compound - Open 1/16 Elimin.,"Arco composto masc - aberto, 1a fase","Compuesto ind. masc-abierto, 1/16 final",Men's Individual Compound - Open 1/16 Eliminations,"Arco composto masculino - aberto, primeira fase","Compuesto individual masculino - abierto, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,072,9,3,Men's Ind. Compound - Open Ranking Round,"Arco composto masc - aberto, classif","Compuesto ind. masc - abierto, clasif.",Men's Individual Compound - Open Ranking Round,"Arco composto masculino - aberto, classificatório","Compuesto individual masculino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,M,072,M,6,Men's Ind. Compound - Open VC,"Arco composto masc - aberto, premiação","Compuesto ind masc-abierto, cer medallas",Men's Individual Compound - Open Victory Ceremony,"Arco composto masculino - aberto, cerimônia de premiação","Compuesto individual masculino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,M,073,0,8,Men's Ind. Recurve - Open,Arco recurvo masculino - aberto,Recurvo individual masculino - abierto,Men's Individual Recurve - Open,Arco recurvo masculino - aberto,Recurvo individual masculino - abierto,"","",
AR,M,073,1,3,Men's Ind. Recurve - Open Finals,"Arco recurvo masc - aberto, finais","Recurvo ind. masc - abierto, finales",Men's Individual Recurve - Open Finals,"Arco recurvo masculino - aberto, finais","Recurvo individual masculino - abierto, finales",Finals,Finais,Finales
AR,M,073,2,3,Men's Ind. Recurve - Open Semifinals,"Arco recurvo masc - aberto, semifinais","Recurvo ind. masc - abierto, semifinales",Men's Individual Recurve - Open Semifinals,"Arco recurvo masculino - aberto, semifinais","Recurvo individual masculino - abierto, semifinales",Semifinals,Semifinais,Semifinales
AR,M,073,3,3,Men's Ind. Recurve - Open Quarterfinals,"Arco recurvo masc - aberto, 1/4 final","Recurvo ind. masc - abierto, 1/4 final",Men's Individual Recurve - Open Quarterfinals,"Arco recurvo masculino - aberto, quartas de final","Recurvo individual masculino - abierto, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,M,073,4,3,Men's Ind. Recurve - Open 1/8 Elimin.,"Arco recurvo masc - aberto, 1/8 final","Recurvo ind. masc - abierto, 1/8 final",Men's Individual Recurve - Open 1/8 Eliminations,"Arco recurvo masculino - aberto, oitavas de final","Recurvo individual masculino - abierto, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,M,073,5,3,Men's Ind. Recurve - Open 1/16 Elimin.,"Arco recurvo masc - aberto, 1a fase","Recurvo ind. masc - abierto, 1/16 final",Men's Individual Recurve - Open 1/16 Eliminations,"Arco recurvo masculino - aberto, primeira fase","Recurvo individual masculino - abierto, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
AR,M,073,9,3,Men's Ind. Recurve - Open Ranking Round,"Arco recurvo masc - aberto, classif","Recurvo ind. masc - abierto, clasif.",Men's Individual Recurve - Open Ranking Round,"Arco recurvo masculino - aberto, classificatório","Recurvo individual masculino - abierto, clasificación",Ranking Round,Classificatório,Clasificación
AR,M,073,M,6,Men's Ind. Recurve - Open VC,"Arco recurvo masc - aberto, premiação","Recurvo ind masc - abierto, cer medallas",Men's Individual Recurve - Open Victory Ceremony,"Arco recurvo masculino - aberto, cerimônia de premiação","Recurvo individual masculino - abierto, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
AR,W,000,0,8,Women's Archery,Tiro com arco feminino,Tiro con arco femenino,Women's Archery,Tiro com arco feminino,Tiro con arco femenino,"","",
AR,W,071,0,8,Women's Individual - W1,Feminino - W1,Individual femenino - W1,Women's Individual - W1,Feminino - W1,Individual femenino - W1,"","",
AR,W,071,1,3,Women's Individual - W1 Fnals,"Feminino - W1, finais","Individual femenino - W1, finales",Women's Individual - W1 Finals,"Feminino - W1, finais","Individual femenino - W1, finales",Finals,Finais,Finales
AR,W,071,2,3,Women's Individual - W1 SF,"Feminino - W1, semifinais","Individual femenino - W1, semifinales",Women's Individual - W1 Semifinals,"Feminino - W1, semifinais","Individual femenino - W1, semifinales",Semifinals,Semifinais,Semifinales
AR,W,071,3,3,Women's Individual - W1 QF,"Feminino - W1, 1/4 final","Individual femenino - W1, 1/4 de final",Women's Individual - W1 Quarterfinals,"Feminino - W1, quartas de final","Individual femenino - W1, cuartos de final",Quarterfinals,Quartas de final,Cuartos de final
AR,W,071,4,3,Women's Individual - W1 1/8,"Feminino - W1, 1/8 final","Individual femenino - W1, 1/8 de final",Women's Individual - W1 1/8 Eliminations,"Feminino - W1, oitavas de final","Individual femenino - W1, octavos de final",1/8 Eliminations,Oitavas de final,Octavos de final
AR,W,071,5,3,Women's Individual - W1 1/16,"Feminino - W1, 1a fase","Individual femenino - W1, 1/16 de final",Women's Individual - W1 1/16 Eliminations,"Feminino - W1, primeira fase","Individual femenino - W1, 1/16 de final",1/16 Eliminations,Primeira fase,1/16 de final
