Id,Related Event,order,ENG Description,POR Description,SPA Description
ARM0710000,ARM071,1,M Recurve/Comp. W1 - 72 Arrw. Rkg. Rnd.,Arco composto masculino - W1,"Recurvo/Comp masc W1-72 flechas, clasif"
ARM0710001,ARM071,2,M Recurve/Compound W1 - 15 Arrows Match,Arco composto masculino - W1,Recurvo/Comp masc W1 - 15 flechas
ARM0720000,ARM072,3,M Compound Open - 72 Arrw. Rkg. Rnd.,Arco composto masculino - aberto,"Compuesto masc abierto-72 flechas,clasif"
ARM0720001,ARM072,4,M Compound Open - 15 Arrows Match,Arco composto masculino - aberto,Compuesto masc abierto - 15 flechas
ARM0730000,ARM073,5,M Recurve Open - 72 Arrw. Rkg. Rnd.,Arco recurvo masculino - aberto,"Recurvo masc abierto-72 flechas, clasif"
ARW0710000,ARW071,6,W Recurve/Compound W1-72 Arrw. Rkg. Rnd.,Arco composto feminino - W1,"Recurvo/Comp fem W1 - 72 flechas, clasif"
ARW0710001,ARW071,7,W Recurve/Compound W1 - 15 Arrows Match,Arco composto feminino - W1,Recurvo/Comp fem W1 - 15 flechas
ARW0720000,ARW072,8,W Compound Open - 72 Arrw. Rkg. Rnd.,Arco composto feminino - aberto,"Compuesto fem abierto-72 flechas, clasif"
ARW0720001,ARW072,9,W Compound Open - 15 Arrows Match,Arco composto feminino - aberto,Compuesto fem abierto - 15 flechas
ARW0730000,ARW073,10,W Recurve Open - 72 Arrw. Rkg. Rnd.,Arco recurvo feminino - aberto,"Recurvo fem abierto - 72 flechas, clasif"
ARX4710005,ARX471,11,X Team W1 Rec./Comp.-144 Arrw. Rkg. Rnd.,Arco Recurvo/Composto W1 times mistos,"Rec/Comp eq. mix W1-144 flechas, clasif"
ARX4710006,ARX471,12,X Team W1 Recurve/Comp.-16 Arrw. Match,Times mistos recurvo/comp W1 16 flechas,"Rec/Comp eq. mix W1-16 flechas, clasif"
ARX4720005,ARX472,13,X Team Compound Open-144 Arrw. Rkg. Rnd.,Arco Composto Aberto times mistos,"Compuesto eq. mix W1-144 flechas, clasif"
ARX4720006,ARX472,14,X Team Compound Open - 16 Arrw. Match,Times mistos composto aberto 16 flechas,Compuesto eq. mix abierto - 16 flechas
