Discipline,recordgroup,recordtype,ENG Description,POR Description,SPA Description,Order
AR,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,2
AR,WR,WR,World Record,Recorde mundial,Récord mundial,1
AT,AF,AF,African Record,Recorde africano,Récord africano,3
AT,AM,AM,American Record,Recorde americano,Récord de américa,6
AT,AS,AS,Asian Record,Recorde asiático,Récord asiático,4
AT,ER,ER,European Record,Recorde europeu,Récord europeo,5
AT,OC,OC,Oceania Record,Recorde da Oceania,Récord de Oceanía,7
AT,PB,PB,Personal Best,Melhor marca pessoal,Mejor marca personal,9
AT,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,2
AT,RR,RR,Regional Record,Recorde regional,Récord regional,8
AT,SB,SB,Seasonal Best,Melhor marca da temporada,Mejor marca de la temporada,10
AT,WR,WR,World Record,Recorde mundial,Récord mundial,1
CF,PB,PB,Paralympic Best,Melhor marca Paralímpica,Mejor marca Paralímpica,1
CT,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,2
CT,WR,WR,World Record,Recorde mundial,Récord mundial,1
PO,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,2
PO,WR,WR,World Record,Recorde mundial,Récord mundial,1
RO,PB,PB,Paralympic Best,Melhor marca Paralímpica,Mejor marca Paralímpica,2
RO,WB,WB,World Best,Melhor marca mundial,Mejor marca mundial,1
SH,FPR,EFPR,Equalled Final Paralympic Record,Recorde da final Paralímpica igualado,Récord Paralímpico de la final igualado,8
SH,FPR,FPR,Final Paralympic Record,Recorde da final Paralímpica,Récord Paralímpico de la final,7
SH,FWR,EFWR,Equalled Final World Record,Recorde da final mundial igualado,Récord mundial de la final igualado,4
SH,FWR,FWR,Final World Record,Recorde da final mundial,Récord mundial de la final,3
SH,PR,EPR,Equalled Paralympic Record,Recorde Paralímpico igualado,Récord Paralímpico igualado,6
SH,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,5
SH,WR,EWR,Equalled World Record,Recorde mundial igualado,Récord mundial igualado,2
SH,WR,WR,World Record,Recorde mundial,Récord mundial,1
SW,AF,AF,African Record,Recorde africano,Récord africano,3
SW,ALL,ALL,All Time Best Performers (Top 10),Melhores performances de todos os tempos,Mejores desempeños todos tiempos(Top 10),8
SW,AM,AM,Americas Record,Recorde das Américas,Récord de américa,4
SW,AS,AS,Asian Record,Recorde asiático,Récord asiático,5
SW,ER,ER,European Record,Recorde europeu,Récord europeo,6
SW,OC,OC,Oceania Record,Recorde da Oceania,Récord de Oceanía,7
SW,P,P,Paralympic record intermediate distance,RP de distância intermediária,RP de distancia intermediaria,12
SW,PR,PR,Paralympic Record,Recorde Paralímpico,Récord Paralímpico,2
SW,SBP,SBP,2016 Best Performers (Top 10),Melhores performances de 2016,Mejores desempeños 2016 (Top 10),9
SW,W,W,World record at intermediate distance,RM de distância intermediária,RM de distancia intermediaria,11
SW,WR,WR,World Record,Recorde mundial,Récord mundial,1
SW,WRC,WRC,World Record Chronology (Last 10 WR),Cronologia recordes mundiais (ultima 10),Cronología récords mundiales-10 últimos,10
