Id,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,IndoorOutdoor,Cluster,City
AB3,N,Army Barracks 3,Casernes,31º GAC,Cuarteles Militares 3,Army Barracks 3,Casernes,31º GAC,Cuarteles Militares 3,,DEO,Rio de Janeiro
ACS,N,Anacleto Campanella Stad,Stade Anacleto Campanella,Anacleto Campanella Stad,Anacleto Campanella Stad,Anacleto Campanella Stadium,Stade Anacleto Campanella,Anacleto Campanella Stadium,Anacleto Campanella Stadium,,,
AFC,N,Air Force Club,Club aéronautique,Clube de Aeronáutica,Club de Aeronáutica,Air Force Club,Club aéronautique,Clube de Aeronáutica,Club de Aeronáutica,,BAT,Rio de Janeiro
AFU,N,Air Force University,Univ. de l'armée de l'air,Universid. da Força Aérea,Universidad Fuerza Aérea,Air Force University (UNIFA),Université de l'armée de l'air (UNIFA),Universidade da Força Aérea(UNIFA),Universidad de la Fuerza Aérea (UNIFA),,DEO,Rio de Janeiro
AMC,N,Alt Main Operation Centre,2e Ctre princ. opérations,Ctr Principal de Ops Alt,Ctro Principal de Op. Alt,Alternative Main Operation Centre,2e Centre principal des opérations,Centro Principal de Operações Alternativo,Centro Principal de Operaciones Alternativo,,DEO,Rio de Janeiro
AMZ,Y,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Arena da Amazônia,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Arena da Amazônia,O,FBC,Manaus
AQC,Y,Maria Lenk Aquatics Ctr,Ctre Aquatique Maria Lenk,Ctr Aquático Maria Lenk,Ctro Acuático Maria Lenk,Maria Lenk Aquatics Centre,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,O,BAT,Rio de Janeiro
BAS,N,Barradão Stadium,Stade Barradão (Salvador),Estádio Barradão,Estadio Barradão,Barradão Stadium (Salvador),Stade Barradão (Salvador),Estádio Barradão (Salvador),Estadio Barradão,,FBC,Salvador
BDS,N,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,,,
BMX,Y,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,O,DEO,Rio de Janeiro
BSB,N,Brasília Intl Airport,Aéroport inter. Brasília,Aeroporto Int de Brasília,Aeropuerto Int. Brasília,Brasília International Airport,Aéroport international de Brasília,Aeroporto Internacional de Brasília,Aeropuerto Internacional de Brasília,,FBC,Brasília
BV1,N,Barra ACM Village 1,Village de Barra 1,Vila de ACM da Barra 1,Villa de Acom. Barra 1,Barra Accommodation Village 1,Village de Barra 1,Vila de Acomodações da Barra 1,Villa de Acomodaciones de Barra 1,,BAT,Rio de Janeiro
BV2,N,Barra ACM Village 2,Village de Barra 2,Vila de ACM da Barra 2,Villa de Acom. Barra 2,Barra Accommodation Village 2,Village de Barra 2,Vila de Acomodações da Barra 2,Villa de Acomodaciones de Barra 2,,BAT,Rio de Janeiro
BV3,N,Barra ACM Village 3,Village de Barra 3,Vila de ACM da Barra 3,Villa de Acom. Barra 3,Barra Accommodation Village 3,Village de Barra 3,Vila de Acomodações da Barra 3,Villa de Acomodaciones de Barra 3,,BAT,Rio de Janeiro
BVA,Y,Beach Volleyball Arena,Stade volleyball de plage,Arena de Vôlei de Praia,Arena de Vóley-Playa,Beach Volleyball Arena,Stade de volleyball de plage,Arena de Vôlei de Praia,Arena de Vóley-Playa,O,COP,Rio de Janeiro
BVO,N,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,,,
BZS,N,Bezerrão Stadium,Stade Bezerrão (Brasília),Estádio Bezerrão,Estadio Bezerrão,Bezerrão Stadium (Brasília),Stade Bezerrão (Brasília),Estádio Bezerrão (Brasília),Estadio Bezerrão (Brasília),,FBC,Brasília
CA1,Y,Carioca Arena 1,Halle Carioca 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Halle Carioca 1,Arena Carioca 1,Arena Carioca 1,I,BAT,Rio de Janeiro
CA2,Y,Carioca Arena 2,Halle Carioca 2,Arena Carioca 2,Arena Carioca 2,Carioca Arena 2,Halle Carioca 2,Arena Carioca 2,Arena Carioca 2,I,BAT,Rio de Janeiro
CA3,Y,Carioca Arena 3,Halle Carioca 3,Arena Carioca 3,Arena Carioca 3,Carioca Arena 3,Halle Carioca 3,Arena Carioca 3,Arena Carioca 3,I,BAT,Rio de Janeiro
CAS,N,Cidade das Artes,Cité des Arts,Cidade das Artes,Ciudad de las Artes,Cidade das Artes,Cité des Arts,Cidade das Artes,Ciudad de las Artes,,BAT,Rio de Janeiro
CFZ,N,Zico Football Trn Site,Site d'entrainement Zico,Zico Football Trn Site,Zico Football Trn Site,Zico Football Training Site,Site d'entrainement Zico Football,Zico Football Training Site,Zico Football Training Site,,,
CIG,N,Gericinó Instruction Camp,Camp d'entr. Gericinó,Campo Instrução Gericinó,Campo de Instr. Gericinó,Gericinó Instruction Camp Headquarter,Camp d'entraînement militaire de Gericinó,Sede do Campo de Instrução de Gericinó,Sede del Campo de Instrucción de Gericinó,,DEO,Rio de Janeiro
CLS,N,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,,,
CNF,N,Confins Intl Airport,Aéroport inter. Confins,Aeroporto Intl de Confins,Aeropuerto Int. Confins,Confins International Airport,Aéroport international de Confins,Aeroporto Internacional de Confins,Aeropuerto Internacional de Confins,,FBC,Confins
COR,N,Rio Operational Centre,Centre opera. de la ville,Centro De Operações Rio,Centro de Operaciones Río,Rio Operational Centre,Centre des operations de la ville,Centro De Operações Rio,Centro de Operaciones de Río,I,BAT,Rio de Janeiro
CRS,N,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,,,
DAQ,Y,Deodoro Aquatics Centre,Centre aquatique Deodoro,Centro Aquático Deodoro,Centro Acuático Deodoro,Deodoro Aquatics Centre,Centre aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,,DEO,Rio de Janeiro
DAV,N,Deodoro ACM Village,Village de Deodoro,Vila de ACM de Deodoro,Villa de Acom. Deodoro,Deodoro Accommodation Village,Village de Deodoro,Vila de Acomodações de Deodoro,Villa de Acomodaciones de Deodoro,,DEO,Rio de Janeiro
DCD,N,Deodoro Common Domain,Zone publique de Deodoro,Área Comum de Deodoro,Espacio Común de Deodoro,Deodoro Common Domain,Zone publique de Deodoro,Área Comum de Deodoro,Espacio Común de Deodoro,,DEO,Rio de Janeiro
DES,Y,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,,DEO,Rio de Janeiro
DF3,N,Abadiao Stadium,Stade Abadiao,Abadiao Stadium,Abadiao Stadium,Abadiao Stadium,Stade Abadiao,Abadiao Stadium,Abadiao Stadium,,,
DUD,N,Deodoro Urban Domain,Zone Urbaine de Deodoro,Área Urbana de Deodoro,Espacio Urbano de Deodoro,Deodoro Urban Domain,Zone Urbaine de Deodoro,Área Urbana de Deodoro,Espacio Urbano de Deodoro,,DEO,Rio de Janeiro
EQC,Y,Olympic Equestrian Centre,Ctre Olympique Équitation,Ctr. Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,O,DEO,Rio de Janeiro
