Version,DateVersion
16.2,2016-08-11T00:00:00+00:00
16.1,2016-07-22T00:00:00+00:00
16.0,2016-07-11T00:00:00+00:00
15.0,2016-06-30T00:00:00+00:00
14.0,2016-06-01T00:00:00+00:00
13.0,2016-05-05T00:00:00+00:00
12.1,2016-03-29T00:00:00+00:00
12.0,2016-03-24T00:00:00+00:00
11.0,2015-12-18T00:00:00+00:00
10.0,2015-11-05T00:00:00+00:00
9.0,2015-08-06T00:00:00+00:00
8.0,2015-05-04T00:00:00+00:00
7.0,2015-02-27T00:00:00+00:00
6.0,2015-02-12T00:00:00+00:00
5.0,2014-12-19T00:00:00+00:00
4.0,2014-10-31T00:00:00+00:00
3.0,2014-08-01T00:00:00+00:00
2.0,2014-05-30T00:00:00+00:00
1.0,2014-03-28T00:00:00+00:00
