Id,Discipline,ENG Description,POR Description
ARST,AR,Standing,Em pé
ARW1,AR,W1,W1
ARW2,AR,W2,W2
ATF11,AT,F11,F11
ATF12,AT,F12,F12
ATF13,AT,F13,F13
ATF20,AT,F20,F20
ATF31,AT,F31,F31
ATF32,AT,F32,F32
ATF33,AT,F33,F33
ATF34,AT,F34,F34
ATF35,AT,F35,F35
ATF36,AT,F36,F36
ATF37,AT,F37,F37
ATF38,AT,F38,F38
ATF40,AT,F40,F40
ATF42,AT,F42,F42
ATF43,AT,F43,F43
ATF44,AT,F44,F44
ATF45,AT,F45,F45
ATF46,AT,F46,F46
ATF51,AT,F51,F51
ATF52,AT,F52,F52
ATF53,AT,F53,F53
ATF54,AT,F54,F54
ATF55,AT,F55,F55
ATF56,AT,F56,F56
ATF57,AT,F57,F57
ATF58,AT,F58,F58
ATGUI,AT,Guide,Guia
ATP11,AT,P11,P11
ATP12,AT,P12,P12
ATP13,AT,P13,P13
ATP42,AT,P42,P42
ATP43,AT,P43,P43
ATP44,AT,P44,P44
ATP51,AT,P51,P51
ATP52,AT,P52,P52
ATP53,AT,P53,P53
ATP54,AT,P54,P54
ATP55,AT,P55,P55
ATP56,AT,P56,P56
ATP57,AT,P57,P57
ATP58,AT,P58,P58
ATT11,AT,T11,T11
ATT12,AT,T12,T12
ATT13,AT,T13,T13
ATT20,AT,T20,T20
ATT31,AT,T31,T31
ATT32,AT,T32,T32
ATT33,AT,T33,T33
ATT34,AT,T34,T34
ATT35,AT,T35,T35
ATT36,AT,T36,T36
ATT37,AT,T37,T37
ATT38,AT,T38,T38
ATT42,AT,T42,T42
ATT43,AT,T43,T43
ATT44,AT,T44,T44
ATT45,AT,T45,T45
ATT46,AT,T46,T46
ATT51,AT,T51,T51
ATT52,AT,T52,T52
ATT53,AT,T53,T53
ATT54,AT,T54,T54
BOBC1,BO,BC1,BC1
BOBC2,BO,BC2,BC2
BOBC3,BO,BC3,BC3
BOBC4,BO,BC4,BC4
CFA,CF,A,A
CFLTA,CF,LTA,LTA
CFTA,CF,TA,TA
CRB,CR,B,B
CRB1,CR,B1,B1
CRB2,CR,B2,B2
CRB3,CR,B3,B3
CRC1,CR,C1,C1
CRC2,CR,C2,C2
CRC3,CR,C3,C3
CRC4,CR,C4,C4
CRC5,CR,C5,C5
CRH1,CR,H1,H1
CRH2,CR,H2,H2
CRH3,CR,H3,H3
CRH4,CR,H4,H4
CRH5,CR,H5,H5
CRPLT,CR,Pilot,Piloto
CRT1,CR,T1,T1
CRT2,CR,T2,T2
CTB,CT,B,B
CTB1,CT,B1,B1
CTB2,CT,B2,B2
CTB3,CT,B3,B3
CTC1,CT,C1,C1
CTC2,CT,C2,C2
CTC3,CT,C3,C3
CTC4,CT,C4,C4
CTC5,CT,C5,C5
CTPLT,CT,Pilot,Piloto
EQGIA,EQ,Grade I,Grau I
EQGIB,EQ,Grade Ib,Grau Ib
EQGII,EQ,Grade II,Grau II
EQGIII,EQ,Grade III,Grau III
EQGIV,EQ,Grade IV,Grau IV
FBB1,FB,B1,B1
FBB2,FB,B2,B2
FBB3,FB,B3,B3
FBGK,FB,Goalkeeper,Goleiro
FTCP5,FT,CP5,CP5
FTCP6,FT,CP6,CP6
FTCP7,FT,CP7,CP7
FTCP8,FT,CP8,CP8
GBB1,GB,B1,B1
GBB2,GB,B2,B2
GBB3,GB,B3,B3
JUB1,JU,B1,B1
JUB2,JU,B2,B2
JUB3,JU,B3,B3
POPO,PO,PO,PO
ROAS,RO,AS,AS
ROCXW,RO,Coxswain,Timoneiro
ROLTAB1,RO,LTA B1,LTA B1
ROLTAB2,RO,LTA B2,LTA B2
ROLTAB3,RO,LTA B3,LTA B3
ROLTAID,RO,LTA Intellectual Disability,LTA Deficiência Intelectual
ROLTAPD,RO,LTA Physical Disability,LTA Deficiência Física
ROTA,RO,TA,TA
SA1,SA,1 point,1 ponto
SA2,SA,2 points,2 pontos
SA3,SA,3 points,3 pontos
SA4,SA,4 points,4 pontos
SA5,SA,5 points,5 pontos
SA6,SA,6 points,6 pontos
SA7,SA,7 points,7 pontos
SAMD,SA,Minimal Disability,Deficiência Mínima
SATPA,SA,Two-Person format Classificati,TPA
SATPB,SA,Two-Person format Classificati,TPB
SHSH1,SH,SH1,SH1
SHSH2,SH,SH2,SH2
SWS1,SW,S1,S1
SWS10,SW,S10,S10
SWS11,SW,S11,S11
SWS12,SW,S12,S12
SWS13,SW,S13,S13
SWS14,SW,S14,S14
SWS2,SW,S2,S2
SWS3,SW,S3,S3
SWS4,SW,S4,S4
SWS5,SW,S5,S5
SWS6,SW,S6,S6
SWS7,SW,S7,S7
SWS8,SW,S8,S8
SWS9,SW,S9,S9
SWSB1,SW,SB1,SB1
SWSB11,SW,SB11,SB11
SWSB12,SW,SB12,SB12
SWSB13,SW,SB13,SB13
SWSB14,SW,SB14,SB14
SWSB2,SW,SB2,SB2
SWSB3,SW,SB3,SB3
SWSB4,SW,SB4,SB4
SWSB5,SW,SB5,SB5
SWSB6,SW,SB6,SB6
SWSB7,SW,SB7,SB7
SWSB8,SW,SB8,SB8
SWSB9,SW,SB9,SB9
SWSM1,SW,SM1,SM1
SWSM10,SW,SM10,SM10
SWSM11,SW,SM11,SM11
SWSM12,SW,SM12,SM12
SWSM13,SW,SM13,SM13
SWSM14,SW,SM14,SM14
SWSM2,SW,SM2,SM2
SWSM3,SW,SM3,SM3
SWSM4,SW,SM4,SM4
SWSM5,SW,SM5,SM5
SWSM6,SW,SM6,SM6
SWSM7,SW,SM7,SM7
SWSM8,SW,SM8,SM8
SWSM9,SW,SM9,SM9
TRGUI,TR,Guide,Guia
TRPT1M,TR,PT1M,PT1M
TRPT2M,TR,PT2M,PT2M
TRPT2W,TR,PT2W,PT2W
TRPT4M,TR,PT4M,PT4M
TRPT4W,TR,PT4W,PT4W
TRPT5W-B1,TR,PT5W-B1,PT5W-B1
TRPT5W-B2,TR,PT5W-B2,PT5W-B2
TRPT5W-B3,TR,PT5W-B3,PT5W-B3
TT1,TT,1,1
TT10,TT,10,10
TT11,TT,11,11
TT2,TT,2,2
TT3,TT,3,3
TT4,TT,4,4
TT5,TT,5,5
TT6,TT,6,6
TT7,TT,7,7
TT8,TT,8,8
TT9,TT,9,9
VSD,VS,D,D
VSMD,VS,MD,MD
WB1.0,WB,1.0 points,"1,0 ponto"
WB1.5,WB,1.5 points,"1,5 ponto"
WB2.0,WB,2.0 points,"2,0 pontos"
WB2.5,WB,2.5 points,"2,5 pontos"
WB3.0,WB,3.0 points,"3,0 pontos"
WB3.5,WB,3.5 points,"3,5 pontos"
WB4.0,WB,4.0 points,"4,0 pontos"
WB4.5,WB,4.5 points,"4,5 pontos"
WFA,WF,Category A,Categoria A
WFB,WF,Category B,Categoria B
WR0.5,WR,0.5 points,"0,5 ponto"
WR1.0,WR,1.0 points,"1,0 ponto"
WR1.5,WR,1.5 points,"1,5 ponto"
WR2.0,WR,2.0 points,"2,0 pontos"
WR2.5,WR,2.5 points,"2,5 pontos"
WR3.0,WR,3.0 points,"3,0 pontos"
WR3.5,WR,3.5 points,"3,5 pontos"
WTQ,WT,Quad,Quad
WTWT,WT,WT,WT
