Id,Venue,LocationOrder,competition,ENG Description,POR Description,ENG longdescription,POR longdescription,Source
AT1,OLS,,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
AT2,FTC,,Y,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,Fort Copacabana - Marathon,Forte de Copacabana - Maratona,FTCAT1
BO1,CA2,1,Y,Carioca Arena 2 - Court 1,Arena Carioca 2 - Quadra 1,Carioca Arena 2 - Court 1,Arena Carioca 2 - Quadra 1,CA2BO1
BO2,CA2,2,Y,Carioca Arena 2 - Court 2,Arena Carioca 2 - Quadra 2,Carioca Arena 2 - Court 2,Arena Carioca 2 - Quadra 2,CA2BO1
BO3,CA2,3,Y,Carioca Arena 2 - Court 3,Arena Carioca 2 - Quadra 3,Carioca Arena 2 - Court 3,Arena Carioca 2 - Quadra 3,CA2BO1
BO4,CA2,4,Y,Carioca Arena 2 - Court 4,Arena Carioca 2 - Quadra 4,Carioca Arena 2 - Court 4,Arena Carioca 2 - Quadra 4,CA2BO1
BO5,CA2,5,Y,Carioca Arena 2 - Court 5,Arena Carioca 2 - Quadra 5,Carioca Arena 2 - Court 5,Arena Carioca 2 - Quadra 5,CA2BO1
BO6,CA2,6,Y,Carioca Arena 2 - Court 6,Arena Carioca 2 - Quadra 6,Carioca Arena 2 - Court 6,Arena Carioca 2 - Quadra 6,CA2BO1
CA1,CA1,,Y,Carioca Arena 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,
CA2,CA2,,Y,Carioca Arena 2,Arena Carioca 2,Carioca Arena 2,Arena Carioca 2,CA2BO1
CA3,CA3,,Y,Carioca Arena 3,Arena Carioca 3,Carioca Arena 3,Arena Carioca 3,CA3JU1
CF1,LAG,,Y,Lagoa Stadium - Cannoe Sprint,Estádio da Lagoa,Lagoa Stadium - Cannoe Sprint,Estádio da Lagoa,LAGCF1
CR1,PON,,Y,Pontal - Cycling road,Pontal - Ciclismo de estrada,Pontal - Cycling road,Pontal - Ciclismo de estrada,PONCR1
DES,DES,,Y,Deodoro Stadium,Estádio de Deodoro,Deodoro Stadium,Estádio de Deodoro,DESFT1
EQC,EQC,,Y,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Olympic Equestrian Centre,Centro Olímpico de Hipismo,EQCEQ1
FTA,FTA,,Y,Future Arena,Arena do Futuro,Future Arena,Arena do Futuro,FTAGB1
FTC,FTC,,Y,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,FTCTR1
GLO,GLO,,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,GLOSA1
JU1,CA3,1,Y,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,Carioca Arena 3 - Mat 1,Arena Carioca 3 - Tatame 1,CA3JU1
JU2,CA3,2,Y,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,Carioca Arena 3 - Mat 2,Arena Carioca 3 - Tatame 2,CA3JU1
LAG,LAG,,Y,Lagoa Stadium,Estádio da Lagoa,Lagoa Stadium,Estádio da Lagoa,LAGRO1
OAS,OAS,,Y,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,OASSW1
OLS,OLS,,Y,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,OLSAT1
OSC,OSC,,Y,Olympic Shooting Centre,Centro Olímpico de Tiro,Olympic Shooting Centre,Centro Olímpico de Tiro,OSCSH1
OTN,OTN,,Y,Olympic Tennis Centre,Centro Olímpico de Tênis,Olympic Tennis Centre,Centro Olímpico de Tênis,
PON,PON,,Y,Pontal,Pontal,Pontal,Pontal,
RC2,RC2,,Y,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,RC2PO1
RC3,RC3,,Y,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,RC3TT1
