Id,ENG Description,POR Description
AR,Archery,Tiro com Arco
AT,Athletics,Atletismo
BO,Boccia,Bocha
CE,Ceremonies,Cerimônias
CF,Canoe Sprint,Canoagem Velocidade
CR,Cycling Road,Ciclismo de Estrada
CT,Cycling Track,Ciclismo de Pista
CY,Cycling Sport,Ciclismo
EQ,Equestrian,Hipismo
FB,Football 5-a-side,Futebol de 5
FT,Football 7-a-side,Futebol de 7
GB,Goalball,Goalball
GL,General,Geral
JU,Judo,Judô
OM,Paralympic Movement,Movimento Paralímpico
PC,Press Conferences,Conferência de Imprensa
PO,Powerlifting,Halterofilismo
RO,Rowing,Remo
SA,Sailing,Vela
SH,Shooting,Tiro Esportivo
SW,Swimming,Natação
TR,Triathlon,Triatlo
TT,Table Tennis,Tênis de Mesa
UT,Training,Treinamento
VS,Sitting Volleyball,Voleibol Sentado
WB,Wheelchair Basketball,Basquetebol em Cadeira de Rodas
WF,Wheelchair Fencing,Esgrima em Cadeira de Rodas
WR,Wheelchair Rugby,Rugby em Cadeira de Rodas
WT,Wheelchair Tennis,Tênis em Cadeira de Rodas
