Code,Discipline,Gender,Event,Class
ARM071W1,AR,M,071,W1
ARM072ST,AR,M,072,ST
ARM072W1,AR,M,072,W1
ARM072W2,AR,M,072,W2
ARM073ST,AR,M,073,ST
ARM073W1,AR,M,073,W1
ARM073W2,AR,M,073,W2
ARW071W1,AR,W,071,W1
ARW072ST,AR,W,072,ST
ARW072W1,AR,W,072,W1
ARW072W2,AR,W,072,W2
ARW073ST,AR,W,073,ST
ARW073W1,AR,W,073,W1
ARW073W2,AR,W,073,W2
ARX471W1,AR,X,471,W1
ARX472ST,AR,X,472,ST
ARX472W1,AR,X,472,W1
ARX472W2,AR,X,472,W2
ARX473ST,AR,X,473,ST
ARX473W1,AR,X,473,W1
ARX473W2,AR,X,473,W2
ATM014F42,AT,M,014,F42
ATM020F44,AT,M,020,F44
ATM020F45,AT,M,020,F45
ATM020F46,AT,M,020,F46
ATM031F11,AT,M,031,F11
ATM033F13,AT,M,033,F13
ATM034F36,AT,M,034,F36
ATM035F20,AT,M,035,F20
ATM040F37,AT,M,040,F37
ATM040F38,AT,M,040,F38
ATM042F42,AT,M,042,F42
ATM042F43,AT,M,042,F43
ATM042F44,AT,M,042,F44
ATM060F45,AT,M,060,F45
ATM060F46,AT,M,060,F46
ATM091F11,AT,M,091,F11
ATM092F12,AT,M,092,F12
ATM093F45,AT,M,093,F45
ATM093F46,AT,M,093,F46
ATM111T11,AT,M,111,T11
ATM112T12,AT,M,112,T12
ATM113T13,AT,M,113,T13
ATM134T33,AT,M,134,T33
ATM134T34,AT,M,134,T34
ATM135T35,AT,M,135,T35
ATM136T36,AT,M,136,T36
ATM137T37,AT,M,137,T37
ATM138T38,AT,M,138,T38
ATM140T43,AT,M,140,T43
ATM140T44,AT,M,140,T44
ATM141T45,AT,M,141,T45
ATM141T46,AT,M,141,T46
ATM142T42,AT,M,142,T42
ATM150T52,AT,M,150,T52
ATM151T51,AT,M,151,T51
ATM153T53,AT,M,153,T53
ATM154T54,AT,M,154,T54
ATM211T11,AT,M,211,T11
ATM212T12,AT,M,212,T12
ATM213T13,AT,M,213,T13
ATM230T36,AT,M,230,T36
ATM234T33,AT,M,234,T33
ATM234T34,AT,M,234,T34
ATM235T35,AT,M,235,T35
ATM237T37,AT,M,237,T37
ATM238T38,AT,M,238,T38
ATM240T43,AT,M,240,T43
ATM240T44,AT,M,240,T44
ATM241T45,AT,M,241,T45
ATM241T46,AT,M,241,T46
ATM242T42,AT,M,242,T42
ATM250T51,AT,M,250,T51
ATM250T52,AT,M,250,T52
ATM253T53,AT,M,253,T53
ATM301F31,AT,M,301,F31
ATM301F32,AT,M,301,F32
ATM301F51,AT,M,301,F51
ATM311F11,AT,M,311,F11
ATM311F12,AT,M,311,F12
ATM313F20,AT,M,313,F20
ATM331F37,AT,M,331,F37
