Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AR,0,000,0,8,Archery,Tiro com arco,Archery,Tiro com arco,,
AR,0,000,N,7,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, programação diária",,
AR,0,000,Q,4,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",,
AR,0,000,Y,8,Archery Daily Schedule,"Tiro com arco, programação diária",Archery Daily Schedule,"Tiro com arco, programação diária",,
AR,0,070,Z,8,Archery Individual - Sessions,"Tiro com arco, indiv, calendário sessões",Archery Individual - Sessions,"Tiro com arco, evento individual, calendário de sessões",,
AR,0,470,Z,8,Archery Team - Sessions,"Tiro com arco equipes,calendário sessões",Archery Team - Sessions,"Tiro com arco por equipes, calendário de sessões",,
AR,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,,
AR,M,000,0,8,Men's Archery,Tiro com arco masculino ,Men's Archery,Tiro com arco masculino ,,
AR,M,071,0,8,Men's Ind. Recurve/Compound - W1,Arco recurvo/composto masculino - W1,Men's Individual Recurve/Compound - W1,Arco recurvo/composto masculino - W1,,
AR,M,071,1,3,Men's Ind. Recurve/Compound - W1 Finals,"Arco recurvo/composto masc - W1, finais",Men's Individual Recurve/Compound - W1 Finals,"Arco recurvo/composto masculino - W1, finais",Finals,Finais
AR,M,071,2,3,Men's Ind. Recurve/Compound - W1 SF,"Arco recurvo/composto masc-W1, semifinal",Men's Individual Recurve/Compound - W1 Semifinals,"Arco recurvo/composto masculino - W1, semifinal",Semifinals,Semifinais
AR,M,071,3,3,Men's Ind. Recurve/Compound - W1 QF,"Arco recurvo/composto masc-W1, quartas",Men's Individual Recurve/Compound - W1 Quarterfinals,"Arco recurvo/composto masculino - W1, quartas de final",Quarterfinals,Quartas de finais
AR,M,071,4,3,Men's Ind. Recurve/Compound - W1 1/8,"Arco recurvo/composto masc-W1, oitavas",Men's Individual Recurve/Compound - W1 1/8 Eliminations,"Arco recurvo/composto masculino - W1, oitavas de final",1/8 Eliminations,Oitavas de final
