Id,ENG Description,FRA Description,POR Description,Schedule Type
0,Opening/Closing Ceremonies,Cérémonie Ouverture/Fermeture,Cerimônias de Abertura/Encerramento,G
1,Official Training,Entraînement officiel,Treinamento oficial,G
2,Unofficial Training,Entraînement non officiel,Treinamento não-oficial,N
3,Competition,Compétition,Competição,G
4,Technical Meeting,Réunion technique,Reunião técnica,N
5,Press Conference,Conférence de presse,Conferência de imprensa,N
6,Medal/Flower Ceremony,Cérémonie de remise des médailles / bouquets,Cerimônia de medalhas,N
7,Draw,Tirage au sort,Empate,N
8,Others,Autres,Outros,N
9,Team Leaders Meeting,Réunion des chefs d'équipe,Reunião de chefes de equipe,N
